21.2.1.21. Hozzájárulás a bruttó hazai termék (GDP) változásához (felhasználási oldal), elõzõ év azonos idõszakához viszonyított negyedéves indexekbõl számítva[százalékpont] ;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1996.;I. ;-1,2;-0,7;0,0;-2,0;-1,0;-3,0;-0,2;-1,6;0,0;-1,8;-4,8;5,8;2,0;7,9;3,3;0,2;3,5;2,6;1,9;4,4;-0,3
;II.;-2,5;0,0;0,0;-2,4;-0,4;-2,8;-0,6;-1,2;0,0;-1,8;-4,6;3,2;2,7;5,9;1,1;0,5;1,7;2,1;2,2;4,2;-0,4
;III.;0,1;-0,4;0,0;-0,3;0,3;0,0;1,4;-0,5;0,0;0,9;1,0;-1,5;3,6;2,1;2,5;0,9;3,4;-4,1;2,8;-1,3;-0,4
;IV.;-1,7;0,3;0,0;-1,4;-0,8;-2,1;3,1;3,9;0,0;7,0;4,8;0,3;-1,3;-1,0;1,8;0,8;2,6;-1,5;-2,1;-3,5;1,3
1997.;I. ;2,0;-0,2;0,0;1,9;0,3;2,2;1,7;-0,7;0,0;1,0;3,2;5,6;1,1;6,7;7,2;1,8;9,0;-1,5;-0,7;-2,3;0,9
;II.;0,9;-0,6;0,0;0,2;0,4;0,6;1,8;2,1;0,0;4,0;4,6;7,5;1,1;8,6;8,5;1,4;9,8;-1,0;-0,2;-1,2;3,4
;III.;0,3;-0,3;0,0;0,0;-0,3;-0,4;3,2;1,0;0,0;4,2;3,8;9,9;0,5;10,5;9,0;1,1;10,1;0,9;-0,6;0,4;4,3
;IV.;1,2;-0,5;0,0;0,7;0,3;1,0;1,3;0,4;0,0;1,7;2,7;12,1;-0,1;11,9;11,3;-0,5;10,8;0,8;0,4;1,2;3,9
1998.;I. ;0,9;-0,7;0,2;0,5;-0,2;0,3;1,5;2,0;0,0;3,5;3,8;10,9;0,1;11,0;11,1;0,2;11,4;-0,2;-0,1;-0,3;3,4
;II.;2,2;-0,3;0,3;2,2;-0,4;1,8;2,8;2,3;0,0;5,1;7,0;8,5;-0,1;8,4;11,5;0,0;11,5;-3,0;-0,1;-3,0;3,9
;III.;2,7;-0,2;0,3;2,9;-0,2;2,6;3,7;3,0;0,0;6,7;9,3;6,4;-0,3;6,1;10,2;0,8;11,0;-3,8;-1,1;-4,9;4,4
