21.2.1.23. Negyedéves jövedelmek keletkezése számla [millió forint];;;;;;;;
Év;Negyedév;Bruttó hozzáadott érték;Munkavállalói jövedelem;Bérek és keresetek;Munkaadók által fizetett TB;Egyéb termelési adók;Egyéb termelési támogatások;Bruttó mûködési eredmény, vegyes jövedelem
1995.;I.;1 094 283;593 231;432 836;160 395;4 656;7 141;503 537
;II.;1 192 698;635 440;464 110;171 330;4 202;6 395;559 451
;III.;1 231 446;648 340;473 429;174 911;4 650;7 214;585 669
;IV.;1 424 296;750 860;548 698;202 161;4 842;5 169;673 763
1996.;I.;1 361 464;704 756;522 140;182 616;7 995;8 597;657 310
;II.;1 516 686;775 652;574 277;201 375;7 101;7 698;741 631
;III.;1 494 189;769 534;570 480;199 054;7 985;8 684;725 354
;IV.;1 703 900;911 256;674 295;236 961;8 370;6 223;790 497
1997.;I.;1 716 755;879 606;644 513;235 093;10 916;11 631;837 864
;II.;1 866 855;953 844;698 514;255 330;9 658;10 416;913 769
;III.;1 924 726;954 613;700 514;254 098;10 890;11 749;970 973
;IV.;2 121 510;1 113 336;815 471;297 865;11 433;8 420;1 005 161
1998.;I.;2 034 097;1 037 722;761 353;276 368;13 601;12 405;995 179
;II.;2 211 992;1 119 876;821 861;298 016;12 095;11 109;1 091 129
;III.;2 259 093;1 123 446;825 614;297 833;13 583;12 531;1 134 595
;IV.;2 504 396;1 311 336;962 250;349 085;14 228;8 980;1 187 812
1999.;I.;2 226 084;1 122 335;836 444;285 891;16 602;13 755;1 100 902
;II.;2 453 143;1 225 963;914 127;311 836;14 308;12 316;1 225 188
;III.;2 536 892;1 221 198;912 259;308 939;16 573;13 893;1 313 014
;IV.;2 768 234;1 449 710;1 080 404;369 306;17 551;9 955;1 310 928
2000.;I.;2 485 762;1 318 734;985 818;332 917;19 478;17 232;1 164 782
;II.;2 778 144;1 439 056;1 076 908;362 148;16 659;15 661;1 338 090
;III.;2 943 524;1 450 943;1 087 335;363 608;19 440;15 490;1 488 631
;IV.;3 150 328;1 701 659;1 273 356;428 303;20 644;11 319;1 439 344
2001.;I.;2 949 559;1 557 106;1 185 595;371 511;23 805;17 678;1 386 325
;II.;3 352 981;1 694 924;1 292 677;402 247;23 919;15 734;1 649 873
;III.;3 389 119;1 681 783;1 282 772;399 011;20 584;17 859;1 704 611
;IV.;3 616 198;1 973 333;1 504 568;468 765;19 949;20 719;1 643 635
2002.;I.;3 429 426;1 773 274;1 349 069;424 205;27 487;23 149;1 651 814
;II.;3 750 404;1 858 635;1 416 804;441 831;27 594;25 048;1 889 223
;III.;3 830 374;1 850 174;1 411 323;438 850;23 957;26 760;1 983 003
;IV.;4 124 285;2 210 265;1 684 701;525 564;23 240;28 028;1 918 807
2003.;I.;3 603 119;2 021 517;1 563 621;457 896;30 073;23 624;1 575 152
;II.;4 032 328;2 106 323;1 636 044;470 278;30 197;23 459;1 919 267
;III.;4 179 634;2 118 136;1 645 183;472 953;25 973;31 323;2 066 848
;IV.;4 627 256;2 454 809;1 904 858;549 951;25 139;23 058;2 170 366
2004.;I.;3 970 970;2 196 688;1 714 340;482 348;43 345;40 320;1 771 257
;II.;4 603 912;2 395 535;1 873 079;522 456;36 640;72 936;2 244 673
;III.;4 662 432;2 391 345;1 872 599;518 747;37 332;58 164;2 291 919
;IV.;4 833 924;2 603 754;2 039 746;564 008;24 266;35 359;2 241 263
2005.;I.;4 337 513;2 435 571;1 897 303;538 268;43 371;62 641;1 921 212
;II.;4 842 933;2 565 081;2 002 808;562 273;43 576;55 165;2 289 441
