21.2.1.24. A nemzetgazdaság negyedéves szektorszámláinak fõbb adatai, folyó áron [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;Fõbb gazdasági mûveletek és egyenlegezõ tételek;2018. I. negyedév Nem pénzügyi vállalatok S.11;2018. I. negyedév Pénzügyi vállalatok S.12;2018. I. negyedév Kormányzat S.13;2018. I. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2018. I. negyedév Képzett szektor S.1N;2018. I. negyedév Nemzetgazdaság összesen S.1;2018. I. negyedév Külföld S.2;2018. II. negyedév Nem pénzügyi vállalatok S.11;2018. II. negyedév Pénzügyi vállalatok S.12;2018. II. negyedév Kormányzat S.13;2018. II. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2018. II. negyedév Képzett szektor S.1N;2018. II. negyedév Nemzetgazdaság összesen S.1;2018. II. negyedév Külföld S.2;2018. III. negyedév Nem pénzügyi vállalatok S.11;2018. III. negyedév Pénzügyi vállalatok S.12;2018. III. negyedév Kormányzat S.13;2018. III. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2018. III. negyedév Képzett szektor S.1N;2018. III. negyedév Nemzetgazdaság összesen S.1;2018. III. negyedév Külföld S.2;2018. IV. negyedév Nem pénzügyi vállalatok S.11;2018. IV. negyedév Pénzügyi vállalatok S.12;2018. IV. negyedév Kormányzat S.13;2018. IV. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2018. IV. negyedév Képzett szektor S.1N;2018. IV. negyedév Nemzetgazdaság összesen S.1;2018. IV. negyedév Külföld S.2;2019. I. negyedév Nem pénzügyi vállalatok S.11;2019. I. negyedév Pénzügyi vállalatok S.12;2019. I. negyedév Kormányzat S.13;2019. I. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2019. I. negyedév Képzett szektor S.1N;2019. I. negyedév Nemzetgazdaság összesen S.1;2019. I. negyedév Külföld S.2;2019. II. negyedév Nem pénzügyi vállalatok S.11;2019. II. negyedév Pénzügyi vállalatok S.12;2019. II. negyedév Kormányzat S.13;2019. II. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2019. II. negyedév Képzett szektor S.1N;2019. II. negyedév Nemzetgazdaság összesen S.1;2019. II. negyedév Külföld S.2;2019. III. negyedév Nem pénzügyi vállalatok S.11;2019. III. negyedév Pénzügyi vállalatok S.12;2019. III. negyedév Kormányzat S.13;2019. III. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2019. III. negyedév Képzett szektor S.1N;2019. III. negyedév Nemzetgazdaság összesen S.1;2019. III. negyedév Külföld S.2;2019. IV. negyedév Nem pénzügyi vállalatok S.11;2019. IV. negyedév Pénzügyi vállalatok S.12;2019. IV. negyedév Kormányzat S.13;2019. IV. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2019. IV. negyedév Képzett szektor S.1N;2019. IV. negyedév Nemzetgazdaság összesen S.1;2019. IV. negyedév Külföld S.2;2020. I. negyedév Nem pénzügyi vállalatok S.11;2020. I. negyedév Pénzügyi vállalatok S.12;2020. I. negyedév Kormányzat S.13;2020. I. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2020. I. negyedév Képzett szektor S.1N;2020. I. negyedév Nemzetgazdaság összesen S.1;2020. I. negyedév Külföld S.2;2020. II. negyedév Nem pénzügyi vállalatok S.11;2020. II. negyedév Pénzügyi vállalatok S.12;2020. II. negyedév Kormányzat S.13;2020. II. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2020. II. negyedév Képzett szektor S.1N;2020. II. negyedév Nemzetgazdaság összesen S.1;2020. II. negyedév Külföld S.2;2020. III. negyedév Nem pénzügyi vállalatok S.11;2020. III. negyedév Pénzügyi vállalatok S.12;2020. III. negyedév Kormányzat S.13;2020. III. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2020. III. negyedév Képzett szektor S.1N;2020. III. negyedév Nemzetgazdaság összesen S.1;2020. III. negyedév Külföld S.2;2020. IV. negyedév Nem pénzügyi vállalatok S.11;2020. IV. negyedév Pénzügyi vállalatok S.12;2020. IV. negyedév Kormányzat S.13;2020. IV. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2020. IV. negyedév Képzett szektor S.1N;2020. IV. negyedév Nemzetgazdaság összesen S.1;2020. IV. negyedév Külföld S.2;2021. I. negyedév Nem pénzügyi vállalatok S.11;2021. I. negyedév Pénzügyi vállalatok S.12;2021. I. negyedév Kormányzat S.13;2021. I. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2021. I. negyedév Képzett szektor S.1N;2021. I. negyedév Nemzetgazdaság összesen S.1;2021. I. negyedév Külföld S.2;2021. II. negyedév Nem pénzügyi vállalatok S.11;2021. II. negyedév Pénzügyi vállalatok S.12;2021. II. negyedév Kormányzat S.13;2021. II. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2021. II. negyedév Képzett szektor S.1N;2021. II. negyedév Nemzetgazdaság összesen S.1;2021. II. negyedév Külföld S.2;2021. III. negyedév Nem pénzügyi vállalatok S.11;2021. III. negyedév Pénzügyi vállalatok S.12;2021. III. negyedév Kormányzat S.13;2021. III. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2021. III. negyedév Képzett szektor S.1N;2021. III. negyedév Nemzetgazdaság összesen S.1;2021. III. negyedév Külföld S.2;2021. IV. negyedév Nem pénzügyi vállalatok S.11;2021. IV. negyedév Pénzügyi vállalatok S.12;2021. IV. negyedév Kormányzat S.13;2021. IV. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2021. IV. negyedév Képzett szektor S.1N;2021. IV. negyedév Nemzetgazdaság összesen S.1;2021. IV. negyedév Külföld S.2;2022. I. negyedév Nem pénzügyi vállalatok S.11;2022. I. negyedév Pénzügyi vállalatok S.12;2022. I. negyedév Kormányzat S.13;2022. I. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2022. I. negyedév Képzett szektor S.1N;2022. I. negyedév Nemzetgazdaság összesen S.1;2022. I. negyedév Külföld S.2;2022. II. negyedév Nem pénzügyi vállalatok S.11;2022. II. negyedév Pénzügyi vállalatok S.12;2022. II. negyedév Kormányzat S.13;2022. II. negyedév Háztartások és háztartásokat segítõ nonprofit intézmények S.14 és S.15;2022. II. negyedév Képzett szektor S.1N;2022. II. negyedév Nemzetgazdaság összesen S.1;2022. II. negyedév Külföld S.2
P.1;1;Kibocsátás;13 305 009;518 971;2 195 706;2 124 842;0;18 144 528;0;15 878 059;555 421;2 337 379;2 454 643;0;21 225 502;0;16 237 778;554 655;2 351 574;2 681 932;0;21 825 939;0;17 859 456;585 113;2 714 805;2 788 553;0;23 947 927;0;14 724 870;575 654;2 409 762;2 449 728;0;20 160 014;0;17 285 645;625 637;2 672 089;2 843 540;0;23 426 911;0;17 874 097;631 720;2 672 190;3 013 838;0;24 191 845;0;19 087 434;673 097;3 148 736;3 176 362;0;26 085 629;0;15 674 179;601 328;2 586 563;2 685 330;0;21 547 400;0;14 373 369;657 759;2 865 041;2 713 572;0;20 609 741;0;17 721 069;665 207;2 746 515;3 037 017;0;24 169 808;0;19 949 602;709 946;3 365 711;3 235 584;0;27 260 843;0;16 214 055;664 592;2 894 336;2 612 443;0;22 385 426;0;19 835 095;742 560;3 149 733;3 265 037;0;26 992 425;0;20 089 163;768 386;3 038 750;3 534 175;0;27 430 474;0;23 851 975;829 894;3 807 074;4 067 936;0;32 556 879;0;19 827 294;717 716;3 656 701;3 352 569;0;27 554 280;0;25 656 075;819 050;3 497 284;4 124 955;0;34 097 364;0
P.2;2;Folyó termelõfelhasználás;8 710 036;212 533;703 281;588 969;0;10 214 819;0;10 403 201;242 026;875 170;710 084;0;12 230 481;0;10 473 800;246 478;863 355;791 924;0;12 375 557;0;11 465 995;281 552;1 111 534;822 067;0;13 681 148;0;9 701 030;223 571;812 250;663 238;0;11 400 089;0;11 458 947;256 226;977 485;807 756;0;13 500 414;0;11 663 216;264 239;1 015 043;901 131;0;13 843 629;0;12 303 725;306 507;1 344 043;908 202;0;14 862 477;0;10 265 713;226 356;843 308;759 246;0;12 094 623;0;9 320 560;262 726;993 862;786 058;0;11 363 206;0;11 582 952;272 176;969 165;887 422;0;13 711 715;0;12 829 031;315 247;1 449 996;963 467;0;15 557 741;0;10 815 383;256 846;960 518;705 597;0;12 738 344;0;12 981 554;302 474;1 071 810;921 734;0;15 277 572;0;13 113 578;316 963;1 106 177;1 043 571;0;15 580 289;0;15 877 374;368 709;1 665 096;1 211 386;0;19 122 565;0;13 617 853;275 531;1 113 901;938 151;0;15 945 436;0;17 499 618;325 169;1 214 045;1 196 547;0;20 235 379;0
D21-D31;3;Termékadók és -támogatások egyenlege;0;0;0;0;1 434 562;1 434 562;10 001;0;0;0;0;1 680 729;1 680 729;-16 314;0;0;0;0;1 754 849;1 754 849;15 555;0;0;0;0;1 874 404;1 874 404;-12 402;0;0;0;0;1 622 681;1 622 681;3 033;0;0;0;0;1 859 852;1 859 852;1 773;0;0;0;0;1 919 006;1 919 006;17 376;0;0;0;0;2 005 598;2 005 598;-18 305;0;0;0;0;1 672 768;1 672 768;4 893;0;0;0;0;1 733 803;1 733 803;-626;0;0;0;0;1 986 713;1 986 713;14 609;0;0;0;0;2 157 755;2 157 755;-15 046;0;0;0;0;1 855 834;1 855 834;3 616;0;0;0;0;2 033 824;2 033 824;1 361;0;0;0;0;2 214 575;2 214 575;21 707;0;0;0;0;2 374 895;2 374 895;-8 776;0;0;0;0;2 214 628;2 214 628;-4 962;0;0;0;0;2 536 629;2 536 629;30 536
B.1g;4=1-2+3;Hozzáadott érték, bruttó (Bruttó hazai termék, GDP);4 594 973;306 438;1 492 426;1 535 873;1 434 562;9 364 272;0;5 474 858;313 395;1 462 208;1 744 559;1 680 729;10 675 749;0;5 763 978;308 177;1 488 219;1 890 008;1 754 849;11 205 231;0;6 393 461;303 561;1 603 271;1 966 486;1 874 404;12 141 183;0;5 023 840;352 083;1 597 512;1 786 490;1 622 681;10 382 606;0;5 826 698;369 411;1 694 604;2 035 784;1 859 852;11 786 349;0;6 210 881;367 481;1 657 146;2 112 707;1 919 006;12 267 221;0;6 783 709;366 590;1 804 693;2 268 160;2 005 598;13 228 750;0;5 408 466;374 972;1 743 255;1 926 084;1 672 768;11 125 545;0;5 052 809;395 033;1 871 180;1 927 514;1 733 803;10 980 339;0;6 138 117;393 031;1 777 350;2 149 595;1 986 713;12 444 806;0;7 120 571;394 699;1 915 714;2 272 117;2 157 755;13 860 856;0;5 398 672;407 746;1 933 818;1 906 846;1 855 834;11 502 916;0;6 853 541;440 086;2 077 923;2 343 303;2 033 824;13 748 676;0;6 975 585;451 423;1 932 573;2 490 604;2 214 575;14 064 760;0;7 974 601;461 185;2 141 978;2 856 550;2 374 895;15 809 209;0;6 209 441;442 185;2 542 801;2 414 418;2 214 628;13 823 473;0;8 156 457;493 881;2 283 239;2 928 408;2 536 629;16 398 615;0
P.51c;5;Állóeszköz-felhasználás;1 000 685;28 687;369 878;303 865;0;1 703 115;0;1 000 685;28 687;376 294;303 862;0;1 709 528;0;1 000 685;28 687;378 837;303 864;0;1 712 073;0;1 000 685;28 687;383 152;303 864;0;1 716 388;0;1 080 548;32 754;428 505;332 343;0;1 874 150;0;1 080 548;32 754;437 501;332 344;0;1 883 147;0;1 080 548;32 753;445 406;332 345;0;1 891 052;0;1 080 548;32 754;447 208;332 345;0;1 892 855;0;1 215 361;39 545;482 231;359 439;0;2 096 576;0;1 215 361;39 545;493 719;359 440;0;2 108 065;0;1 215 361;39 545;500 354;359 440;0;2 114 700;0;1 215 361;39 545;502 381;359 440;0;2 116 727;0;1 393 753;45 314;551 502;412 030;0;2 402 599;0;1 393 753;45 314;562 787;412 030;0;2 413 884;0;1 393 753;45 314;563 883;412 032;0;2 414 982;0;1 393 752;45 314;577 598;412 032;0;2 428 696;0;1 551 252;50 704;692 517;462 101;0;2 756 574;0;1 551 252;50 704;702 758;462 101;0;2 766 815;0
B.1n;6=4-5;Hozzáadott érték, nettó (Nettó hazai termék, NDP);3 594 288;277 751;1 122 548;1 232 008;1 434 562;7 661 157;0;4 474 173;284 708;1 085 914;1 440 697;1 680 729;8 966 221;0;4 763 293;279 490;1 109 383;1 586 144;1 754 849;9 493 158;0;5 392 776;274 874;1 220 119;1 662 622;1 874 404;10 424 795;0;3 943 292;319 329;1 169 007;1 454 147;1 622 681;8 508 456;0;4 746 150;336 657;1 257 103;1 703 440;1 859 852;9 903 202;0;5 130 333;334 728;1 211 740;1 780 362;1 919 006;10 376 169;0;5 703 161;333 836;1 357 485;1 935 815;2 005 598;11 335 895;0;4 193 105;335 427;1 261 024;1 566 645;1 672 768;9 028 969;0;3 837 448;355 488;1 377 461;1 568 074;1 733 803;8 872 274;0;4 922 756;353 486;1 276 996;1 790 155;1 986 713;10 330 106;0;5 905 210;355 154;1 413 334;1 912 677;2 157 755;11 744 129;0;4 004 919;362 432;1 382 316;1 494 816;1 855 834;9 100 317;0;5 459 788;394 772;1 515 136;1 931 273;2 033 824;11 334 792;0;5 581 832;406 109;1 368 691;2 078 572;2 214 575;11 649 778;0;6 580 849;415 871;1 564 380;2 444 518;2 374 895;13 380 513;0;4 658 189;391 481;1 850 284;1 952 317;2 214 628;11 066 899;0;6 605 205;443 177;1 580 481;2 466 307;2 536 629;13 631 800;0
D.1p;7;Fizetett munkavállalói jövedelem;2 845 212;153 269;1 121 634;264 958;0;4 385 074;243 193;3 020 876;161 324;1 085 219;270 164;0;4 537 583;269 734;2 927 981;164 243;1 108 915;277 846;0;4 478 985;263 627;3 221 288;179 095;1 219 982;278 023;0;4 898 389;278 304;3 069 313;166 024;1 167 310;286 676;0;4 689 322;294 012;3 194 326;176 313;1 255 163;296 179;0;4 921 980;316 323;3 137 748;174 100;1 209 806;314 074;0;4 835 729;319 531;3 400 545;198 196;1 353 051;320 113;0;5 271 905;323 949;3 175 731;169 998;1 256 714;295 408;0;4 897 851;293 894;2 993 972;170 669;1 373 010;283 092;0;4 820 743;263 103;3 128 528;171 614;1 272 559;313 067;0;4 885 769;261 004;3 478 744;186 592;1 409 147;322 244;0;5 396 728;254 801;3 287 918;179 826;1 380 441;286 133;0;5 134 318;215 323;3 459 053;180 967;1 513 179;287 498;0;5 440 697;238 983;3 452 769;187 956;1 367 397;306 212;0;5 314 334;234 500;3 818 173;211 357;1 563 096;316 401;0;5 909 026;252 781;3 847 130;192 765;1 850 038;336 389;0;6 226 322;254 438;4 038 835;192 732;1 578 823;343 348;0;6 153 738;276 118
D.2p;8;Termelési és importadók, fizetett;149 587;19 447;7 981;40 130;1 512 980;1 730 125;0;140 405;23 054;7 762;38 811;1 780 386;1 990 418;0;138 751;25 665;8 801;39 265;1 812 716;2 025 197;0;131 535;22 032;8 470;36 719;1 961 142;2 159 898;0;178 475;22 151;8 836;45 568;1 680 258;1 935 288;0;167 972;23 836;9 079;45 006;1 911 016;2 156 909;0;164 975;23 643;9 073;46 648;1 953 701;2 198 040;0;147 515;23 462;11 573;50 059;2 084 478;2 317 087;0;188 500;25 449;10 487;48 415;1 714 108;1 986 959;0;156 930;45 743;10 628;34 915;1 777 327;2 025 543;0;162 587;46 445;10 614;48 286;2 030 538;2 298 469;0;151 393;44 887;10 487;53 986;2 232 889;2 493 642;0;200 541;27 451;10 516;56 552;1 900 250;2 195 310;0;185 836;30 324;10 598;51 929;2 079 811;2 358 498;0;179 551;27 702;10 634;56 437;2 248 817;2 523 141;0;172 229;32 322;10 751;60 710;2 437 698;2 713 710;0;182 011;35 685;8 772;55 588;2 296 304;2 578 360;0;184 111;32 740;10 185;56 233;2 584 469;2 867 738;0
D.3r;9;Támogatások, kapott;85 961;648;7 067;77 545;78 418;249 640;0;103 204;648;7 067;65 957;99 657;276 533;0;84 804;648;8 334;64 843;57 867;216 496;0;140 802;648;8 334;99 895;86 738;336 417;0;102 232;881;7 139;76 755;57 577;244 584;0;93 542;881;7 139;71 890;51 164;224 616;0;93 843;881;7 139;71 257;34 695;207 815;0;136 732;882;7 139;95 861;78 880;319 494;0;122 460;756;6 177;77 803;41 340;248 536;0;127 254;756;6 177;79 961;43 523;257 672;0;132 599;756;6 177;83 281;43 825;266 638;0;177 868;757;6 300;106 435;75 134;366 495;0;177 538;780;8 641;98 320;44 416;329 695;0;147 845;780;8 641;87 590;45 988;290 844;0;125 532;780;9 340;77 629;34 243;247 524;0;141 445;780;9 466;85 807;62 803;300 302;0;134 197;713;8 526;80 699;81 676;305 810;0;108 847;595;8 526;69 145;47 840;234 953;0
B.2/3n;10=6-7-8+9;Mûködési eredmény, nettó/Vegyes jövedelem, nettó;685 450;105 683;0;1 004 465;0;1 795 597;0;1 416 096;100 978;0;1 197 679;0;2 714 753;0;1 781 365;90 230;0;1 333 876;0;3 205 472;0;2 180 755;74 395;0;1 447 775;0;3 702 924;0;797 736;132 035;0;1 198 658;0;2 128 430;0;1 477 394;137 389;0;1 434 145;0;3 048 929;0;1 921 453;137 866;0;1 490 897;0;3 550 216;0;2 291 833;113 060;0;1 661 504;0;4 066 397;0;951 334;140 736;0;1 300 625;0;2 392 695;0;813 800;139 832;0;1 330 028;0;2 283 660;0;1 764 240;136 183;0;1 512 083;0;3 412 505;0;2 452 941;124 432;0;1 642 882;0;4 220 255;0;693 998;155 935;0;1 250 451;0;2 100 384;0;1 962 744;184 261;0;1 679 436;0;3 826 441;0;2 075 044;191 231;0;1 793 552;0;4 059 827;0;2 731 892;172 972;0;2 153 214;0;5 058 079;0;763 245;163 744;0;1 641 039;0;2 568 028;0;2 491 106;218 300;0;2 135 871;0;4 845 277;0
