21.2.1.26. A kormányzati szektor fõbb negyedéves adatai;;;;;;;;;;;;;;;;;;;
Év;Idõszak, negyedév;Kiadások, milliárd forint, folyó termelõ-felhasználás P.2;Kiadások, milliárd forint, munkavállalói jövedelem D.1;Kiadások, milliárd forint, kamatok D.41;Kiadások, milliárd forint, pénzbeni társadalmi juttatások D.62;Kiadások, milliárd forint, bruttó állóeszköz felhalmozás P.51G;Kiadások, milliárd forint, egyéb kiadások;Kiadások, milliárd forint, összes kiadás;Bevételek, milliárd forint, termelési és importadók D.2;Bevételek, milliárd forint, ebbõl áfa D.211;Bevételek, milliárd forint, folyó jövedelem-, vagyon- stb. adók D.5;Bevételek, milliárd forint, tényleges társadalombiztosítási hozzájárulások D.611+D.613;Bevételek, milliárd forint, tõkeadók D.91R;Bevételek, milliárd forint, egyéb bevételek;Bevételek, milliárd forint, összes bevétel;Egyéb adatok, milliárd forint, végsõ fogyasztási kiadás P.3;Egyéb adatok, milliárd forint, nettó hitelfelvétel B.9;Egyéb adatok, milliárd forint, szezonálisan kiigazított GDP;Nettó hitelfelvétel / GDP, % szezonálisan kiigazított GDP
1999.;I.;177,7;274,2;194,5;366,4;80,3;208,8;1 301,9;402,3;183,3;237,0;328,5;1,3;130,7;1 099,8;570,3;-202,1;2 737,9;-7,4
;II.;180,3;296,8;194,8;386,8;77,6;202,2;1 338,6;460,5;225,1;256,4;382,9;1,7;128,3;1 229,7;593,6;-108,9;2 846,9;-3,8
;III.;190,2;284,8;196,2;377,3;92,3;237,2;1 377,9;483,0;227,2;255,7;372,8;1,8;154,7;1 267,9;575,4;-110,1;2 959,0;-3,7
;IV.;245,4;387,7;193,8;387,6;141,2;330,7;1 686,4;542,1;289,2;321,5;425,5;1,6;202,6;1 493,4;734,6;-193,0;3 093,8;-6,2
2000.;I.;205,0;307,6;176,0;395,1;82,8;235,7;1 402,1;509,8;279,0;286,1;411,5;1,5;154,8;1 363,7;638,7;-38,4;3 145,2;-1,2
;II.;207,5;335,0;175,7;402,6;96,4;226,5;1 443,7;543,1;270,1;307,9;426,8;1,9;156,8;1 436,5;663,2;-7,2;3 245,5;-0,2
;III.;207,8;337,5;176,2;404,1;122,9;260,8;1 509,3;558,9;288,6;304,4;422,2;2,0;163,3;1 450,7;665,9;-58,6;3 419,5;-1,7
;IV.;273,7;436,2;176,4;475,2;172,5;419,2;1 953,3;588,6;322,2;383,7;478,4;1,7;199,8;1 652,3;856,6;-301,0;3 513,9;-8,6
2001.;I.;203,3;359,9;180,4;459,5;77,7;289,1;1 570,1;516,0;261,5;343,3;458,9;1,8;163,1;1 483,1;717,2;-87,0;3 651,7;-2,4
;II.;242,8;402,2;181,0;474,2;94,2;270,7;1 665,1;605,0;309,3;374,8;477,8;2,4;190,6;1 650,5;778,4;-14,6;3 859,6;-0,4
;III.;231,9;400,9;181,7;470,3;150,4;287,2;1 722,4;651,6;355,7;351,2;477,4;2,5;199,0;1 681,6;766,4;-40,8;3 938,8;-1,0
;IV.;329,3;528,4;181,2;508,3;281,4;490,1;2 318,7;594,4;303,7;454,9;547,2;2,2;246,5;1 845,2;984,5;-473,5;3 948,6;-12,0
2002.;I.;242,8;483,8;173,7;524,5;142,9;359,5;1 927,3;581,6;280,6;384,8;514,5;2,3;190,0;1 673,1;880,5;-254,2;4 252,1;-6,0
;II.;270,7;477,0;174,1;564,3;173,4;338,0;1 997,4;626,6;334,6;427,9;537,1;2,7;185,7;1 779,9;897,5;-217,5;4 268,2;-5,1
;III.;262,4;472,1;174,9;614,0;214,7;347,9;2 085,9;688,3;358,3;400,6;521,4;2,8;196,7;1 809,8;875,8;-276,2;4 404,5;-6,3
;IV.;353,6;666,4;174,9;578,6;363,5;742,8;2 879,7;699,3;367,4;509,3;629,5;3,0;252,7;2 093,8;1 157,9;-785,9;4 509,1;-17,4
2003.;I.;280,9;611,9;190,0;613,4;108,4;310,6;2 115,2;640,4;313,7;393,7;570,4;2,5;195,1;1 802,1;1 069,5;-313,2;4 538,5;-6,9
;II.;302,1;575,1;191,7;627,5;151,5;368,5;2 216,5;742,6;387,2;450,2;580,8;3,5;214,0;1 991,1;1 035,1;-225,4;4 674,4;-4,8
;III.;284,1;584,2;190,0;633,8;184,6;355,1;2 231,9;774,6;400,8;415,9;569,6;2,9;209,5;1 972,5;1 032,8;-259,5;4 837,0;-5,4
;IV.;398,0;717,9;198,8;737,2;277,4;504,0;2 833,3;815,8;438,2;520,6;647,8;3,7;269,4;2 257,2;1 265,2;-576,1;5 080,2;-11,3
2004.;I.;296,5;593,2;207,3;679,2;148,1;400,5;2 324,8;865,0;518,2;384,1;607,8;2,8;227,7;2 087,5;1 092,1;-237,3;5 195,0;-4,6
;II.;336,1;673,8;225,4;743,5;177,8;427,8;2 584,4;818,5;437,6;486,6;630,7;4,8;260,1;2 200,6;1 180,9;-383,9;5 300,6;-7,2
;III.;312,3;667,7;238,7;707,2;229,6;388,5;2 544,0;782,2;398,8;450,3;613,6;5,4;260,3;2 111,8;1 155,5;-432,2;5 292,6;-8,2
;IV.;395,7;680,0;242,4;754,3;244,7;514,9;2 831,9;896,1;477,1;529,6;686,6;5,6;376,1;2 494,0;1 220,4;-337,9;5 321,8;-6,3
2005.;I.;321,4;676,0;232,6;805,8;168,8;545,8;2 750,3;729,1;396,0;469,9;683,5;4,4;227,4;2 114,2;1 228,3;-636,2;5 376,1;-11,8
;II.;367,3;673,6;218,4;787,5;207,6;430,5;2 684,9;881,9;454,7;459,1;684,0;5,6;276,7;2 307,2;1 229,5;-377,7;5 611,8;-6,7
;III.;340,2;631,7;230,1;782,3;238,2;403,9;2 626,3;900,5;501,9;465,1;646,2;4,8;281,3;2 298,0;1 173,7;-328,3;5 735,8;-5,7
;IV.;397,0;793,6;235,4;828,0;323,6;504,3;3 082,0;945,2;503,9;579,3;746,4;6,1;389,5;2 666,5;1 367,1;-415,5;5 871,3;-7,1
2006.;I.;391,5;693,8;215,4;916,6;257,6;639,6;3 114,4;729,0;367,7;484,7;699,9;3,6;298,0;2 215,2;1 394,0;-899,2;5 855,5;-15,4
;II.;413,1;711,2;230,7;837,0;286,1;485,4;2 963,6;982,4;469,4;501,3;700,8;6,9;347,7;2 539,1;1 309,7;-424,5;6 057,2;-7,0
;III.;351,0;671,0;243,6;832,2;293,7;511,6;2 903,1;959,9;495,4;515,1;709,5;4,7;365,1;2 554,3;1 193,9;-348,8;6 215,0;-5,6
;IV.;411,3;815,2;246,0;968,7;406,8;674,1;3 522,1;951,1;467,9;709,8;864,7;6,3;408,5;2 940,4;1 456,3;-581,7;6 217,7;-9,4
2007.;I.;317,8;719,4;253,5;992,1;242,2;644,3;3 169,2;940,9;486,1;589,4;816,4;2,7;337,3;2 686,6;1 274,5;-482,6;6 349,3;-7,6
;II.;415,3;699,3;263,0;898,9;255,7;400,0;2 932,1;1 016,9;490,6;618,0;854,9;3,7;327,0;2 820,6;1 295,4;-111,6;6 344,8;-1,8
;III.;377,0;732,6;261,4;898,1;237,5;578,9;3 085,6;1 014,3;485,9;632,8;845,4;5,2;370,6;2 868,3;1 292,9;-217,2;6 486,9;-3,3
;IV.;520,6;772,1;259,5;1 081,3;352,5;662,2;3 648,3;1 056,9;550,7;737,3;927,6;5,4;423,9;3 151,2;1 485,9;-497,1;6 560,9;-7,6
2008.;I.;431,3;740,7;256,1;1 080,1;122,4;480,7;3 111,4;996,8;499,1;661,7;889,6;3,9;365,0;2 917,0;1 403,8;-194,4;6 920,7;-2,8
;II.;480,5;786,7;267,1;1 001,1;210,4;423,1;3 168,8;1 081,3;542,4;697,3;907,8;4,2;338,9;3 029,5;1 464,0;-139,4;6 855,1;-2,0
;III.;451,4;733,9;274,9;986,9;197,3;454,5;3 098,8;1 065,1;525,3;683,1;893,5;4,5;343,9;2 990,1;1 412,3;-108,6;6 721,0;-1,6
;IV.;566,6;824,3;307,4;1 147,1;338,9;719,8;3 904,0;1 073,2;501,6;751,0;953,8;3,9;533,7;3 315,7;1 544,3;-588,3;6 753,2;-8,7
2009.;I.;460,0;737,0;303,4;1 115,7;112,0;520,6;3 248,6;910,8;479,7;647,9;868,2;5,4;467,5;2 899,7;1 422,8;-348,9;6 627,1;-5,3
;II.;539,0;741,8;305,1;1 048,9;206,3;483,1;3 324,2;1 076,5;543,6;692,1;876,0;3,6;449,0;3 097,3;1 471,5;-227,0;6 602,9;-3,4
;III.;426,0;698,7;300,4;1 025,3;228,7;565,6;3 244,7;1 115,4;580,2;575,3;797,4;2,3;438,3;2 928,7;1 353,0;-316,0;6 569,0;-4,8
;IV.;612,7;783,2;285,0;1 044,2;358,2;507,8;3 591,1;1 212,0;588,7;623,6;846,6;2,3;538,7;3 223,3;1 592,4;-367,8;6 721,8;-5,5
2010.;I.;499,1;778,6;293,8;1 057,2;118,7;504,4;3 251,7;1 055,8;594,2;517,7;793,4;2,9;549,5;2 919,3;1 482,7;-332,5;6 712,0;-5,0
;II.;532,3;698,7;274,9;1 059,8;231,3;592,1;3 389,1;1 144,4;607,8;536,5;778,8;2,4;478,4;2 940,4;1 451,6;-448,7;6 820,9;-6,6
;III.;484,1;701,6;274,4;1 041,2;273,6;445,1;3 220,0;1 235,8;611,2;543,9;768,2;1,7;489,1;3 038,7;1 430,4;-181,4;6 938,0;-2,6
;IV.;595,0;759,4;281,0;1 080,1;372,0;468,0;3 555,4;1 289,8;512,4;529,8;881,8;1,7;598,0;3 301,2;1 517,3;-254,2;7 014,1;-3,6
