21.2.1.27. A kormányzati szektor negyedéves nem pénzügyi számlái [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció Kód Idõszak, év / Soregyezõség;Tranzakció Kód Idõszak, negyedév / Soregyezõség;Piaci kibocsátás és saját végsõ felhasználási célú kibocsátás, nem piaci kibocsátásért fizetett összegek P.1O 2;Folyó termelõ-felhasználás P.2 3;Állóeszköz-felhasználás P.51C 5;Munkavállalói jövedelem, tartozás D.1 6;Egyéb termelési adók, tartozás D.29 7;Egyéb termelési támogatások, követelés D.39R 8;Termelési és importadók, követelés D.2 9=10+12;Termékadók, követelés D.21 10;Hozzáadottérték-adó típusú adók, követelés D.211 11;Egyéb termelési adók, követelés D.29 12;Tulajdonosi jövedelem, követelés D.4 13=14+15;Kamat, követelés D.41 14;Egyéb tulajdonosi jövedelem, követelés D.4N 15;Támogatások, tartozás D.3P 16=17+18;Termék-támogatások, tartozás D.31P 17;Egyéb termelési támogatások, tartozás D.39P 18;Tulajdonosi jövedelem, tartozás D.4 19=20+21;Kamat, tartozás D.41 20;Egyéb tulajdonosi jövedelem, tartozás D.4N 21;Folyó jövedelem-, vagyon-, stb. adók, követelés D.5 22;Nettó társadalombiztosítási hozzájárulások, követelés D.61 25;Ebbõl a munkaadók tényleges társadalombiztosítási hozzájárulásai D.611 26;Ebbõl a háztartások tényleges társadalombiztosítási hozzájárulásai D.613 27;Egyéb folyó jövedelemátutalások, követelés D.7 28;Folyó jövedelem-, vagyon-, stb. adók, tartozás D.5 29;Pénzbeni társadalmi juttatások, tartozás D.62 30;Természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.632 31;Természetbeni társadalmi juttatásokon kívüli társadalmi juttatások és természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.6M 32=30+31;Egyéb folyó jövedelemátutalások, tartozás D.7 33;Végsõ fogyasztási kiadás P.3 34=35+36;Egyéni fogyasztási kiadás P.31 35;Közösségi fogyasztási kiadás P.32 36;Nyugdíj-jogosultságok változása miatti korrekció D.8 37;Bruttó megtakarítás B.8G 38;Tõketranszferek, követelés D.9 39=40+41;Tõkeadók, követelés D.91 40;Egyéb tõketranszferek és beruházási támogatások, követelés D.9N 41;Tõketranszferek, tartozás D.9 42;Beruházási támogatások, tartozás D.92 43;Bruttó felhalmozás P.5 44=45+46;Bruttó állóeszköz-felhalmozás P.51G 45;Készletváltozás és értéktárgyak beszerzésének és eladásának egyenlege P.5M 46;Nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege NP 47;Bruttó felhalmozás és nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege P5L 48=44+47;Nettó hitelnyújtás (+)/nettó hitelfelvétel (-) B.9 49=51–50;"Összes kormányzati kiadás OTE 50=3+6+7+16
+19+29+32+33
+37+42+48";"Összes kormányzati bevétel OTR 51=2+8+9+13
+22+25+28+39";Kibocsátás P.1 1;Bruttó hozzáadott érték B.1G 4=1–3;Jövedelemadók D.51 23;Egyéb folyó adók D.59 24;Államháztartási tõketranszferek a megfelelõ szektorok részére, amelyek megállapított, de valószínûleg be nem hajtható adóknak és társadalombiztosítási hozzájárulásoknak felelnek meg D.995 52
1999.;I.;82 342;177 682;127 654;274 177;–;–;402 311;385 710;183 345;16 602;22 144;14 724;7 420;63 098;49 342;13 755;194 533;194 533;–;237 027;330 628;261 247;67 283;19 327;13;366 449;73 152;439 601;42 749;570 323;293 529;276 793;–;-98 072;6 058;1 291;4 767;34 737;24 109;84 056;80 310;3 746;-8 721;75 335;-202 086;1 301 925;1 099 839;579 513;401 830;232 279;4 748;–
;II.;84 178;180 317;127 654;296 758;–;–;460 496;446 188;225 057;14 308;20 480;13 617;6 863;57 090;44 774;12 316;194 787;194 787;–;256 367;385 305;304 449;78 410;16 337;13;386 834;73 026;459 861;37 229;593 576;305 297;288 279;–;-2 890;6 530;1 661;4 869;39 990;27 754;81 267;77 645;3 622;-8 722;72 546;-108 896;1 338 589;1 229 693;604 728;424 411;251 232;5 135;–
;III.;95 039;190 209;127 654;284 796;–;–;482 954;466 381;227 175;16 573;32 613;21 685;10 928;54 909;41 016;13 893;196 221;196 221;–;255 707;375 175;296 445;76 348;17 597;13;377 309;67 753;445 062;40 722;575 373;293 485;281 888;–;47 152;8 803;1 753;7 050;78 717;54 631;96 557;92 254;4 303;-9 263;87 294;-110 055;1 377 943;1 267 888;602 659;412 450;250 585;5 122;–
;IV.;120 643;245 379;127 654;387 669;–;–;542 145;524 594;289 244;17 551;29 170;19 395;9 775;44 503;34 549;9 955;193 843;193 843;–;321 480;428 250;338 383;87 149;20 698;13;387 608;94 492;482 100;52 241;734 551;386 315;348 236;–;56 638;30 977;1 633;29 344;194 075;134 693;147 792;141 206;6 587;-61 217;86 575;-193 035;1 686 398;1 493 363;760 702;515 323;315 040;6 440;–
2000.;I.;93 154;204 962;143 637;307 610;–;–;509 830;490 352;279 031;19 478;32 353;18 986;13 367;62 821;45 589;17 232;175 973;175 973;–;286 059;413 895;330 722;80 791;21 784;49;395 117;75 189;470 306;54 163;638 686;324 018;314 668;–;81 190;6 624;1 485;5 139;47 011;32 454;83 099;82 818;282;-3 859;79 240;-38 436;1 402 135;1 363 699;656 650;451 688;279 840;6 220;–
;II.;98 653;207 504;143 637;335 043;–;–;543 114;526 456;270 084;16 659;29 683;17 420;12 264;57 096;41 435;15 661;175 717;175 717;–;307 870;429 280;343 015;83 795;20 091;49;402 550;75 366;477 916;49 326;663 224;336 909;326 315;–;126 040;7 839;1 912;5 927;48 406;33 416;96 693;96 365;328;-4 031;92 662;-7 189;1 443 719;1 436 530;686 511;479 007;301 176;6 694;–
;III.;99 988;207 832;143 637;337 480;–;–;558 916;539 477;288 634;19 440;30 866;18 114;12 752;56 471;40 981;15 490;176 190;176 190;–;304 402;424 649;339 315;82 891;22 289;49;404 127;76 580;480 706;52 405;665 855;338 915;326 940;–;129 977;9 634;1 970;7 664;79 628;54 970;123 309;122 890;418;-4 730;118 579;-58 596;1 509 340;1 450 744;689 263;481 431;297 784;6 618;–
;IV.;111 082;273 744;143 637;436 240;–;–;588 603;567 960;322 211;20 643;26 901;15 787;11 114;41 265;29 946;11 319;176 373;176 373;–;383 748;481 169;384 477;93 923;24 280;49;475 204;113 467;588 671;61 581;856 573;451 363;405 209;–;37 862;36 549;1 743;34 806;207 900;143 522;173 136;172 549;587;-5 611;167 524;-301 014;1 953 346;1 652 332;854 188;580 445;375 405;8 343;–
2001.;I.;93 589;203 341;154 028;359 949;–;–;515 966;492 161;261 508;23 805;35 285;23 513;11 772;63 788;46 110;17 678;180 404;180 404;–;343 290;461 208;362 338;96 583;22 423;19;459 547;95 391;554 938;61 744;717 229;367 879;349 350;–;47 579;11 353;1 808;9 545;73 220;54 687;76 434;77 691;-1 258;-3 771;72 663;-86 951;1 570 064;1 483 113;715 427;512 087;336 682;6 609;–
;II.;114 869;242 757;154 028;402 250;–;–;604 958;581 039;309 299;23 919;42 049;28 020;14 028;56 774;41 040;15 734;180 984;180 984;–;374 762;480 173;377 238;100 555;20 971;19;474 154;96 100;570 254;57 297;778 427;398 413;380 014;–;127 446;12 732;2 402;10 331;66 531;49 691;92 682;94 207;-1 525;-4 461;88 221;-14 574;1 665 087;1 650 514;797 196;554 439;367 547;7 214;–
