21.2.3.2. A háztartások végsõ fogyasztási kiadásainak negyedéves volumenindexe – ESA2010 [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2018. I.;2018. II.;2018. III.;2018. IV.;2019. I.;2019. II.;2019. III.;2019. IV.;2020. I.;2020. II.;2020. III.;2020. IV.;2021. I.;2021. II.;2021. III.;2021. IV.;2022. I.;2022. II.;2022. III.;2022. IV.
Ausztria;102,2;101,3;99,5;101,5;100,8;100,4;100,8;100,2;97,0;85,2;95,0;91,1;91,3;110,0;106,7;106,7;112,4;106,6;;
Belgium;102,3;101,8;101,7;102,0;100,8;101,3;102,3;102,3;96,3;83,6;97,3;89,5;96,7;114,2;102,1;110,6;108,1;105,6;;
Bulgária;105,2;104,3;103,8;102,3;104,2;105,5;104,7;106,3;102,3;97,0;100,6;100,3;105,2;111,2;108,8;108,5;105,1;103,6;;
Ciprus;104,8;105,1;105,7;104,9;105,7;105,3;103,9;100,6;99,5;81,0;96,9;95,3;95,2;119,2;102,2;104,1;107,2;107,0;;
Csehország;104,6;103,6;103,3;102,5;102,4;103,1;102,5;102,6;97,0;89,3;94,8;90,0;94,0;108,9;105,5;108,3;108,0;100,2;;
Dánia;103,5;104,5;104,3;101,6;102,6;100,3;100,9;102,6;98,7;95,4;100,5;100,0;98,1;109,6;105,1;104,1;104,2;97,6;;
Észtország;102,7;106,4;105,5;105,0;107,1;104,2;102,5;103,7;104,2;92,8;98,9;99,8;98,2;114,0;108,8;106,8;107,6;104,3;;
Finnország;101,8;103,0;101,3;100,8;100,5;99,9;101,6;101,0;100,4;90,0;96,9;96,6;97,5;110,2;103,3;104,3;103,2;104,3;;
Franciaország;101,4;100,9;100,7;100,9;101,4;102,1;101,9;101,8;95,7;84,1;99,3;93,7;99,3;113,5;101,6;107,9;106,2;105,4;;
Görögország;102,2;102,0;101,5;101,1;101,2;101,0;101,0;101,5;101,2;86,0;90,6;92,7;95,1;115,0;112,0;112,0;111,9;111,0;;
Hollandia;102,9;102,4;101,5;101,8;100,6;100,8;100,8;101,4;98,8;87,3;95,0;93,6;92,0;110,4;106,0;106,9;113,0;107,0;;
Horvátország;103,3;103,3;103,0;103,8;104,7;103,1;104,1;104,4;101,5;87,1;93,8;96,4;99,6;117,6;116,1;107,8;106,1;107,3;;
Írország;103,5;105,0;103,7;102,6;103,8;102,7;101,8;101,7;93,7;79,1;90,9;88,7;87,9;116,8;106,2;109,3;116,5;105,2;;
Lengyelország;104,9;104,8;104,2;104,6;104,1;103,5;103,0;103,2;101,5;89,6;98,9;96,5;99,8;113,9;104,6;107,9;106,4;106,5;;
Lettország;103,0;104,0;103,0;102,3;100,9;101,3;100,5;98,2;99,8;83,6;100,0;98,2;98,2;120,2;103,6;113,1;116,3;107,9;;
Litvánia;102,9;104,0;104,3;103,3;102,7;103,2;102,2;102,9;100,8;91,2;100,5;97,9;101,9;115,0;107,0;108,7;106,8;100,5;;
Luxemburg;102,6;102,4;102,0;103,4;102,0;102,0;102,7;102,5;96,4;83,0;97,7;94,0;103,7;122,7;104,5;108,8;105,8;102,8;;
Magyarország;105,5;105,3;104,9;104,7;104,6;104,8;104,9;105,6;105,4;93,9;98,0;98,2;95,1;109,9;107,2;108,0;112,3;109,4;;
Málta;105,7;108,4;110,7;110,2;107,9;104,0;103,9;102,8;96,7;80,2;89,2;92,9;96,1;117,1;108,5;108,3;110,8;112,0;;
Németország;102,0;101,7;101,0;101,1;101,9;101,5;102,0;101,3;98,3;87,5;96,7;94,0;91,4;106,6;101,5;102,9;109,1;106,4;;
Olaszország;101,3;101,0;100,9;100,8;100,0;99,9;100,7;100,2;92,1;82,3;93,1;90,7;97,4;113,6;103,9;106,6;106,8;105,0;;
Portugália;102,3;102,9;102,4;102,9;103,4;103,3;103,5;102,9;98,8;83,3;95,3;94,5;93,0;118,2;104,0;105,5;111,7;104,6;;
Románia;111,2;109,5;107,4;108,9;105,4;102,5;100,5;103,5;104,1;89,6;96,1;95,4;96,0;113,2;110,8;106,2;107,2;107,9;;
Spanyolország;102,6;102,1;101,3;100,8;100,3;99,1;102,8;102,0;95,7;76,3;89,2;89,6;95,5;123,3;104,0;104,5;103,4;102,4;;
Svédország;102,2;102,6;101,2;101,4;100,1;100,3;101,4;101,2;101,7;92,0;97,0;96,5;98,6;110,0;106,8;108,6;106,2;106,0;;
Szlovákia;105,0;103,4;103,7;103,5;102,9;103,6;102,2;102,2;100,6;95,8;99,9;98,0;95,5;105,4;102,4;104,2;109,0;103,9;;
Szlovénia;103,6;103,2;103,3;104,2;104,6;105,1;106,9;104,7;96,9;86,4;100,8;88,6;97,2;114,1;105,9;121,1;119,0;112,5;;
EU27_2020;102,3;102,1;101,5;101,5;101,5;101,3;101,9;101,6;97,1;85,3;95,8;93,1;95,4;112,2;103,6;106,1;107,7;105,4;;
Egyesült Királyság;101,0;101,4;101,6;101,7;101,3;101,5;101,2;100,4;97,6;76,6;90,9;91,0;..;..;..;..;..;..;;
Egyesült Államok;102,8;103,1;103,2;102,5;101,9;101,8;102,0;102,2;100,5;90,6;98,3;98,6;102,8;116,6;107,4;107,2;104,8;102,4;;
Japán;100,5;100,1;100,4;99,8;100,0;99,9;100,7;97,3;97,9;89,3;93,5;98,5;97,0;106,9;100,4;101,3;102,2;103,0;;
