21.2.1.28. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;
Év;Idõszak (negyedév);Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: ezen belül: kereskedelem, gépjármûjavítás;Ebbõl: ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"Ebbõl: ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";Ebbõl: ezen belül: oktatás;Ebbõl: ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
1995.;I.;277,8;1 046,4;904,8;220,7;2 273,2;884,6;..;..;..;68,0;89,4;60,9;117,9;887,2;..;..;..;165,2;3 818,1
;II.;327,9;1 060,9;903,4;222,9;2 305,8;899,8;..;..;..;69,0;88,2;60,5;118,3;900,7;..;..;..;169,3;3 917,5
;III.;395,2;1 092,2;919,0;224,4;2 342,4;912,6;..;..;..;70,8;88,0;59,1;120,9;918,8;..;..;..;172,1;4 054,3
;IV.;332,1;1 091,4;933,3;224,8;2 333,4;909,5;..;..;..;71,5;87,6;58,1;122,5;918,4;..;..;..;165,8;3 981,7
1996.;I.;286,6;1 039,9;908,3;220,5;2 241,4;907,2;..;..;..;65,8;91,3;61,6;112,3;849,8;..;..;..;153,4;3 788,4
;II.;338,6;1 058,3;909,9;224,0;2 286,0;928,5;..;..;..;67,1;90,5;62,3;113,4;866,3;..;..;..;157,9;3 906,9
;III.;407,8;1 087,3;924,4;226,6;2 328,1;945,5;..;..;..;69,4;90,5;62,3;116,7;882,2;..;..;..;161,7;4 049,8
;IV.;342,1;1 087,8;943,6;229,6;2 336,6;948,9;..;..;..;70,8;91,0;63,6;119,7;884,9;..;..;..;157,7;3 996,1
1997.;I.;274,9;1 067,1;928,2;225,6;2 274,2;926,3;..;..;..;62,9;91,0;60,2;137,0;840,9;..;..;..;155,9;3 841,8
;II.;323,0;1 076,5;924,4;227,9;2 304,5;941,5;..;..;..;63,9;89,6;62,0;137,8;849,8;..;..;..;159,8;3 931,8
;III.;392,7;1 111,5;944,9;230,3;2 352,7;960,5;..;..;..;66,1;89,9;63,2;141,5;868,6;..;..;..;162,9;4 087,1
;IV.;330,9;1 115,4;966,7;232,4;2 361,3;966,6;..;..;..;67,0;90,3;64,8;144,2;869,8;..;..;..;158,5;4 039,9
1998.;I.;261,3;1 096,5;968,1;234,2;2 276,0;897,9;..;..;..;69,2;89,1;55,0;149,9;850,2;..;..;..;164,7;3 867,9
;II.;307,0;1 115,9;968,1;235,7;2 308,8;913,0;..;..;..;70,0;87,6;58,5;149,8;862,0;..;..;..;167,9;3 967,3
;III.;372,4;1 156,5;989,4;237,7;2 358,2;930,7;..;..;..;72,4;87,2;62,5;154,2;880,0;..;..;..;171,0;4 124,7
;IV.;314,4;1 164,7;1 012,6;238,7;2 366,6;931,8;..;..;..;73,6;87,3;67,8;157,1;883,8;..;..;..;165,2;4 084,5
1999.;I.;257,7;1 108,5;991,6;253,2;2 333,8;943,4;..;..;..;70,1;87,0;64,4;165,7;839,1;..;..;..;164,2;3 953,2
;II.;306,5;1 133,6;996,9;256,5;2 380,5;964,0;..;..;..;71,6;86,2;66,6;167,4;856,5;..;..;..;168,1;4 077,1
;III.;367,1;1 168,8;1 013,9;257,4;2 414,5;978,0;..;..;..;73,9;86,3;63,4;171,3;871,2;..;..;..;170,5;4 207,8
;IV.;308,1;1 166,3;1 024,9;256,7;2 392,7;972,8;..;..;..;74,2;85,9;56,6;173,1;866,0;..;..;..;164,1;4 123,8
2000.;I.;240,2;1 106,3;994,0;252,5;2 387,5;967,5;..;..;..;78,5;90,1;74,8;192,7;831,7;..;..;..;152,2;3 986,6
;II.;283,8;1 125,7;994,1;256,2;2 421,9;989,4;..;..;..;79,8;89,5;63,8;194,2;848,6;..;..;..;156,6;4 087,6
;III.;341,7;1 157,7;1 014,2;258,7;2 466,7;1 008,5;..;..;..;82,4;89,7;56,2;199,4;870,7;..;..;..;159,9;4 224,8
;IV.;288,8;1 154,3;1 032,3;258,3;2 462,8;1 002,7;..;..;..;83,3;89,6;54,4;201,0;878,6;..;..;..;153,4;4 164,2
2001.;I.;228,9;1 141,0;1 022,4;257,0;2 420,6;995,4;..;..;..;87,2;84,9;58,5;202,6;838,4;..;..;..;153,6;4 047,5
;II.;270,0;1 132,8;1 010,5;258,6;2 442,8;1 000,9;..;..;..;87,6;84,2;60,7;199,9;854,1;..;..;..;155,5;4 104,2
;III.;324,4;1 144,2;1 015,1;260,0;2 494,4;1 017,9;..;..;..;91,1;84,8;63,8;203,5;875,6;..;..;..;157,7;4 223,0
;IV.;273,4;1 115,1;1 004,5;256,9;2 475,4;1 007,5;..;..;..;92,6;84,7;63,5;201,5;875,5;..;..;..;149,9;4 120,8
