21.2.1.29. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott adatok [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
1995.;I.;333,6;1 070,1;912,6;220,7;2 320,7;892,4;69,2;88,2;60,9;117,9;916,2;168,7;3 952,3
;II.;333,6;1 071,6;914,1;222,9;2 316,7;898,4;69,6;88,3;60,5;118,3;909,3;167,9;3 944,4
;III.;333,2;1 073,9;916,5;224,4;2 312,5;905,5;70,0;88,4;59,1;120,9;903,3;167,8;3 940,9
;IV.;332,7;1 075,3;917,3;224,8;2 305,0;910,2;70,6;88,3;58,1;122,5;896,3;167,9;3 934,0
1996.;I.;345,5;1 062,6;915,1;220,5;2 287,3;920,8;66,9;90,3;61,6;112,3;875,9;156,7;3 919,8
;II.;345,2;1 068,8;920,8;224,0;2 297,2;929,9;67,7;90,7;62,3;113,4;874,1;156,6;3 936,4
;III.;343,3;1 069,4;922,5;226,6;2 299,0;936,2;68,5;90,8;62,3;116,7;867,9;157,7;3 938,4
;IV.;341,0;1 072,5;927,8;229,6;2 308,6;943,2;69,9;91,3;63,6;119,7;865,3;159,8;3 946,5
1997.;I.;333,5;1 089,2;932,4;225,6;2 317,6;939,4;63,9;90,5;60,2;137,0;862,9;159,2;3 967,8
;II.;330,4;1 086,9;935,3;227,9;2 315,5;944,5;64,4;90,1;62,0;137,8;856,4;158,5;3 964,2
;III.;329,9;1 093,6;944,0;230,3;2 324,0;951,2;65,3;90,2;63,2;141,5;856,0;158,9;3 978,0
;IV.;327,5;1 100,7;952,4;232,4;2 335,5;959,8;66,2;90,1;64,8;144,2;853,9;160,5;3 990,7
1998.;I.;317,7;1 119,8;972,5;234,2;2 314,6;904,0;70,3;88,6;55,0;149,9;871,2;168,2;3 986,9
;II.;314,0;1 126,8;979,2;235,7;2 317,5;912,4;70,5;88,0;58,5;149,8;868,0;166,5;3 995,6
;III.;312,8;1 137,6;988,0;237,7;2 330,2;923,7;71,6;87,4;62,5;154,2;867,6;166,8;4 017,6
;IV.;310,5;1 149,3;998,4;238,7;2 347,2;933,3;72,8;87,2;67,8;157,1;869,2;167,3;4 044,4
1999.;I.;314,0;1 132,3;999,0;253,2;2 368,2;950,8;71,2;86,5;64,4;165,7;860,6;167,6;4 069,6
;II.;313,4;1 143,9;1 007,9;256,5;2 386,0;961,5;72,2;86,5;66,6;167,4;862,0;166,7;4 098,2
;III.;308,6;1 149,3;1 010,3;257,4;2 386,8;969,3;73,0;86,4;63,4;171,3;858,4;166,3;4 100,1
;IV.;303,5;1 151,7;1 010,0;256,7;2 380,5;976,6;73,4;86,0;56,6;173,1;851,7;166,3;4 094,0
2000.;I.;293,0;1 127,0;999,5;252,5;2 420,9;979,8;79,7;90,3;74,8;192,7;853,5;155,4;4 095,9
;II.;290,3;1 134,3;1 003,6;256,2;2 427,2;990,3;80,4;90,0;63,8;194,2;853,9;155,3;4 108,4
;III.;287,6;1 139,3;1 010,5;258,7;2 438,4;996,9;81,4;89,6;56,2;199,4;858,1;156,0;4 119,9
;IV.;283,5;1 143,4;1 021,0;258,3;2 452,5;1 001,1;82,5;89,1;54,4;201,0;863,9;155,4;4 139,1
2001.;I.;278,3;1 157,5;1 020,4;257,0;2 454,0;1 006,5;88,5;85,9;58,5;202,6;859,3;156,9;4 141,2
;II.;276,5;1 139,0;1 015,7;258,6;2 447,4;1 002,0;88,2;84,8;60,7;199,9;858,3;154,1;4 120,2
;III.;274,3;1 127,6;1 013,5;260,0;2 465,6;1 005,7;90,0;84,3;63,8;203,5;864,0;153,8;4 126,2
;IV.;267,6;1 109,0;1 003,0;256,9;2 466,3;1 007,4;91,7;83,5;63,5;201,5;862,0;151,9;4 107,9
2002.;I.;274,0;1 136,8;1 019,6;259,2;2 450,3;1 004,2;89,5;81,9;61,9;204,2;865,3;152,8;4 109,7
;II.;266,6;1 129,1;1 013,8;262,1;2 463,6;1 006,9;88,5;82,0;62,7;206,4;864,6;152,0;4 115,0
;III.;261,8;1 120,9;1 006,4;262,4;2 467,7;1 001,6;88,6;81,7;64,8;211,2;864,6;152,5;4 116,6
;IV.;258,5;1 118,3;1 003,3;260,5;2 478,6;992,8;89,5;81,5;68,2;215,4;871,9;152,8;4 129,0
2003.;I.;238,9;1 115,1;996,7;293,3;2 523,6;988,1;93,1;80,8;60,9;229,8;917,7;165,3;4 168,4
;II.;238,1;1 117,0;1 000,3;298,8;2 550,8;990,1;93,8;81,0;65,7;232,9;919,6;166,9;4 198,1
;III.;234,7;1 103,0;997,9;300,3;2 564,5;995,7;94,1;79,6;68,3;240,3;915,7;167,7;4 203,6
;IV.;233,1;1 093,0;999,8;300,4;2 583,1;1 007,2;94,3;79,2;67,6;246,1;911,7;168,8;4 217,6
