11.1.1.2. Az igazságszolgáltatás fõbb adatainak hosszú idõsora;;;;;;;
Év;Bûncselekmények száma;Bûnelkövetõk száma, fiatalkorú;Bûnelkövetõk száma, felnõtt;Bûnelkövetõk száma összesen;Jogerõsen elítéltek száma, fiatalkorú;Jogerõsen elítéltek száma, felnõtt;Jogerõsen elítéltek száma összesen
1965;121 961;7 415;79 900;87 315;5 037;63 936;68 973
1966;121 056;7 743;80 009;87 752;5 865;67 944;73 809
1967;119 872;7 400;69 409;76 809;5 920;67 853;73 773
1968;118 254;7 021;61 426;68 447;4 553;54 854;59 407
1969;110 622;7 638;63 872;71 510;4 700;53 240;57 940
1970;122 289;8 314;58 363;66 677;4 942;46 036;50 978
1971;123 147;9 453;67 521;76 974;6 801;57 521;64 322
1972;125 999;9 390;68 650;78 040;7 171;64 181;71 352
1973;125 388;7 963;68 054;76 017;6 506;65 303;71 809
1974;111 825;6 974;62 543;69 517;5 725;64 909;70 634
1975;120 889;7 520;64 529;72 049;5 339;59 233;64 572
1976;129 424;7 072;69 505;76 577;5 931;65 938;71 869
1977;123 623;6 852;71 704;78 556;5 555;66 240;71 795
1978;126 907;7 019;72 497;79 516;5 512;66 675;72 187
1979;125 267;6 787;67 051;73 838;4 757;58 459;63 216
1980;130 470;6 535;66 345;72 880;4 613;55 300;59 913
1981;134 914;7 394;70 255;77 649;5 098;57 618;62 716
1982;139 795;7 829;69 345;77 174;5 527;58 099;63 626
1983;151 505;8 817;74 507;83 324;5 865;60 282;66 147
1984;157 036;9 691;73 802;83 493;6 290;57 568;63 858
1985;165 816;9 449;76 317;85 766;6 067;54 851;60 918
1986;182 867;10 574;82 602;93 176;6 513;59 296;65 809
1987;188 397;9 887;82 756;92 643;6 655;61 936;68 591
1988;185 344;8 667;73 662;82 329;6 220;61 977;68 197
1989;225 393;9 661;79 271;88 932;6 362;58 358;64 720
1990;341 061;12 264;99 990;112 254;5 156;42 538;47 694
1991;440 370;13 509;109 326;122 835;6 200;59 447;65 647
1992;447 222;15 476;117 168;132 644;6 898;70 583;77 481
1993;400 935;15 001;107 620;122 621;6 608;67 873;74 481
1994;389 451;14 479;105 015;119 494;7 537;70 787;78 324
1995;502 036;14 321;106 800;121 121;8 717;77 029;85 746
1996;466 050;13 544;108 682;122 226;7 769;75 525;83 294
1997;514 403;13 955;117 011;130 966;7 447;80 626;88 073
1998;600 621;12 866;127 217;140 083;8 036;89 249;97 285
1999;505 716;11 540;120 118;131 658;7 750;88 436;96 186
2000;450 673;11 081;111 699;122 780;7 524;87 689;95 213
2001;465 694;11 631;108 850;120 481;7 029;88 241;95 270
2002;420 782;11 689;110 097;121 786;7 321;92 405;99 726
2003;413 343;10 473;107 557;118 030;6 726;87 476;94 202
2004;418 883;12 325;117 662;129 987;7 086;91 890;98 976
2005;436 522;12 197;121 593;133 790;7 239;91 285;98 524
2006;425 941;11 287;112 884;124 171;7 120;90 324;97 444
2007;426 914;10 909;105 252;116 161;6 197;81 305;87 502
2008;408 407;11 438;105 146;116 584;6 234;78 223;84 457
2009;394 034;10 036;101 678;111 714;6 283;80 618;86 901
2010;447 186;11 248;111 280;122 528;6 554;82 789;89 343
2011;451 371;11 034;101 860;112 894;5 840;79 270;85 110
2012;472 225;10 056;90 182;100 238;5 096;70 195;75 291
2013;377 829;10 211;93 404;103 615;5 497;67 277;72 774
2014;329 575;8 740;96 396;105 584;5 547;70 919;76 466
2015;280 113;7 815;91 133;99 018;4 538;67 216;71 754
2016;290 779;7 647;90 458;98 136;4 136;67 550;71 686
2017;226 452;6 458;83 894;90 369;3 730;65 005;68 735
2018;199 830;3 389;48 498;51 896;3 369;63 313;66 682
2019;165 648;..;..;..;2 858;61 179;64 037
2020;162 416;..;..;..;2 322;50 428;52 750
2021;154 012;..;..;..;2 237;52 699;54 936
