11.1.1.6. Jogerõsen elítéltek;;;;;
Év;Fiatalkorú;Felnõtt;Összesen;Ebbõl: nõ;Elítéltek százezer 14 éves és annál idõsebb lakosra
1990;5 156;42 538;47 694;4 033;564
1991;6 200;59 447;65 647;5 699;772
1992;6 898;70 583;77 481;6 649;907
1993;6 608;67 873;74 481;6 244;870
1994;7 537;70 787;78 324;6 874;912
1995;8 717;77 029;85 746;8 133;997
1996;7 769;75 525;83 294;8 309;968
1997;7 447;80 626;88 073;9 079;1 023
1998;8 036;89 249;97 285;10 670;1 129
1999;7 750;88 436;96 186;11 176;1 116
2000;7 524;87 689;95 213;11 615;1 103
2001;7 029;88 241;95 270;11 652;1 103
2002;7 321;92 405;99 726;12 363;1 155
2003;6 726;87 476;94 202;12 180;1 091
2004;7 086;91 890;98 976;13 275;1 146
2005;7 239;91 285;98 524;13 735;1 140
2006;7 120;90 324;97 444;14 280;1 126
2007;6 197;81 305;87 502;12 264;1 011
2008;6 234;78 223;84 457;12 053;976
2009;6 283;80 618;86 901;13 096;1 005
2010;6 554;82 789;89 343;14 269;1 034
2011;5 840;79 270;85 110;11 400;987
2012;5 096;70 195;75 291;9 884;877
2013;5 497;67 277;72 774;9 419;850
2014;5 547;70 919;76 466;9 305;896
2015;4 538;67 216;71 754;9 008;843
2016;4 136;67 550;71 686;9 088;845
2017;3 730;65 005;68 735;8 943;812
2018;3 369;63 313;66 682;8 884;789
2019;2 858;61 179;64 037;8 460;758
2020;2 322;50 428;52 750;7 067;626
2021;2 237;52 699;54 936;7 521;654
