13.1.1.1. Az ipar összefoglaló adatai ;;;;;;;;;
Év;Az ipar részesedése a bruttó hozzáadott értékbõl, %;Termelés folyó áron, milliárd Ft;Értékesítés belföldre folyó áron, milliárd Ft;Értékesítés exportra folyó áron, milliárd Ft;Értékesítés összesen folyó áron, milliárd Ft;Termelés elõzõ év =100,0%;Értékesítés belföldre elõzõ év =100,0%;Értékesítés exportra elõzõ év =100,0%;Értékesítés összesen elõzõ év =100,0%
2001;26,0;12 589;7 132;6 849;13 981;103,7;100,2;108,8;104,2
2002;25,1;12 753;7 370;6 919;14 289;103,2;101,2;105,8;103,4
2003;25,3;13 888;7 866;7 694;15 559;106,9;100,7;111,7;105,9
2004;26,0;15 435;8 507;8 787;17 294;107,8      ;98,5      ;115,1      ;106,2      
2005;25,8;16 920;9 689;9 738;19 427;106,8      ;105,2      ;111,5      ;108,2      
2006;26,0;19 798;11 057;11 759;22 816;109,9      ;102,6      ;114,3      ;108,3      
2007;26,1;21 361;12 077;13 083;25 160;107,9      ;101,7      ;115,5      ;108,4      
2008;25,2;22 024;13 573;13 304;26 877;100,0      ;99,4      ;100,1      ;99,8      
2009;24,7;18 886;11 897;11 568;23 466;82,2      ;87,5      ;81,2      ;84,3      
2010;25,5;21 466;12 177;13 718;25 895;110,6      ;97,0      ;116,9      ;106,6      
2011;25,5;23 788;12 357;15 258;27 615;105,6      ;94,8      ;107,9      ;101,6      
2012;25,9;24 305;12 558;15 626;28 185;98,2      ;96,1      ;99,3      ;97,8      
2013;25,6;24 750;12 124;16 609;28 733;101,1      ;97,8      ;104,4      ;101,5      
2014;26,2;26 808;11 852;18 536;30 388;107,7      ;100,8      ;110,5      ;106,5      
2015;27,1;28 494;11 701;20 430;32 131;107,4      ;102,8      ;109,8      ;107,2      
2016;26,5;28 465;11 107;20 300;31 407;100,9      ;98,9      ;100,3      ;99,8      
2017;25,4;30 578;11 890;21 790;33 679;104,6;103,3;105,1;104,4
2018;24,6;33 319;13 410;23 294;36 704;103,5;105,9;101,6;103,1
2019;23,5;35 996;14 571;25 081;39 652;105,6;105,0;106,6;106,0
2020;23,2;35 453;13 945;25 121;39 066;94,0;94,9;94,7;94,8
2021;22,5;42 543;18 082;30 823;48 905;109,5;110,9;108,9;109,7
