13.1.1.2. Az ipari termelés volumenindexének és néhány fontosabb ipari termék termelésének hosszú idõsora ;;;;;;;;;;;;;;;;;
Év;"A termelés volumenindexei,
1960 = 100,0%";"Villamos energia, 
millió kWh";"Szén, 
ezer tonna";"Földgáz,
millió m3";Bauxit ezer tonna;Nyersacél ezer tonna;Cement ezer tonna;"Autóbusz,
darab";"Televízió- készülék,
ezer db";Kénsav, technikai ezer tonna;Mûtrágya ezer tonna;Mûanyag- alapanyag ezer tonna;Papír és karton ezer tonna;"Pamut-szövet,
millió m2";"Bõr lábbeli,
ezer pár";"Cukor, ezer
 tonna";"Sör,
 millió liter"
1960;100;7 617;26 524;342;1 190;1 887;1 571;1 877;139;164;102;10;138;247;21 334;380;356
1961;110;8 382;28 175;327;1 366;2 053;1 601;1 955;178;189;124;13;151;264;23 207;434;378
1962;119;9 119;28 651;340;1 468;2 333;1 733;2 300;210;212;146;14;161;281;22 807;358;383
1963;127;9 665;30 479;611;1 363;2 374;1 798;2 299;251;267;168;20;162;292;23 852;375;408
1964;138;10 580;31 548;784;1 477;2 365;2 257;2 385;270;322;192;25;173;314;24 878;449;423
1965;145;11 177;31 437;1 108;1 477;2 520;2 383;2 688;267;378;265;27;174;323;25 738;428;444
1966;154;11 861;30 348;1 552;1 429;2 649;2 601;2 919;298;393;299;33;192;334;26 983;436;463
1967;168;12 490;27 029;2 045;1 650;2 739;2 656;3 371;316;424;337;36;239;339;30 468;432;480
1968;176;13 155;27 213;2 687;1 959;2 902;2 801;3 979;339;446;401;39;258;330;32 763;398;481
1969;180;14 069;26 498;3 235;1 934;3 033;2 565;4 774;345;454;470;39;251;317;32 874;416;490
1970;196;14 542;27 830;3 469;2 022;3 108;2 771;5 956;364;457;518;56;259;304;36 575;280;501
1971;209;14 994;27 424;3 705;2 090;3 111;2 712;6 308;371;468;552;83;269;306;37 809;241;503
1972;220;16 320;25 841;4 110;2 358;3 273;2 969;6 909;350;566;555;100;290;312;37 173;298;496
1973;235;17 641;26 781;4 821;2 600;3 327;3 405;7 749;353;648;594;111;319;346;41 182;300;586
1974;255;18 981;25 761;5 101;2 751;3 468;3 437;9 064;395;657;583;115;333;355;41 103;267;646
1975;267;20 465;24 887;5 182;2 890;3 673;3 759;10 884;400;630;704;124;343;352;43 155;308;662
1976;279;22 049;25 257;6 082;2 918;3 652;4 298;11 997;412;616;869;141;372;353;44 716;363;677
1977;297;23 401;25 454;6 611;2 949;3 723;4 620;12 421;423;633;907;148;424;366;45 580;438;700
1978;312;25 554;25 670;7 346;2 899;3 877;4 764;13 605;435;644;1 023;213;444;365;46 151;496;723
1979;321;24 514;25 659;6 521;2 976;3 908;4 857;14 230;421;588;1 043;294;436;349;44 883;498;741
1980;315;23 874;25 701;6 142;2 950;3 764;4 660;14 032;417;590;1 045;328;440;332;43 225;468;784
1981;324;24 288;25 942;6 011;2 914;3 643;4 635;12 191;424;573;1 112;314;457;320;43 552;490;799
1982;331;24 693;26 079;6 641;2 627;3 702;4 369;13 255;351;571;1 071;326;462;311;43 714;459;788
1983;334;25 713;25 213;6 510;2 917;3 616;4 243;12 806;363;606;1 110;345;478;307;43 627;477;783
1984;343;26 239;25 047;6 911;2 994;3 750;4 145;13 025;370;549;1 100;385;506;303;44 569;407;796
1985;346;26 725;24 042;7 456;2 815;3 646;3 678;13 246;407;520;1 066;389;494;310;45 169;483;874
1986;353;28 004;23 129;7 022;3 022;3 713;3 846;13 383;417;540;1 040;426;517;314;42 324;422;896
1987;366;29 693;22 844;7 126;3 101;3 621;4 153;12 956;446;573;1 067;545;522;311;39 356;447;905
1988;367;29 183;20 875;6 272;2 593;3 583;3 873;12 350;433;512;921;590;535;312;35 683;422;942
1989;365;29 580;20 030;6 176;2 644;3 356;3 857;11 980;502;482;897;643;504;263;29 528;508;972
1990;353;28 365;17 578;4 932;2 559;2 963;3 933;7 994;492;244;749;615;443;222;24 306;512;992
1991;303;29 932;16 974;5 043;2 037;1 930;2 529;4 970;308;134;368;657;362;143;18 725;605;957
1992;274;31 238;15 943;5 057;1 721;1 541;2 236;3 572;274;95;193;696;348;90;14 016;399;916
1993;285;32 630;12 593;5 011;1 561;1 753;2 533;3 181;204;71;182;675;295;81;11 777;393;788
1994;312;33 366;13 906;5 564;836;1 937;2 793;1 625;272;80;236;720;326;78;11 666;439;808
1995;326;33 928;14 452;5 404;1 015;1 865;2 875;1 207;274;107;206;764;316;68;11 401;480;770
1996;337;34 978;15 076;5 134;1 056;2 060;2 747;967;707;90;375;786;359;85;12 295;563;727
1997;375;35 305;15 565;4 689;743;1 819;2 811;1 951;963;84;350;855;408;78;11 868;489;697
1998;421;37 023;14 491;4 340;909;1 940;2 999;1 232;1 703;62;294;982;434;44;11 714;439;716
1999;465;36 968;14 543;3 693;935;1 920;2 980;706;2 521;53;239;983;454;40;12 639;438;700
2000;549;34 192;13 979;3 451;1 046;1 969;3 326;810;3 185;80;350;1 068;503;37;13 373;280;719
2001;569;34 047;13 452;3 476;1 000;2 065;3 452;873;3 478;...;338;1 096;501;39;14 631;443;714
2002;585;32 535;12 330;3 353;720;2 138;3 510;372;3 718;59;265;1 200;512;32;14 137;352;728
2003;622;32 933;12 779;3 145;666;2 045;3 573;258;4 020;73;248;1 222;537;25;11 048;259;725
2004;668;31 719;10 631;3 112;647;1 944;...;412;4 886;...;294;1 267;575;25;9 341;493;629
2005;714;33 107;9 410;3 041;...;2 005;3 371;311;5 881;...;323;1 451;573;20;8 324;517;663
2006;785;32 156;9 819;3 254;...;2 144;3 724;440;8 308;...;284;1 578;551;18;8 360;357;721
2007;850;35 763;9 882;2 653;...;2 317;3 552;314;9 696;...;359;1 672;529;13;9 016;...;757
2008;840;34 824;9 464;2 703;...;2 160;3 544;191;13 058;...;...;1 512;422;5;6 328;...;705
2009;691;30 448;8 971;2 748;...;1 425;...;261;12 998;...;...;1 287;453;5;5 470;...;651
2010;764;34 191;9 016;2 600;...;1 681;...;...;17 635;...;...;1 473;654;3;5 837;...;616
2011;807;34 269;9 523;2 315;...;1 729;1 710;...;12 710;...;...;1 628;706;2;9 622;...;645
2012;792;32 327;9 336;2 205;...;1 543;1 549;...;9 829;...;1 009;1 822;730;2;9 458;...;639
2013;800;28 598;9 582;2 028;...;883;1 350;...;8 525;...;761;1 687;768;12;10 410;...;600
2014;862;28 034;9 589;1 849;...;1 152;...;...;7 937;...;1 106;1 816;776;8;10 343;...;595
2015;926;29 022;9 269;1 734;10;...;...;65;...;...;999;1 914;786;11;8 603;...;582
2016;935;29 991;9 217;1 820;17;...;...;187;...;...;1 098;1 861;812;11;7 906;...;608
2017;978;30 710;7 954;1 605;4;1 900;...;234;...;...;1 415;1 453;842;1;7 718;148;614
2018;1013;29 497;7 888;1 708;5;1 989;...;…;...;...;1 183;1 504;815;1;7 347;116;589
2019;1070;30 800;6 841;1 368;0;1 769;...;438;7 398;...;1 169;1 488;838;1;6 458;124;577
2020;1006;30 578;6 124;1 237;..;1 513;…;580;7 537;…;1 386;1 575;838;0;5 008;…;534
2021;1102;30 547;4 987;1 098;..;…;…;…;6 357;55;1 307;1 626;828;0;4 698;…;554
