13.1.1.5. Az ipari termelés volumenindexei alágak szerint [az elõzõ év = 100,0%];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;115,0;99,4;101,4;104,4;97,3;96,6;95,7;110,4;103,0;90,5;150,5;121,5;105,4;118,2;104,2;100,0;104,0
2002;89,9;101,5;95,1;103,3;101,4;103,4;99,2;106,7;96,9;105,2;109,8;131,5;102,7;106,2;104,0;102,7;103,8
2003;98,4;98,8;90,2;104,2;92,6;99,7;121,3;102,8;111,7;150,8;72,9;95,6;114,2;87,9;107,7;102,3;107,2
2004;109,6;96,0;94,9;99,3;111,2;102,2;108,0;101,3;107,2;126,7;117,4;106,1;107,1;112,9;108,7;98,4;107,9
2005;96,4;94,7;90,8;102,6;110,9;112,0;98,9;108,0;97,7;119,7;105,5;108,8;113,8;102,1;107,7;98,3;106,9
2006;115,1;101,2;102,3;102,6;98,2;99,3;112,8;113,3;111,5;117,3;106,3;110,4;121,3;113,7;110,9;100,1;110,2
2007;82,6;96,1;99,7;102,2;104,0;106,2;95,6;116,5;102,9;114,5;102,5;115,7;115,6;109,2;108,4;104,1;107,9
2008;135,4;93,3;88,6;100,5;98,3;94,4;107,2;102,1;100,9;97,3;95,7;112,8;100,8;124,3;99,4;104,8;99,9
2009;88,8;98,0;76,7;88,7;89,5;83,9;99,8;77,1;61,3;85,5;78,9;90,8;70,6;101,5;81,6;88,4;82,1
2010;78,1;99,3;97,4;119,3;102,1;113,7;106,3;107,7;112,7;122,3;87,6;141,7;118,1;95,0;111,9;101,0;110,8
2011;110,2;103,1;124,6;97,2;98,1;107,7;109,2;109,6;113,4;94,8;89,1;143,9;112,2;103,5;106,0;98,3;105,5
2012;108,0;104,6;96,5;98,1;90,3;99,7;103,5;100,7;99,7;82,8;99,0;101,2;107,8;110,7;98,3;96,6;98,3
2013;92,3;99,0;97,7;100,6;98,1;105,6;88,2;97,3;100,7;88,1;102,9;97,0;118,2;101,6;101,4;95,3;101,0
2014;99,9;104,4;115,4;109,1;101,0;108,6;101,8;105,0;105,9;101,3;107,0;104,3;120,7;108,9;108,7;95,4;107,9
2015;86,6;104,3;101,9;101,7;97,1;102,4;103,7;115,1;103,4;107,3;105,9;99,5;116,0;114,9;108,0;106,1;107,8
2016;82,2;101,0;99,8;106,4;99,3;98,2;97,2;103,0;104,0;109,5;106,1;89,6;100,6;103,1;101,4;100,6;101,3
2017;123,9;101,1;106,9;102,5;103,7;97,8;107,4;107,6;112,1;108,7;104,7;110,0;101,8;103,0;104,6;100,2;104,4
2018;154,3;104,3;96,5;107,5;104,0;105,7;98,7;115,6;107,0;107,6;108,4;91,1;99,8;98,8;103,5;96,9;103,4
2019;118,8;105,0;90,1;106,0;96,3;95,3;103,4;103,3;99,0;106,8;120,6;102,9;110,3;112,7;105,6;102,0;105,5
2020;70,1;100,6;82,7;97,0;83,9;96,9;102,2;91,7;86,2;101,1;113,5;94,1;88,9;93,9;94,2;101,2;94,3
2021;112,9;108,5;106,1;109,2;116,3;113,9;98,2;115,0;117,4;105,6;140,4;110,1;97,8;108,6;109,0;113,0;109,2
