13.1.1.6. Az ipar összes értékesítése alágak szerint [folyó áron, millió Ft];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;65 680;1 804 208;429 279;472 070;587 005;501 427;270 657;759 139;915 125;1 781 244;1 063 839;322 404;1 957 993;259 776;11 124 166;2 167 656;13 357 502
2002;64 810;1 877 653;409 289;482 939;519 736;496 993;295 646;809 799;871 580;1 754 611;1 110 013;438 568;1 942 595;272 716;11 282 140;2 353 219;13 700 168
2003;64 030;1 908 072;378 125;514 888;512 722;525 764;347 057;849 707;991 323;2 498 685;794 012;425 648;2 230 970;250 821;12 227 793;2 653 962;14 945 784
2004;73 175;1 925 232;366 585;512 711;680 395;578 615;390 404;872 699;1 184 129;3 001 782;908 451;451 041;2 402 308;287 521;13 561 873;2 980 466;16 615 513
2005;73 028;1 882 983;343 934;530 595;967 999;709 666;414 057;976 454;1 242 806;3 326 796;982 546;509 589;2 766 257;296 742;14 950 424;3 669 176;18 692 627
2006;89 147;1 926 625;370 365;568 430;1 213 639;815 182;513 031;1 194 550;1 487 417;3 792 722;1 146 601;609 610;3 591 576;344 606;17 574 354;4 340 243;22 003 744
2007;72 773;2 006 618;366 977;605 174;1 209 324;882 775;502 624;1 425 032;1 556 230;3 966 980;1 151 414;701 487;4 045 662;379 034;18 799 329;5 366 501;24 238 603
2008;103 463;2 110 374;323 114;627 545;1 533 714;896 116;514 710;1 487 817;1 649 011;3 669 188;1 139 779;835 836;4 038 219;457 563;19 282 987;6 418 859;25 805 308
2009;93 501;2 077 567;262 980;573 050;1 076 311;732 904;576 341;1 242 158;1 101 989;3 441 546;1 006 119;827 966;3 101 392;493 991;16 514 315;5 935 016;22 542 832
2010;73 619;2 065 272;250 225;671 705;1 405 874;944 294;612 138;1 335 613;1 285 362;4 139 250;911 730;1 153 094;3 594 331;482 976;18 851 864;5 965 946;24 891 429
2011;83 158;2 263 466;315 475;678 252;1 768 491;1 133 409;669 676;1 507 050;1 557 538;3 894 678;861 716;1 664 668;4 068 942;510 703;20 894 064;5 504 935;26 482 157
2012;99 288;2 505 196;320 936;682 569;1 831 574;1 253 440;755 269;1 587 676;1 602 348;3 232 470;888 260;1 743 948;4 438 688;577 661;21 420 035;5 501 112;27 020 435
2013;94 831;2 624 982;325 544;703 323;1 670 217;1 361 259;727 492;1 626 367;1 610 579;2 784 088;927 507;1 751 057;5 373 982;597 381;22 083 779;5 380 656;27 559 265
2014;99 752;2 725 393;387 473;789 365;1 631 548;1 503 639;752 024;1 739 293;1 767 604;2 695 248;1 014 939;1 878 727;6 651 556;676 519;24 213 328;4 901 899;29 214 979
2015;87 758;2 828 746;404 972;823 893;1 151 295;1 524 003;814 256;2 025 778;1 855 324;2 957 740;1 095 497;1 957 989;7 738 173;783 673;25 961 338;4 939 473;30 988 569
2016;70 852;2 872 330;407 960;886 986;945 731;1 450 253;790 130;2 085 536;1 925 716;3 097 684;1 157 380;1 739 153;7 880 035;847 217;26 086 110;4 243 264;30 400 227
2017;91 345;3 012 463;443 346;925 541;1 195 881;1 538 148;869 799;2 262 786;2 275 359;3 354 253;1 230 484;1 841 880;8 089 645;915 857;27 955 444;4 517 080;32 563 869
2018;148 497;3 213 007;442 170;1 041 124;1 545 952;1 727 583;849 625;2 733 537;2 638 350;3 644 632;1 384 351;1 762 107;8 435 990;924 823;30 343 251;4 948 938;35 440 686
2019;184 113;3 516 273;422 181;1 137 981;1 503 468;1 631 323;907 470;2 925 726;2 697 446;3 980 321;1 682 914;1 896 637;9 605 446;1 076 289;32 983 476;5 067 896;38 235 485
2020;135 893;3 781 692;368 533;1 148 513;1 084 768;1 634 527;944 902;2 853 647;2 491 083;4 161 176;2 037 681;1 887 727;9 192 951;1 078 336;32 665 536;5 017 277;37 818 706
2021;166 665;4 416 282;403 227;1 411 518;1 805 496;2 461 332;977 843;3 521 144;3 363 932;4 486 332;2 939 537;2 099 304;9 310 912;1 245 755;38 442 613;8 591 548;47 200 827
