13.1.1.10. Az ipar exportértékesítése alágak szerint [folyó áron, millió Ft];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;5 069;377 018;299 678;163 064;144 961;236 302;179 378;299 027;395 409;1 619 825;941 446;216 012;1 797 006;85 184;6 754 310;74 029;6 833 409
2002;3 173;372 479;287 924;172 211;133 599;243 632;194 327;320 767;368 182;1 627 188;983 500;287 363;1 754 421;82 083;6 827 676;73 303;6 904 152
2003;1 490;404 283;263 347;175 956;134 778;262 494;235 794;327 894;419 210;2 344 023;664 048;277 990;2 015 963;82 423;7 608 203;68 610;7 678 303
2004;2 166;429 343;261 734;173 998;180 874;301 047;275 404;339 749;576 688;2 785 227;748 639;306 426;2 191 476;104 346;8 674 952;92 923;8 770 041
2005;2 605;442 169;254 789;172 064;263 483;370 203;292 117;367 605;628 863;3 033 148;825 875;348 073;2 477 181;115 410;9 590 978;125 951;9 719 534
2006;2 634;460 680;284 326;190 283;303 171;444 522;388 655;476 167;807 411;3 392 260;988 082;440 056;3 241 162;137 954;11 554 728;181 010;11 738 372
2007;4 724;497 163;289 807;231 902;321 095;498 223;376 144;647 168;910 299;3 719 545;988 387;510 872;3 627 751;147 105;12 765 460;290 023;13 060 207
2008;5 557;571 021;248 055;246 277;383 949;490 825;393 761;694 078;981 902;3 448 183;987 616;602 791;3 618 222;192 583;12 859 263;412 738;13 277 558
2009;4 085;614 469;205 709;220 650;231 477;405 845;443 547;620 019;645 128;3 255 296;884 505;637 107;2 790 674;223 068;11 177 494;363 501;11 545 080
2010;3 688;649 925;195 702;280 982;379 160;514 773;505 466;732 481;783 243;3 882 149;784 797;1 005 138;3 289 294;230 195;13 233 306;456 220;13 693 214
2011;8 635;769 810;259 294;313 960;519 384;619 782;553 653;897 924;955 732;3 676 146;734 623;1 459 596;3 751 751;255 227;14 766 882;454 174;15 229 691
2012;15 856;912 972;253 712;327 938;576 652;681 779;649 027;1 010 636;981 413;3 058 363;761 170;1 502 636;4 150 567;299 566;15 166 430;414 702;15 596 988
2013;15 036;1 012 232;270 772;343 514;539 843;776 729;619 176;1 048 225;1 020 823;2 649 026;792 095;1 523 236;5 021 424;338 837;15 955 930;608 329;16 579 296
2014;18 382;1 046 796;329 437;375 777;553 917;860 655;625 453;1 145 649;1 099 965;2 573 995;879 099;1 662 504;6 197 391;446 712;17 797 350;690 594;18 506 326
2015;12 723;1 147 568;343 734;409 943;317 129;915 603;687 713;1 358 881;1 147 269;2 843 930;947 594;1 718 052;7 111 376;493 207;19 441 999;946 330;20 401 052
2016;8 439;1 159 845;337 310;438 378;275 178;896 792;658 134;1 405 514;1 160 197;2 945 299;1 017 329;1 484 677;7 264 326;540 050;19 583 029;683 458;20 274 926
2017;9 597;1 198 408;363 750;466 696;409 029;1 065 176;736 085;1 477 006;1 382 185;3 178 303;1 069 701;1 538 349;7 415 577;573 562;20 873 827;878 391;21 761 815
2018;7 260;1 248 275;362 868;514 355;496 406;1 171 011;710 170;1 701 321;1 597 775;3 475 985;1 207 160;1 445 955;7 676 736;503 738;22 111 754;1 143 081;23 262 095
2019;8 866;1 389 735;346 301;566 335;474 031;1 039 666;776 998;1 760 758;1 567 539;3 828 826;1 466 547;1 516 514;8 622 352;570 948;23 926 551;1 110 197;25 045 613
2020;7 860;1 561 517;292 622;603 658;321 266;1 096 682;806 115;1 773 948;1 432 605;4 010 472;1 807 845;1 545 811;8 301 084;608 224;24 161 849;920 107;25 089 816
2021;8 474;1 881 634;324 643;747 258;508 147;1 674 838;822 272;2 200 230;1 861 162;4 268 740;2 659 623;1 687 136;8 402 804;707 710;27 746 197;3 025 359;30 780 030
