13.1.1.12. Az ipari termelés értéke rendeltetés szerinti ágazatcsoportonként [folyó áron, millió Ft];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;1 431 226;3 772 951;5 204 177;3 801 875;597 226;2 460 064;3 057 290
2002;1 407 976;3 808 089;5 216 065;3 832 407;662 084;2 534 383;3 196 467
2003;1 533 061;3 683 992;5 217 054;4 598 762;947 805;2 598 599;3 546 404
2004;1 797 542;4 211 313;6 008 855;5 074 061;1 117 098;2 645 888;3 762 986
2005;2 110 797;4 598 994;6 709 791;5 672 625;1 160 249;2 642 473;3 802 722
2006;2 545 099;5 236 143;7 781 241;6 963 133;1 483 094;2 855 397;4 338 491
2007;2 822 985;5 479 730;8 302 715;7 697 934;1 667 168;2 876 194;4 543 362
2008;3 045 625;5 730 169;8 775 794;7 657 276;1 603 947;2 914 668;4 518 615
2009;2 558 004;4 656 392;7 214 396;6 337 217;1 563 057;2 848 318;4 411 375
2010;2 930 609;5 520 521;8 451 129;7 330 176;1 861 524;2 819 521;4 681 045
2011;3 343 721;6 059 648;9 403 369;8 468 894;1 597 592;3 184 854;4 782 446
2012;3 413 690;6 249 614;9 663 304;8 664 625;1 358 720;3 454 369;4 813 089
2013;3 062 698;6 437 906;9 500 604;9 337 277;1 211 560;3 526 325;4 737 885
2014;2 898 029;6 980 911;9 878 940;10 668 350;1 265 298;3 822 736;5 088 034
2015;2 438 770;7 562 015;10 000 785;11 859 403;1 529 606;3 962 125;5 491 731
2016;2 233 474;7 951 978;10 185 453;11 843 169;1 521 876;3 907 935;5 429 811
2017;2 472 115;8 841 691;11 313 806;12 390 417;1 606 306;4 152 114;5 758 420
2018;2 859 266;10 166 919;13 026 185;12 995 159;1 670 140;4 364 315;6 034 454
2019;2 881 108;10 795 067;13 676 175;14 240 384;2 008 123;4 655 259;6 663 382
2020;2 430 707;11 646 734;14 077 441;13 102 516;2 150 057;4 875 540;7 025 596
2021;3 550 947;15 484 577;19 035 524;13 877 792;2 438 191;5 487 052;7 925 243
