13.1.1.13. Az ipari termelés volumenindexei rendeltetés szerinti ágazatcsoportonként [az elõzõ év = 100,0%];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;106,4;108,9;108,2;101,9;112,4;101,0;103,0
2002;108,2;104,1;105,1;103,9;118,1;100,9;104,0
2003;104,6;95,5;98,0;120,1;150,4;100,1;109,9
2004;108,5;109,1;108,9;110,9;126,5;98,0;105,0
2005;103,7;105,5;104,9;113,7;114,1;96,6;101,4
2006;103,1;105,5;104,7;118,4;128,0;103,4;110,6
2007;108,1;102,8;104,6;114,8;124,9;97,3;105,9
2008;101,9;99,8;100,5;101,3;99,2;95,0;96,5
2009;89,0;78,0;81,6;76,5;91,2;94,0;93,0
2010;101,3;113,1;108,7;115,6;121,8;100,1;107,7
2011;98,3;102,7;101,1;113,6;89,7;108,2;101,2
2012;93,2;99,1;96,9;100,7;84,6;102,3;96,6
2013;96,8;101,3;99,8;106,0;87,7;97,2;94,6
2014;98,3;106,0;103,6;112,6;110,6;106,1;107,2
2015;101,5;107,8;106,2;110,0;116,9;102,6;106,2
2016;100,1;106,4;104,9;98,9;104,6;98,4;100,1
2017;101,9;106,6;105,5;103,6;108,5;102,5;104,1
2018;100,5;109,2;107,1;100,1;102,7;103,2;103,0
2019;98,9;104,2;103,0;107,7;116,6;102,5;106,4
2020;92,7;102,4;100,6;85,6;106,4;98,7;100,9
2021;114,8;116,9;116,5;101,6;109,8;106,2;107,3
