13.1.1.14. Az ipar összes értékesítése rendeltetés szerinti ágazatcsoportonként [folyó áron, millió Ft];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;2 862 890;3 732 680;6 595 570;3 836 424;598 069;2 425 044;3 023 113
2002;2 963 329;3 774 201;6 737 530;3 835 409;672 198;2 535 016;3 207 215
2003;3 263 535;3 673 323;6 936 859;4 556 997;961 338;2 577 909;3 539 247
2004;3 756 592;4 189 821;7 946 413;5 005 018;1 135 829;2 617 658;3 753 487
2005;4 639 440;4 599 596;9 239 036;5 597 558;1 204 194;2 651 839;3 856 034
2006;5 655 812;5 240 387;10 896 199;6 908 142;1 471 931;2 826 443;4 298 374
2007;6 686 125;5 449 856;12 135 981;7 667 738;1 658 850;2 882 722;4 541 572
2008;7 968 655;5 686 960;13 655 616;7 636 272;1 603 200;2 910 221;4 513 421
2009;7 030 674;4 707 230;11 737 904;6 378 921;1 569 026;2 856 980;4 426 006
2010;7 386 003;5 492 873;12 878 875;7 309 468;1 852 122;2 850 963;4 703 085
2011;7 293 213;6 018 492;13 311 705;8 408 828;1 607 161;3 154 464;4 761 625
2012;7 359 543;6 222 633;13 582 176;8 649 146;1 361 965;3 427 149;4 789 114
2013;7 072 048;6 439 083;13 511 131;9 300 271;1 208 210;3 539 653;4 747 863
2014;6 549 794;6 958 246;13 508 040;10 643 723;1 262 289;3 800 927;5 063 216
2015;6 101 633;7 556 690;13 658 323;11 852 192;1 526 357;3 951 696;5 478 054
2016;5 198 779;7 940 547;13 139 326;11 825 134;1 517 682;3 918 085;5 435 767
2017;5 722 721;8 782 676;14 505 396;12 306 654;1 607 063;4 144 755;5 751 818
2018;6 502 233;10 101 859;16 604 092;12 838 175;1 659 142;4 339 278;5 998 420
2019;6 578 123;10 737 439;17 315 562;14 293 150;1 993 976;4 632 797;6 626 773
2020;6 104 419;11 636 567;17 740 986;13 075 789;2 162 018;4 839 914;7 001 931
2021;10 403 379;15 179 302;25 582 682;13 753 953;2 421 183;5 443 009;7 864 191
