13.1.1.16. Az ipar belföldi értékesítése rendeltetés szerinti ágazatcsoportonként [folyó áron, millió Ft];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;2 643 630;1 689 280;4 332 910;616 230;83 783;1 588 777;1 672 560
2002;2 756 187;1 662 601;4 418 788;646 780;106 068;1 704 367;1 810 434
2003;3 059 827;1 780 817;4 840 644;723 134;86 401;1 704 620;1 791 021
2004;3 482 278;1 952 884;5 435 162;730 768;87 592;1 681 355;1 768 947
2005;4 249 510;2 132 268;6 381 779;826 781;88 412;1 676 121;1 764 534
2006;5 170 615;2 341 933;7 512 548;1 024 250;116 589;1 710 955;1 827 544
2007;6 074 798;2 260 329;8 335 127;1 093 642;130 080;1 726 235;1 856 314
2008;7 171 962;2 324 047;9 496 009;1 173 911;143 484;1 714 347;1 857 831
2009;6 435 692;1 856 952;8 292 644;968 534;100 114;1 636 460;1 736 574
2010;6 550 612;2 014 900;8 565 513;941 068;141 377;1 550 257;1 691 634
2011;6 319 553;2 226 377;8 545 930;1 004 146;84 501;1 617 889;1 702 390
2012;6 367 680;2 228 776;8 596 456;1 068 137;80 610;1 678 244;1 758 853
2013;5 922 474;2 254 562;8 177 036;1 032 864;78 367;1 691 702;1 770 069
2014;5 301 788;2 414 175;7 715 964;1 104 718;85 380;1 802 592;1 887 972
2015;4 835 494;2 513 370;7 348 864;1 339 903;99 512;1 799 239;1 898 750
2016;4 237 420;2 551 939;6 789 359;1 400 468;103 326;1 832 148;1 935 474
2017;4 432 252;2 726 096;7 158 348;1 582 216;118 443;1 943 048;2 061 491
2018;4 861 740;3 313 358;8 175 098;1 779 575;137 789;2 086 129;2 223 919
2019;4 993 817;3 644 478;8 638 295;2 153 836;172 955;2 224 785;2 397 740
2020;4 862 939;3 473 107;8 336 046;1 951 355;175 888;2 265 601;2 441 489
2021;6 869 779;4 581 048;11 450 826;2 183 028;251 149;2 535 793;2 786 942
