13.1.1.19. Az ipar exportértékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként [az elõzõ év = 100,0%];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;110,1;115,4;114,9;103,9;129,6;102,9;111,7
2002;105,9;108,9;108,7;103,3;119,2;100,5;107,3
2003;91,8;89,7;89,9;121,1;164,5;103,4;127,0
2004;117,2;116,7;116,8;113,1;129,9;105,7;117,3
2005;122,1;106,7;108,6;114,7;118,0;99,1;108,3
2006;98,5;108,2;106,7;119,1;121,9;106,8;114,6
2007;123,4;111,3;113,1;117,0;126,6;102,8;115,1
2008;93,5;101,5;99,9;100,8;98,9;98,2;98,6
2009;81,8;79,3;79,7;76,7;93,8;94,9;94,3
2010;123,1;116,2;117,4;118,0;119,4;107,6;114,0
2011;102,7;102,6;102,6;114,3;93,8;112,3;102,3
2012;93,3;101,6;99,8;100,7;83,9;105,1;94,9
2013;120,1;103,4;106,6;107,2;86,6;99,2;94,0
2014;115,0;105,5;107,4;113,8;110,9;104,7;106,9
2015;114,5;110,2;111,0;109,1;117,1;106,0;110,1
2016;85,2;108,3;104,0;98,4;104,8;97,2;100,1
2017;119,5;108,1;109,9;102,0;108,6;102,7;105,0
2018;107,8;106,7;106,9;98,2;101,1;100,4;100,7
2019;102,6;103,3;103,2;108,4;116,1;103,6;108,6
2020;83,8;108,3;104,3;85,1;108,8;99,8;103,5
2021;134,1;114,6;118,9;100,0;106,1;105,6;105,8
