13.1.2.1. Az ipari termelés értéke és volumenindexe telephely szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Millió Ft;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 936 943;2 046 863;2 215 654;2 390 508;2 454 356;2 721 725;2 934 433;3 375 449;3 050 725;3 432 993;3 712 763;3 744 411;2 792 429;3 008 094;3 075 146;2 872 821;2 983 743;3 385 853;3 738 569;3 400 267;4 257 205
Pest;megye, régió;960 748;974 050;1 217 765;1 353 624;1 505 857;1 496 639;1 676 350;1 790 011;1 524 156;1 828 010;2 068 241;2 130 577;2 349 783;2 472 161;2 449 315;2 315 849;2 570 435;2 996 885;3 443 211;3 585 942;4 727 978
Közép-Magyarország;nagyrégió;2 897 691;3 020 913;3 433 419;3 744 132;3 960 213;4 218 364;4 610 783;5 165 460;4 574 880;5 261 003;5 781 004;5 874 988;5 142 212;5 480 255;5 524 462;5 188 670;5 554 178;6 382 737;7 181 779;6 986 209;8 985 183
Fejér;megye;1 829 376;1 606 654;1 277 653;1 376 413;1 484 839;2 108 929;2 345 565;2 135 616;1 617 382;1 769 299;2 075 357;1 938 706;2 112 964;2 192 260;2 479 909;2 320 312;2 576 700;2 709 798;2 772 052;2 571 620;3 082 215
Komárom-Esztergom;megye;909 132;1 003 014;1 525 551;1 870 893;2 390 336;2 786 501;3 050 145;2 982 288;2 420 202;2 568 713;2 486 853;2 256 530;1 881 753;1 765 710;1 873 247;2 283 753;2 306 049;2 507 409;2 762 320;2 564 472;2 842 866
Veszprém;megye;381 525;378 460;409 943;456 317;475 609;550 070;566 425;537 625;440 179;515 370;596 133;756 132;703 180;778 908;854 423;905 552;1 060 783;1 161 404;1 194 218;1 210 446;1 518 635
Közép-Dunántúl;régió;3 120 033;2 988 128;3 213 147;3 703 622;4 350 784;5 445 501;5 962 134;5 655 530;4 477 763;4 853 382;5 158 343;4 951 368;4 697 897;4 736 878;5 207 578;5 509 617;5 943 531;6 378 611;6 728 590;6 346 538;7 443 715
Gyõr-Moson-Sopron;megye;1 381 778;1 352 536;1 475 123;1 565 044;1 674 591;2 037 576;2 230 328;2 261 868;1 746 494;2 031 864;2 393 542;2 445 928;2 605 264;3 250 327;3 667 319;3 491 849;3 667 338;3 854 206;4 364 017;4 132 667;4 655 090
Vas;megye;495 527;520 851;598 065;573 551;570 464;626 786;606 724;624 135;508 456;597 282;682 652;729 664;911 944;1 091 419;1 203 467;1 294 338;1 339 966;1 397 815;1 483 969;1 445 198;1 382 453
Zala;megye;474 593;538 983;590 492;701 494;513 414;511 613;520 820;555 535;510 314;590 139;661 622;628 757;606 576;635 542;593 481;533 410;613 656;677 664;692 282;676 727;764 352
Nyugat-Dunántúl;régió;2 351 898;2 412 370;2 663 679;2 840 089;2 758 470;3 175 975;3 357 872;3 441 538;2 765 264;3 219 285;3 737 816;3 804 349;4 123 784;4 977 287;5 464 267;5 319 598;5 620 959;5 929 685;6 540 269;6 254 592;6 801 894
Baranya;megye;224 054;236 987;252 897;257 090;278 504;292 536;325 883;358 674;284 249;279 357;286 520;309 922;336 368;354 998;358 458;399 673;464 551;520 718;586 322;566 293;669 424
Somogy;megye;300 249;331 621;400 035;464 343;297 091;298 127;332 212;369 026;339 875;469 709;503 406;468 774;311 485;319 849;362 584;399 710;448 331;511 926;533 110;520 894;571 091
Tolna;megye;191 514;206 900;192 382;205 476;210 252;224 797;257 402;272 788;268 417;285 993;318 239;336 118;394 449;400 552;429 068;520 227;531 870;585 847;644 172;648 007;755 528
Dél-Dunántúl;régió;715 817;775 508;845 314;926 909;785 847;815 460;915 497;1 000 488;892 541;1 035 059;1 108 165;1 114 813;1 042 302;1 075 399;1 150 110;1 319 610;1 444 752;1 618 490;1 763 604;1 735 195;1 996 043
Dunántúl;nagyrégió;6 187 748;6 176 006;6 722 141;7 470 620;7 895 101;9 436 936;10 235 503;10 097 555;8 135 568;9 107 726;10 004 324;9 870 531;9 863 983;10 789 564;11 821 955;12 148 824;13 009 242;13 926 786;15 032 464;14 336 324;16 241 652
Borsod-Abaúj-Zemplén;megye;710 802;715 145;773 355;982 622;1 233 954;1 575 834;1 562 811;1 590 413;1 311 563;1 639 922;1 921 770;1 972 033;2 160 358;2 272 805;2 345 026;2 345 269;2 586 637;2 853 303;2 824 486;2 913 728;4 004 734
Heves;megye;365 132;335 262;349 235;418 650;448 670;581 714;657 097;612 664;497 447;630 585;746 978;786 768;909 081;973 271;1 116 365;1 191 611;1 309 223;1 459 133;1 548 490;1 555 244;1 780 332
Nógrád;megye;141 271;138 358;151 118;169 996;152 169;155 062;168 161;183 298;144 403;158 666;171 557;159 870;238 650;255 994;275 903;371 568;406 625;335 719;321 142;328 547;422 566
Észak-Magyarország;régió;1 217 204;1 188 765;1 273 708;1 571 269;1 834 793;2 312 609;2 388 069;2 386 375;1 953 413;2 429 173;2 840 304;2 918 672;3 308 089;3 502 070;3 737 294;3 908 448;4 302 486;4 648 155;4 694 118;4 797 519;6 207 633
Hajdú-Bihar;megye;387 478;413 588;440 451;510 632;514 290;583 198;592 912;649 605;578 669;566 586;667 812;731 321;635 489;721 135;751 713;719 469;726 512;795 413;896 801;941 975;1 163 514
