13.1.3.1. Az ipari termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;9,2;3,3;0,8;1,9;6,2;4,3;7,7;5,8;1,3;-11,3;6,7;6,6;0,2;0,5;0,9;2,1;2,1;5,9;4,9;0,0;-6,3
Belgium;..;4,2;0,7;1,5;6,3;3,8;6,3;7,7;3,7;-11,0;9,1;4,8;-1,8;0,0;1,3;-1,2;4,5;2,9;1,1;4,9;-3,8
Bulgária;..;2,2;4,6;13,2;12,3;7,3;6,1;9,5;0,6;-18,2;2,0;5,8;-0,5;0,0;2,0;2,8;2,5;4,0;0,3;0,6;-6,1
Ciprus;..;5,2;2,0;0,1;1,1;0,8;0,3;4,9;4,5;-9,0;-2,1;-7,7;-10,0;-13,0;-0,6;5,2;9,1;8,1;6,9;4,0;-7,3
Csehország;..;6,9;1,8;3,7;9,3;3,1;7,8;10,0;-2,4;-12,9;8,5;5,6;-0,9;0,1;5,2;4,5;3,1;6,7;3,1;-0,4;-7,2
Dánia;..;2,6;1,6;-0,2;-2,0;3,1;3,6;-3,3;-2,7;-14,1;1,9;1,1;0,0;0,0;0,6;0,0;3,7;2,3;2,4;2,7;-5,9
Észtország;..;9,0;8,5;11,5;9,3;11,1;10,0;6,5;-5,0;-23,7;22,8;19,8;1,2;4,5;4,3;-0,2;3,0;4,2;4,8;6,9;-6,0
Finnország;8,6;-0,2;1,5;0,0;5,0;-0,6;10,0;4,5;1,0;-17,8;5,6;1,9;-2,2;-3,1;-1,8;-0,9;4,1;3,4;3,4;1,5;-3,1
Franciaország;4,7;1,2;-1,1;-0,9;1,8;0,4;1,2;1,2;-2,8;-12,6;4,3;2,8;-2,4;-0,6;-1,1;1,4;0,5;2,3;0,6;0,6;-11,0
Görögország;..;-3,4;0,2;0,5;0,7;-1,6;0,8;2,3;-4,2;-9,7;-6,1;-5,8;-2,1;-3,3;-2,0;1,0;2,6;4,2;1,8;-0,7;-2,1
Hollandia;..;1,2;1,0;-1,5;4,7;0,5;2,0;4,3;0,6;-7,7;7,7;-0,7;-0,6;0,6;-2,8;-3,5;1,3;1,4;0,6;-0,9;-3,9
Horvátország;1,8;6,0;5,2;3,2;2,5;5,0;4,4;4,9;0,8;-9,1;-1,4;-1,1;-5,5;-1,7;1,1;2,6;5,0;2,0;-1,0;0,5;-3,4
Írország;14,6;10,9;8,1;5,8;1,3;4,0;2,9;5,2;-2,1;-4,4;8,2;-0,5;-1,4;-2,3;21,1;35,9;1,8;-2,3;-4,9;2,9;4,2
Lengyelország;..;0,6;1,7;8,4;12,1;5,1;12,4;9,4;2,1;-4,0;11,1;7,3;1,1;2,7;3,1;4,5;3,1;6,9;5,8;4,3;-2,1
Lettország;..;10,7;7,2;8,0;6,5;7,5;6,5;1,3;-3,2;-17,9;14,3;8,9;6,3;-0,4;-0,9;3,4;4,7;8,7;2,0;0,8;-1,7
Litvánia;-0,4;12,7;5,5;14,9;10,6;7,8;5,6;2,9;3,4;-14,1;6,1;6,8;3,9;3,1;0,1;4,2;2,7;6,8;5,2;3,4;-2,3
Luxemburg;..;4,7;4,9;5,1;4,7;2,7;2,5;-0,3;-5,1;-16,1;8,6;1,8;-5,0;-3,0;4,4;1,1;-0,3;3,7;-1,1;-3,1;-10,7
Magyarország;..;3,9;3,3;6,4;7,0;7,0;10,6;8,2;-0,8;-17,8;10,6;5,5;-1,3;1,4;7,2;7,1;0,7;5,4;3,8;5,6;-7,1
