13.1.3.3. A feldolgozóipari termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;10,0;2,1;-0,1;2,3;7,3;4,3;7,7;6,3;0,9;-12,6;6,9;6,7;0,1;0,8;1,1;2,4;2,6;5,4;4,3;0,0;-7,5
Belgium;..;5,0;0,3;1,4;7,2;3,9;7,1;8,3;4,6;-13,3;10,2;6,0;-0,5;-0,4;3,5;-1,1;2,8;2,9;2,6;2,9;-3,6
Bulgária;..;2,0;8,1;17,8;16,0;8,0;9,0;9,2;0,7;-22,4;3,9;5,3;-0,2;0,7;4,0;4,1;4,1;6,0;2,3;1,8;-6,2
Ciprus;..;5,5;0,6;-1,5;1,0;-0,3;-1,0;5,1;4,5;-11,2;-3,6;-8,0;-10,5;-13,7;-0,7;5,5;9,4;9,5;8,6;4,8;-7,4
Csehország;..;8,5;2,0;2,9;11,9;4,7;9,2;12,3;-2,0;-14,8;9,5;7,1;-0,8;0,8;6,6;5,8;3,7;7,2;3,3;-0,2;-7,0
Dánia;..;3,4;0,8;-2,2;-2,6;4,3;4,6;-0,3;-2,0;-16,7;2,9;4,3;2,6;2,2;2,8;1,1;4,8;3,1;4,4;4,2;-4,1
Észtország;..;10,1;9,1;11,1;10,5;11,9;10,6;6,2;-4,5;-25,2;22,5;22,3;1,9;4,1;5,4;0,8;2,8;3,4;4,9;9,7;-4,3
Finnország;10,9;-0,3;2,3;0,2;6,5;1,3;8,7;5,7;1,8;-20,2;5,0;3,1;-1,8;-3,8;-1,6;-0,9;4,5;4,0;2,9;2,4;-3,2
Franciaország;5,0;0,8;-1,3;-1,4;1,7;0,3;1,4;1,5;-3,5;-13,6;4,2;3,8;-2,9;-0,9;-0,3;1,2;0,4;2,9;0,6;0,7;-11,7
Görögország;..;-4,5;-1,0;-0,7;0,7;-1,6;2,0;2,2;-4,7;-11,2;-5,0;-9,1;-3,6;-1,0;1,8;1,7;3,2;2,9;2,7;1,0;-1,5
