13.1.3.6. Kõolaj-kitermelés [ezer tonna];;;;;;;;;;;;;;;;;;;;;;
Ország;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;971;957;948;924;972;852;852;852;900;953;918;881;919;881;907;870;772;..;688;652;..;..
Bulgária;42;34;37;..;..;..;..;..;288;..;..;..;..;..;..;..;..;..;..;..;..;..
Csehország;175;183;265;1 296;1 181;1 056;960;912;242;222;176;166;156;154;150;128;118;108;110;80;..;..
Dánia;17 738;16 959;18 079;17 933;19 057;18 517;16 839;15 169;14 035;12 903;12 157;10 941;9 980;8 683;8 130;7 690;6 924;6 737;5 647;5 017;3 520;3 152
Franciaország;1 417;1 382;1 317;1 224;1 140;1 080;1 056;972;972;899;898;898;809;793;764;834;816;757;774;720;..;..
Görögország;256;171;165;..;..;..;..;..;..;54;115;98;83;71;64;64;158;142;206;169;..;..
Hollandia;1 443;1 370;2 232;2 304;2 112;2 268;1 356;2 064;1 723;1 312;1 020;1 081;1 110;1 121;1 525;1 396;923;929;907;762;..;..
Horvátország;1 113;1 042;1 015;1 296;1 181;1 056;960;912;864;805;737;667;598;583;551;617;678;683;682;658;..;..
Lengyelország;653;767;728;..;..;..;..;..;..;618;646;628;684;961;952;928;1 001;996;1 012;971;..;..
Litvánia;316;471;434;384;300;216;180;156;132;116;114;114;102;86;80;73;64;55;46;40;..;..
Magyarország;1 136;1 065;1 050;1 140;1 080;948;888;840;780;738;724;658;646;598;568;600;691;706;794;880;..;..
Németország;3 166;3 278;3 509;4 140;3 468;3 456;4 418;4 596;4 740;4 380;4 800;4 985;5 209;4 799;4 895;5 164;5 262;5 330;5 110;5 104;..;..
Olaszország;4 586;4 097;5 531;5 570;5 445;6 111;5 781;5 860;5 243;4 573;5 106;5 309;5 396;5 502;5 765;5 470;3 760;4 148;4 684;4 279;5 394;4 840
Románia;6 287;6 238;6 072;5 890;5 705;5 437;4 996;4 745;4 719;4 498;4 287;4 222;3 982;4 131;4 052;4 003;3 802;3 634;3 577;3 567;3 457;3 322
Spanyolország;227;338;316;324;264;168;144;146;127;106;124;100;142;368;305;232;142;118;88;40;..;..
Szlovákia;59;46;44;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Egyesült Királyság;126 245;116 678;115 944;106 073;95 374;84 721;76 578;76 575;71 789;68 199;62 962;51 972;44 561;40 646;39 928;45 288;47 445;46 630;50 870;51 818;48 985;40 865
Norvégia;160 074;161 761;157 359;153 393;150 223;138 434;128 852;118 434;114 454;108 375;98 591;93 366;87 045;82 930;84 966;87 637;90 307;88 857;83 318;79 778;92 036;93 796
Oroszország;326 651;351 680;383 695;425 714;463 291;474 819;486 254;497 331;494 254;501 363;512 316;519 464;526 736;532 224;537 421;544 552;558 479;558 547;567 885;573 389;524 404;536 446
Szerbia;978;899;812;..;..;..;..;636;636;664;865;1 020;1 124;1 163;1 108;1 025;934;893;881;853;..;..
Törökország;2 762;2 520;2 420;2 376;2 280;2 280;2 220;2 131;2 220;2 477;2 602;2 428;2 398;2 477;2 684;2 701;2 689;..;..;3 084;..;..
Ukrajna;2 626;2 617;2 625;3 972;4 320;4 374;4 520;4 343;4 176;3 917;3 493;3 298;3 317;3 060;2 717;2 425;2 248;2 158;2 278;2 434;..;..
Arab Emírségek;121 523;118 414;109 018;126 190;131 276;136 553;145 656;143 643;145 247;129 313;135 214;150 498;156 246;162 767;163 397;176 062;182 380;176 224;176 687;180 544;166 583;164 381
