13.1.3.7. Földgázkitermelés [milliárd m3];;;;;;;;;;;;;;;;;;;;;;
Ország;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;1,8;2,0;2,0;2,0;2,0;1,7;1,8;1,8;1,5;1,6;1,7;1,6;1,7;1,4;1,2;1,2;1,3;1,7;1,0;0,9;0,7;..
Csehország;0,1;0,1;0,1;0,1;0,2;0,4;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;..
Dánia;8,5;8,7;8,8;8,4;9,9;10,9;10,8;9,6;10,5;8,8;8,5;6,9;6,0;5,0;4,8;4,8;4,7;5,1;4,3;3,2;1,4;1,3
Franciaország;1,9;1,8;1,8;1,5;1,3;1,1;1,2;1,0;0,9;0,8;0,7;0,6;1,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;..
Hollandia;61,4;64,6;63,5;60,7;71,6;65,3;64,5;62,0;70,9;65,5;75,3;69,5;68,4;72,4;60,4;45,9;44,3;37,9;32,3;27,8;20,1;18,1
Horvátország;1,8;2,0;2,1;2,2;2,2;2,4;2,7;2,9;2,7;2,6;2,7;2,5;2,0;1,9;1,8;1,8;1,7;1,5;1,3;1,1;0,9;..
Írország;1,2;0,8;0,8;0,7;0,8;0,6;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,3;0,4;0,1;2,7;3,2;3,1;2,4;1,8;..
Lengyelország;3,9;4,1;4,2;4,2;4,6;4,5;4,5;4,5;4,3;4,3;4,3;4,5;4,5;4,4;4,3;4,3;4,1;4,0;4,0;4,0;3,9;3,9
Magyarország;3,3;3,3;3,1;3,1;3,1;3,0;3,3;2,7;2,7;2,7;2,6;2,3;2,2;2,0;1,9;1,9;2,0;1,9;2,1;1,4;1,2;..
Németország;17,7;17,8;17,8;18,5;17,1;16,5;16,3;15,0;13,6;12,7;11,1;10,5;9,5;8,6;8,1;7,5;6,9;6,4;5,5;5,3;4,5;4,5
Olaszország;16,0;14,6;14,0;13,3;12,4;11,6;10,5;9,3;8,8;7,6;8,0;8,0;8,2;7,4;6,8;6,4;5,5;5,3;5,2;4,6;3,9;3,2
Románia;12,8;12,5;12,3;12,1;12,1;11,3;11,1;10,7;10,5;10,4;10,0;10,1;10,1;10,0;10,2;10,2;9,1;10,0;10,0;9,6;8,6;8,5
Spanyolország;0,2;0,6;0,6;0,3;0,4;0,2;0,1;0,0;0,0;0,0;0,1;1,4;1,2;0,8;0,8;1,3;0,8;0,7;0,6;0,7;0,6;..
Szlovákia;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,1;0,1;0,1;0,6;0,7;0,7;0,6;0,6;0,6;0,5;0,5;0,5;0,4;..
Egyesült Királyság;113,5;110,8;108,5;107,8;100,9;92,3;83,7;75,5;72,8;61,2;57,9;46,1;39,2;37,0;37,4;40,7;41,7;41,9;40,6;39,2;39,5;32,7
Norvégia;49,4;53,6;65,1;72,4;78,6;85,2;88,0;89,6;99,3;103,5;106,2;100,5;113,9;107,9;107,5;116,1;115,9;123,7;121,3;114,3;111,5;114,3
Oroszország;537,1;534,8;547,5;570,6;582,6;589,5;604,8;601,6;611,5;536,2;598,4;616,8;601,9;614,5;591,2;584,4;589,3;635,6;669,1;679,0;637,3;701,7
Ukrajna;15,8;16,2;17,7;18,3;19,4;19,7;20,0;20,0;20,3;20,3;19,4;19,5;19,4;20,2;20,2;18,8;19,0;19,4;19,7;19,4;19,1;18,6
Arab Emírségek;37,4;38,4;42,3;43,7;45,1;46,6;47,6;49,0;49,0;47,6;50,0;51,0;52,9;53,2;52,9;58,6;59,5;59,5;58,1;57,5;55,4;57,0
India;25,4;25,4;26,6;28,4;28,1;28,5;28,2;29,0;29,4;36,1;47,4;42,9;37,3;31,1;29,4;28,1;26,6;27,7;27,5;26,9;23,8;28,5
Indonézia;70,7;68,6;75,6;79,2;75,7;76,3;75,4;72,6;74,8;78,0;87,0;82,7;78,3;77,6;76,4;76,2;75,1;72,7;72,8;67,6;59,5;59,3
Irán;56,3;62,6;74,4;78,1;91,0;96,6;105,3;118,0;123,6;135,7;143,9;151,0;156,9;157,5;175,5;183,5;199,3;213,9;224,9;232,9;249,5;256,7
Japán;2,5;2,4;2,5;2,8;2,8;3,3;3,3;3,7;3,7;3,5;3,4;3,3;3,3;3,0;2,8;2,7;2,8;3,0;2,7;2,5;2,3;..
Katar;25,8;27,9;30,5;32,5;40,5;47,4;52,5;65,4;79,7;92,4;123,1;150,4;162,5;167,9;169,4;175,9;174,8;170,5;175,2;177,2;174,9;177,0
Kína;27,4;30,6;32,9;35,3;41,8;49,7;59,0;69,8;80,9;85,9;96,5;106,2;111,5;121,8;131,2;135,7;137,9;149,2;161,4;176,7;194,0;209,2
Malajzia;49,7;49,0;50,6;52,7;60,1;67,7;67,5;67,6;69,2;66,2;65,1;67,0;69,3;72,6;72,2;76,8;76,7;79,6;76,1;76,4;68,7;74,2
Pakisztán;18,0;19,0;20,5;25,6;30,7;32,6;33,3;33,8;34,6;34,7;35,3;35,3;36,6;35,6;35,0;35,0;34,7;34,7;34,2;32,7;30,6;32,7
Szaúd-Arábia;47,3;51,0;53,9;57,1;62,4;67,7;69,8;70,7;76,4;74,5;83,3;87,6;94,4;95,0;97,3;99,2;105,3;109,3;112,1;111,2;113,1;117,3
Thaiföld;20,9;20,3;21,2;22,2;23,1;24,5;25,2;26,9;29,8;29,4;33,7;33,8;38,4;38,9;39,1;37,5;37,3;35,9;34,7;35,8;32,7;31,5
Türkmenisztán;42,4;46,3;48,3;53,4;52,6;56,9;56,6;61,6;61,6;33,3;40,1;56,3;59,0;59,0;63,5;65,9;63,2;58,7;61,5;63,2;66,0;79,3
Üzbegisztán;50,9;51,5;52,7;53,1;53,8;54,6;56,6;58,9;61,0;58,4;57,1;56,6;56,5;55,9;56,3;53,6;53,1;53,6;58,3;57,5;47,1;50,9
Algéria;91,9;86,5;88,9;93,9;92,1;84,9;81,3;81,6;82,6;76,6;77,4;79,6;78,4;79,3;80,2;81,4;91,4;93,0;93,8;87,0;81,5;100,8
