13.1.3.8. Nyersacél-gyártás [ezer tonna];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;5 722;5 870;6 189;6 261;6 530;7 031;7 129;7 578;7 594;5 662;7 206;7 474;7 421;7 953;7 876;7 687;7 438;8 135;6 885;7 424;6 765;7 884
Belgium;11 615;10 741;11 322;11 115;11 697;10 420;11 631;10 692;10 673;5 635;7 973;8 026;7 301;7 127;7 331;7 257;7 687;7 842;7 980;7 760;6 119;6 909
Bulgária;2 022;1 972;1 860;2 317;2 106;1 969;2 123;1 909;1 330;726;737;835;633;523;612;543;527;652;666;566;484;548
Csehország;6 216;6 316;6 512;6 783;7 033;6 189;6 862;7 059;6 387;4 594;5 180;5 583;5 072;5 171;5 360;5 262;5 305;4 550;4 864;4 437;4 465;4 817
Finnország;4 096;3 938;4 003;4 766;4 832;4 738;5 054;4 431;4 417;3 066;4 029;3 989;3 759;3 517;3 807;3 988;4 101;4 003;4 146;3 473;3 498;4 340
Franciaország;20 743;19 191;20 258;19 758;20 770;19 481;19 852;19 250;17 879;12 840;15 414;15 780;15 609;15 685;16 143;14 984;14 413;15 505;15 387;14 450;11 596;13 947
Görögország;1 088;1 281;1 835;1 701;1 967;2 266;2 416;2 554;2 477;2 000;1 821;1 934;1 247;1 030;1 022;910;1 158;1 359;1 467;1 350;1 408;1 498
Hollandia;5 492;5 902;6 117;6 571;6 848;6 919;6 372;7 368;6 853;5 194;6 651;6 937;6 879;6 713;6 964;6 995;6 917;6 781;6 813;6 657;6 054;6 620
Horvátország;71;58;34;41;86;73;81;75;89;43;95;96;1;135;167;122;0;0;136;69;45;185
Lengyelország;10 498;8 809;8 367;9 107;10 578;8 336;10 008;10 632;9 728;7 128;7 993;8 779;8 366;7 950;8 558;9 198;9 001;10 332;10 167;8 956;7 856;8 454
Lettország;498;515;520;520;662;688;690;696;635;692;655;568;805;198;..;..;..;..;..;..;..;..
Luxemburg;2 571;2 725;2 736;2 675;2 684;2 194;2 802;2 858;2 582;2 141;2 548;2 521;2 208;2 090;2 193;2 127;2 175;2 172;2 228;2 119;1 886;2 073
Magyarország;1 969;2 065;2 138;2 045;1 944;2 005;2 084;2 227;2 097;1 403;1 678;1 746;1 542;883;1 152;1 675;1 274;1 901;1 989;1 769;1 513;1 100
Németország;46 376;44 803;45 015;44 809;46 377;44 524;47 224;48 550;45 833;32 670;43 830;44 284;42 661;42 645;42 943;42 676;42 080;43 297;42 435;39 627;35 680;40 066
Olaszország;26 759;26 544;26 302;27 058;28 477;29 350;31 624;31 553;30 590;19 848;25 750;28 735;27 252;24 093;23 714;21 958;23 312;24 007;24 496;23 190;20 379;24 413
Portugália;1 089;727;920;1 000;1 445;1 408;1 719;1 853;2 017;1 614;1 543;1 942;1 960;2 050;2 070;2 030;2 010;2 076;2 215;2 033;2 203;1 953
Románia;4 672;4 936;5 490;5 692;6 042;6 280;6 266;6 261;5 035;2 761;3 721;3 828;3 292;2 985;3 158;3 352;3 276;3 361;3 550;3 448;2 790;3 375
Spanyolország;15 874;16 504;16 408;16 286;17 621;17 826;18 391;18 999;18 640;14 358;16 343;15 504;13 639;14 252;14 249;14 845;13 616;14 441;14 320;13 588;10 998;14 185
Svédország;5 229;5 518;5 753;5 707;5 978;5 726;5 466;5 673;5 198;2 804;4 846;4 867;4 326;4 404;4 539;4 557;4 817;4 926;4 654;4 721;4 409;4 678
Szlovákia;3 733;3 989;4 275;4 588;4 454;4 485;5 093;5 089;4 489;3 747;4 583;4 236;4 403;4 511;4 705;4 562;4 808;4 974;4 947;3 931;3 444;4 863
Szlovénia;519;462;481;541;566;583;628;638;642;430;606;648;632;618;615;604;613;648;654;623;585;662
EU27_2020;..;..;..;..;..;..;..;..;..;..;163 201;168 313;168 212;154 532;157 182;155 331;154 529;160 964;159 851;149 860;..;..
Egyesült Királyság;15 155;13 543;11 667;13 268;13 766;13 239;13 871;14 317;13 521;10 079;9 708;9 478;9 579;11 858;12 033;10 907;7 635;7 491;7 268;7 218;7 086;7 222
Norvégia;679;635;698;703;725;705;684;708;560;595;530;610;700;605;600;590;620;603;575;621;624;622
Oroszország;59 136;58 970;59 883;62 839;65 583;66 146;70 830;72 387;68 510;60 011;66 942;68 852;70 209;69 008;71 461;70 898;70 453;70 537;72 099;71 729;71 621;75 585
Svájc;1 000;1 000;1 000;1 000;1 000;1 160;1 252;1 264;1 312;934;1 320;1 400;1 450;1 530;1 475;1 475;1 500;1 525;1 550;1 325;1 175;1 200
Szerbia;..;..;..;..;..;..;..;1 478;1 662;1 061;1 254;1 324;346;396;583;955;1 173;1 477;1 973;1 929;1 456;1 667
Törökország;14 325;14 981;16 467;18 298;20 478;20 965;23 315;25 754;26 806;25 304;29 143;34 107;35 885;34 654;34 035;31 517;33 163;37 524;37 312;33 743;35 810;40 360
