13.1.3.9. Cementgyártás [millió tonna];;;;;;;;;;;;;;;;;;;;;
Ország;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;3,8;3,9;4,0;4,0;4,0;4,7;5,3;5,5;6,1;4,8;4,5;4,3;4,2;4,0;4,0;4,2;4,5;4,7;5,2;4,5;4,5
Belgium;7,5;7,2;7,1;6,6;6,2;6,6;7,0;6,9;7,1;6,1;6,0;6,8;6,3;6,1;6,4;6,3;6,3;6,5;6,6;6,8;6,8
Bulgária;2,2;2,1;2,1;2,4;2,9;3,6;4,0;4,3;4,9;2,7;2,0;1,9;1,8;1,8;1,8;2,0;2,0;2,1;2,2;2,4;2,2
Ciprus;1,4;1,4;1,4;1,6;1,7;1,8;1,8;1,9;1,9;1,5;1,3;1,2;1,0;0,9;0,7;0,8;1,0;1,3;1,4;1,5;1,5
Csehország;4,1;3,6;3,2;3,5;3,7;3,9;4,1;4,8;4,7;3,6;3,3;3,8;3,4;3,2;3,7;3,8;3,9;4,0;4,4;4,6;4,5
Dánia;2,5;2,6;2,5;2,6;2,9;2,9;2,9;2,9;2,5;1,6;1,6;1,9;1,8;1,9;1,9;2,0;2,3;2,4;2,4;2,4;2,5
Észtország;0,3;0,4;0,5;0,5;0,6;0,7;0,8;0,9;0,8;0,3;0,4;0,5;0,5;0,5;0,4;0,4;0,4;0,5;0,5;0,4;0,3
Finnország;1,4;1,3;1,2;1,2;1,3;1,3;1,7;1,8;1,6;1,0;1,2;1,4;1,3;1,3;1,3;1,2;1,3;1,5;1,5;1,4;1,4
Franciaország;19,7;19,8;19,4;19,7;21,0;21,3;22,3;22,3;21,4;18,3;18,0;19,4;18,0;17,5;16,4;15,6;15,9;16,9;16,5;16,7;17,0
Görögország;15,6;15,6;15,0;18,7;14,8;15,2;15,7;14,6;14,0;11,2;8,8;5,8;5,4;5,6;5,6;5,3;6,7;6,3;6,7;5,8;5,3
Hollandia;3,5;3,4;3,1;2,5;2,4;2,5;2,8;2,7;2,7;2,7;2,1;2,3;2,1;2,0;2,0;1,8;2,0;2,1;2,2;2,3;2,1
Horvátország;..;..;..;..;..;..;..;..;..;..;..;2,6;4,3;4,5;4,7;4,5;4,3;5,1;5,1;5,2;5,5
Írország;2,6;2,6;2,5;..;..;4,9;4,7;4,7;3,9;2,7;2,3;2,1;1,6;2,1;2,5;2,9;2,1;2,1;2,1;1,7;1,8
Lengyelország;15,0;12,1;11,2;11,7;12,6;12,6;14,7;17,1;17,2;15,5;15,8;18,9;15,9;14,8;15,6;15,3;15,8;17,3;19,0;18,9;19,0
Lettország;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,7;1,1;1,0;1,1;1,1;1,2;1,0;1,0;1,0;1,0;1,0;1,0
Litvánia;0,6;0,5;0,6;0,6;0,8;0,8;1,1;1,1;1,1;0,6;0,8;1,0;1,0;1,1;0,9;1,0;1,0;1,0;1,2;1,2;1,2
Luxemburg;0,8;0,7;0,7;0,7;0,8;0,8;0,8;0,9;0,9;0,9;1,0;1,2;1,2;1,1;1,1;1,0;1,0;1,0;1,0;1,0;1,0
Magyarország;3,3;3,5;3,5;3,6;…;3,4;3,7;3,6;3,5;…;…;1,7;1,5;1,4;…;…;…;…;…;…;…
Németország;35,2;32,6;31,2;32,7;31,9;30,6;33,6;33,4;33,6;30,4;29,9;33,5;32,4;31,3;32,1;31,2;32,7;34,0;33,7;34,2;35,5
Olaszország;39,4;40,2;41,7;43,6;45,3;46,4;47,4;45,6;42,9;33,6;37,1;34,1;27,8;23,1;20,9;20,0;20,0;25,3;18,6;19,5;19,8
Portugália;10,3;10,2;9,8;8,5;8,8;8,4;8,3;9,2;8,4;6,9;6,7;6,1;5,4;5,3;5,5;5,1;4,1;3,8;4,0;4,3;4,5
Románia;6,1;5,7;5,7;6,0;6,2;7,0;8,2;9,8;10,5;7,9;6,9;7,6;7,7;7,5;7,6;8,4;8,0;8,4;9,0;9,9;10,5
Spanyolország;38,1;40,5;42,4;44,7;46,6;50,3;54,0;54,7;42,1;29,5;26,2;22,2;15,9;13,7;14,6;14,3;14,3;15,5;16,2;17,0;16,2
Svédország;2,6;2,6;2,8;2,5;2,6;2,7;3,0;2,6;2,9;2,1;2,3;2,5;2,6;2,6;2,9;2,8;2,8;3,1;3,2;2,8;2,5
Szlovákia;3,0;3,1;3,1;3,1;3,2;3,5;3,6;3,7;4,2;3,0;2,9;3,2;2,9;3,1;3,3;3,5;3,5;3,8;3,9;4,0;4,1
Szlovénia;1,3;1,2;1,2;1,4;1,2;1,1;1,3;1,3;1,3;1,0;1,0;0,8;0,7;0,6;0,7;0,5;0,7;0,7;0,7;0,7;0,7
Egyesült Királyság;12,5;11,1;11,1;11,2;11,4;11,2;11,5;11,9;10,1;7,6;7,9;8,5;8,0;8,2;9,0;9,2;9,4;9,4;9,2;9,1;8,0
Norvégia;1,9;1,9;1,6;1,7;1,4;1,6;1,7;1,7;1,8;1,4;1,5;1,6;1,7;1,7;1,7;1,6;1,7;1,9;1,9;1,8;1,7
Oroszország;..;..;37,7;41,0;45,6;48,5;54,7;59,9;53,6;44,3;50,4;56,1;61,5;66,6;68,6;62,1;55,0;54,7;..;..;..
Svájc;3,7;3,9;3,8;3,6;4,0;4,3;4,2;4,3;4,2;4,3;4,6;4,7;4,4;4,6;4,6;4,2;4,4;4,3;4,3;4,2;4,2
Szerbia;..;..;..;..;..;..;..;..;..;..;..;2,1;1,8;1,6;1,6;1,7;1,8;1,9;2,1;2,2;2,4
Törökország;35,8;30,1;32,6;35,1;38,0;41,1;47,9;51,0;54,0;55,7;70,8;66,7;67,0;72,9;72,4;71,4;75,4;80,6;71,8;56,5;72,3
Ukrajna;5,3;5,8;7,2;8,9;10,6;12,2;13,7;15,0;14,9;9,5;9,5;10,5;9,8;9,8;8,6;8,5;9,1;9,3;..;..;..
Japán;..;..;72,0;68,5;67,4;69,6;69,9;67,7;62,8;54,8;51,5;51,3;54,7;58,0;57,9;54,8;53,3;55,2;..;..;..
Kína;583,2;626,5;704,7;813,2;933,7;1 038,3;1 204,1;1 354,1;1 388,4;1 629,0;1 868,0;2 063,2;2 184,0;2 414,4;2 476,2;2 348,0;2 403,0;2 316,3;..;..;..
Koreai Köztársaság;51,4;53,1;56,8;60,7;57,0;52,2;55,0;58,2;56,0;53,8;50,7;52,0;52,6;53,8;52,5;56,2;61,5;62,6;..;..;..
Thaiföld;25,5;27,9;31,7;32,5;35,6;37,9;42,6;37,2;35,2;34,3;38,1;38,4;42,7;45,5;43,8;43,7;42,8;40,6;..;..;..
Vietnam;..;..;21,1;24,1;25,3;27,7;31,3;35,5;37,2;48,0;56,4;58,8;57,6;..;..;..;..;91,2;..;..;..
Egyesült Államok;..;..;114,3;110,2;94,9;95,9;93,5;92,3;84,5;64,4;64,4;66,6;72,5;75,4;81,0;81,9;82,6;84,1;..;..;..
Kanada;..;..;13,1;13,4;13,9;14,2;14,3;15,1;13,7;11,0;12,4;12,0;12,5;11,6;11,9;12,2;11,9;..;..;..;..
Mexikó;33,4;32,1;33,4;33,6;35,0;40,1;43,1;43,4;42,3;40,9;39,2;40,6;41,6;39,8;41,5;44,8;46,2;46,1;..;..;..
Ausztrália;7,5;6,8;7,7;8,0;8,6;9,1;9,2;9,6;9,7;8,7;9,1;9,2;9,2;9,8;..;..;..;..;..;..;..
