13.1.3.10. Személygépkocsi-gyártás [ezer darab];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;116;131;133;119;227;231;248;200;126;57;86;130;124;147;136;104;91;78;145;158;110;125
Belgium;912;1 059;937;792;857;895;882;790;680;525;529;561;505;466;482;369;354;333;266;247;237;224
Csehország;428;457;441;436;443;597;849;925;934;976;1 070;1 192;1 172;1 128;1 247;1 241;1 344;1 306;1 437;1 428;1 153;1 105
Finnország;38;42;41;19;10;21;32;24;18;11;6;3;9;8;45;69;55;109;112;115;86;93
Franciaország;2 880;3 182;3 293;3 220;3 227;3 113;2 723;2 551;2 146;1 819;1 924;1 931;1 683;1 458;1 499;1 555;1 636;1 754;1 773;1 666;928;918
Hollandia;215;189;182;163;188;115;87;62;59;51;48;41;25;0;29;42;88;155;214;176;127;105
Lengyelország;482;336;288;307;523;540;632;695;842;819;785;741;540;475;473;535;555;515;452;435;279;261
Magyarország;134;140;138;122;119;149;188;288;342;213;209;200;215;220;434;492;523;418;463;498;406;394
Németország;5 132;5 301;5 123;5 145;5 192;5 350;5 399;5 709;5 532;4 965;5 552;5 872;5 388;5 440;5 604;5 708;5 747;5 646;5 120;4 664;3 515;3 096
Olaszország;1 422;1 272;1 126;1 026;834;726;893;911;659;661;573;486;397;388;401;663;713;743;673;542;452;442
Portugália;179;177;183;166;151;138;143;134;132;102;115;142;116;110;118;115;99;126;234;282;211;229
Románia;64;57;65;76;99;175;202;234;231;279;324;310;327;411;391;387;359;364;477;490;438;421
Spanyolország;2 366;2 211;2 267;2 399;2 403;2 098;2 079;2 196;1 943;1 813;1 914;1 839;1 540;1 755;1 898;2 219;2 354;2 291;2 267;2 248;1 801;1 662
Svédország;260;251;238;280;290;289;289;317;252;129;177;189;163;161;154;189;205;226;291;279;249;258
Szlovákia;181;182;225;281;224;218;295;571;576;461;562;640;927;975;971;1 039;1 040;1 032;1 093;1 108;991;1 000
Szlovénia;123;116;127;111;117;138;115;174;180;203;201;169;127;89;119;133;134;190;209;199;142;96
EU27_2020;..;..;..;..;..;..;16 194;17 104;15 947;13 989;15 260;15 702;14 632;14 738;15 409;16 324;16 887;16 576;16 746;14 536;11 124;10 430
Egyesült Királyság;1 641;1 492;1 630;1 658;1 647;1 596;1 442;1 535;1 447;999;1 270;1 344;1 465;1 510;1 528;1 588;1 723;1 671;1 519;1 303;921;860
Oroszország;969;1 022;980;1 010;1 110;1 069;1 178;1 289;1 469;599;1 208;1 744;1 970;1 928;1 683;1 216;1 124;1 349;1 564;1 524;1 261;1 353
Szerbia;11;7;10;13;13;13;10;8;10;16;15;10;10;113;102;82;79;79;56;35;23;21
Törökország;297;175;204;294;447;454;546;635;622;511;603;640;577;634;733;791;951;1 143;1 027;983;855;783
Ukrajna;18;25;50;103;179;197;275;380;401;66;75;98;70;46;26;6;4;7;6;6;4;7
India;518;655;704;908;1 178;1 264;1 473;1 713;1 846;2 175;2 832;3 040;3 296;3 156;3 162;3 409;3 707;3 961;4 032;3 629;2 837;3 631
Indonézia;257;32;193;203;263;333;256;309;431;352;497;562;745;925;1 013;824;968;982;1 056;1 046;551;890
Irán;275;316;439;517;708;924;800;882;1 048;1 171;1 367;1 413;857;631;926;885;1 188;1 419;1 027;770;826;838
Japán;8 359;8 118;8 618;8 478;8 720;9 017;9 757;9 945;9 928;6 862;8 310;7 159;8 555;8 189;8 277;7 831;7 874;8 348;8 359;8 329;6 960;6 619
Kína;605;704;1 102;2 019;2 480;3 942;5 233;6 381;6 738;10 384;13 897;14 485;15 524;18 084;19 929;21 143;24 421;24 807;23 529;21 390;19 994;21 408
Koreai Köztársaság;2 602;2 471;2 651;2 768;3 123;3 357;3 489;3 723;3 450;3 158;3 866;4 222;4 167;4 123;4 124;4 135;3 860;3 735;3 662;3 613;3 212;3 163
Malajzia;280;345;380;325;365;405;378;348;485;447;523;488;510;544;545;564;504;462;521;534;458;446
Tajvan;263;195;232;265;300;324;211;213;139;184;251;289;278;291;333;298;251;230;190;190;181;197
Thaiföld;97;156;169;252;299;278;299;315;401;313;554;538;945;1 071;743;763;805;818;877;795;538;595
Dél-afrikai Köztársaság;231;271;276;291;301;325;334;276;321;223;295;312;275;265;277;341;336;321;321;349;238;239
Egyiptom;40;37;27;33;35;44;59;69;78;60;76;53;37;14;18;12;11;10;19;19;24;24
Argentína;239;170;111;109;171;183;263;351;399;380;508;577;497;507;364;309;241;204;209;108;93;184
Brazília;1 352;1 502;1 520;1 505;1 863;2 012;2 092;2 391;2 546;2 575;2 585;2 519;2 589;2 723;2 502;2 018;1 778;2 307;2 388;2 448;1 607;1 708
Egyesült Államok;5 542;4 879;5 019;4 510;4 230;4 321;4 366;3 924;3 777;2 196;2 731;2 977;4 109;4 369;4 253;4 163;3 917;3 033;2 785;2 512;1 924;1 563
Kanada;1 551;1 275;1 369;1 340;1 336;1 356;1 390;1 342;1 195;822;967;990;1 040;965;914;889;803;751;656;461;328;288
Mexikó;1 279;1 001;960;774;903;846;1 098;1 209;1 217;943;1 386;1 657;1 810;1 772;1 916;1 968;1 993;1 907;1 581;1 397;967;708
Ausztrália;324;286;307;366;338;316;270;283;286;188;205;190;190;171;167;160;149;88;..;..;..;..
