13.2.1.1. Az ipari termelés és értékesítés értéke havonta, évkezdettõl kumulált [folyó áron, milliárd Ft];;;;;
Év;Idõszak;Termelés;Értékesítés belföldre;Értékesítés exportra;Értékesítés összesen
Havonta;;;;;
2018.;január;2 613;1 073;1 828;2 901
;február;2 623;1 068;1 849;2 918
;március;2 786;1 143;1 999;3 142
;április;2 677;1 003;1 887;2 889
;május;2 858;1 065;1 995;3 059
;június;2 945;1 069;2 105;3 173
;július;2 659;1 043;1 837;2 879
;augusztus;2 606;1 058;1 812;2 870
;szeptember;2 885;1 106;1 971;3 076
;október;3 064;1 222;2 177;3 399
;november;3 016;1 264;2 112;3 377
;december;2 586;1 296;1 723;3 019
2019.;január;2 813;1 231;2 019;3 250
;február;2 846;1 172;2 016;3 187
;március;3 097;1 232;2 194;3 426
;április;2 963;1 170;2 049;3 220
;május;3 208;1 217;2 200;3 417
;június;2 927;1 118;2 087;3 205
;július;3 004;1 214;2 054;3 268
;augusztus;2 662;1 061;1 839;2 900
;szeptember;3 298;1 215;2 316;3 531
;október;3 331;1 285;2 367;3 652
;november;3 211;1 303;2 202;3 505
;december;2 636;1 352;1 739;3 091
2020.;január;3 025;1 221;2 177;3 398
;február;3 106;1 191;2 232;3 423
;március;3 086;1 245;2 123;3 368
;április;1 959;951;1 227;2 178
;május;2 300;972;1 567;2 539
;június;2 835;1 038;2 097;3 135
;július;2 900;1 119;2 021;3 140
;augusztus;2 714;1 020;1 880;2 899
;szeptember;3 554;1 236;2 570;3 806
;október;3 511;1 256;2 575;3 831
;november;3 483;1 325;2 565;3 890
;december;2 980;1 372;2 088;3 460
2021.;január;2 980;1 200;2 225;3 425
;február;3 357;1 274;2 469;3 743
;március;3 841;1 477;2 812;4 289
;április;3 375;1 310;2 471;3 781
;május;3 455;1 362;2 358;3 720
;június;3 707;1 449;2 579;4 028
;július;3 461;1 457;2 435;3 892
;augusztus;3 054;1 370;2 111;3 480
;szeptember;3 742;1 550;2 834;4 384
;október;3 750;1 706;2 653;4 358
;november;4 115;1 879;3 046;4 926
;december;3 707;2 049;2 829;4 879
2022.;január;3 765;1 863;2 964;4 828
;február;4 023;1 887;3 151;5 038
;március;4 692;2 374;3 556;5 930
;április;4 320;2 191;3 028;5 219
;május;4 912;2 205;3 439;5 643
;június;4 978;2 271;3 555;5 826
;július;4 772;2 336;3 644;5 980
;augusztus;4 959;3 121;4 089;7 209
;szeptember;5 738;3 112;4 769;7 881
;október;5 372;3 022;3 994;7 017
;november;;;;
;december;;;;
Évkezdettõl kumulált;;;;;
2018.;január–december;33 319;13 410;23 294;36 704
2019.;január–december;35 996;14 571;25 081;39 652
2020.;január–december;35 453;13 945;25 121;39 066
2021.;január–december;42 543;18 082;30 823;48 905
2022.;január–október;47 529;24 382;36 189;60 570
