13.2.1.4. Az ipar termelési és értékesítési volumenindexei havonta [2015. év havi átlaga = 100,0%];;;;;;;;;
Év;Idõszak;Ipari termelés indexe eredeti;Ipari termelés indexe szezonálisan és munkanappal kiigazított;Ipari értékesítés indexe belföldre eredeti;Ipari értékesítés indexe belföldre szezonálisan és munkanappal kiigazított;Ipari értékesítés indexe exportra eredeti;Ipari értékesítés indexe exportra szezonálisan és munkanappal kiigazított;Ipari értékesítés indexe összesen eredeti;Ipari értékesítés indexe összesen szezonálisan és munkanappal kiigazított
Havonta;;;;;;;;;
2018.;január;106,1;108,8;109,7;105,4;104,3;105,5;106,2;105,8
;február;105,8;108,0;108,7;109,3;104,0;105,1;105,8;106,4
;március;112,5;107,6;115,4;110,4;112,2;107,5;113,4;108,3
;április;107,4;108,8;99,4;105,0;106,6;107,2;104,1;106,1
;május;112,7;110,8;102,9;107,0;110,2;108,7;107,6;108,4
;június;114,3;110,0;102,2;107,7;114,2;109,2;109,9;108,2
;július;102,5;106,9;99,2;105,3;99,1;106,9;99,2;105,9
;augusztus;101,4;111,6;100,6;111,2;99,0;108,1;99,6;110,1
;szeptember;112,0;108,6;103,4;108,4;107,5;104,4;106,1;105,7
;október;118,9;111,1;114,5;111,7;119,0;108,9;117,4;110,6
;november;117,1;110,1;119,6;111,1;115,4;108,8;116,9;109,6
;december;100,7;116,1;123,4;113,9;94,4;112,8;104,9;113,7
2019.;január;111,0;114,4;118,9;115,2;111,7;112,5;114,3;113,9
;február;112,5;114,1;113,0;113,9;111,7;112,0;112,2;112,5
;március;121,8;115,9;118,2;112,6;121,3;113,2;120,2;112,9
;április;114,6;115,7;109,6;114,3;112,3;115,7;111,4;114,5
;május;123,2;118,7;112,5;115,4;119,9;116,8;117,3;116,4
;június;113,1;114,8;104,4;112,9;114,6;116,6;110,9;114,3
;július;115,1;116,8;113,1;117,0;111,8;116,1;112,3;116,5
;augusztus;102,0;115,2;98,9;111,4;101,5;115,7;100,5;113,7
;szeptember;124,7;118,5;110,9;114,8;124,8;117,3;119,8;116,5
;október;126,3;117,7;118,9;115,0;128,6;117,3;125,1;117,0
;november;121,2;115,9;120,4;113,5;118,4;113,2;119,1;113,7
;december;99,8;112,5;125,5;114,8;93,9;111,8;105,3;112,6
2020.;január;114,2;117,9;114,9;112,9;116,4;116,1;115,9;115,9
;február;117,3;116,0;112,7;111,7;118,3;114,4;116,4;113,9
;március;114,9;103,9;118,0;108,3;110,9;99,5;113,4;101,3
;április;72,2;73,3;89,7;92,8;63,3;65,2;72,7;74,8
;május;85,4;86,2;91,2;96,3;81,9;83,3;85,3;89,2
;június;104,7;101,4;96,8;100,5;109,5;108,1;104,9;103,3
;július;106,2;108,4;103,8;106,9;104,5;109,5;104,3;108,1
;augusztus;100,2;115,4;94,5;108,4;98,9;114,1;97,2;112,7
;szeptember;127,6;117,3;111,1;112,1;129,6;117,4;122,9;115,4
;október;125,9;120,2;115,0;113,5;129,7;121,8;124,4;119,7
;november;125,5;117,9;121,8;114,1;128,8;119,6;126,3;118,2
;december;107,4;116,0;125,4;110,9;104,1;116,1;111,9;114,4
2021.;január;106,5;114,9;110,5;113,4;110,4;116,4;110,4;115,9
;február;119,3;119,6;115,4;117,2;120,7;118,2;118,9;117,8
;március;133,6;120,0;130,3;118,1;134,3;119,9;132,9;118,6
;április;114,9;117,1;111,3;114,8;116,2;119,3;114,5;117,3
;május;118,6;120,5;113,3;119,9;112,5;117,8;112,8;118,6
;június;127,4;119,7;119,9;121,1;124,6;118,1;123,0;118,0
;július;114,6;119,2;115,9;120,6;112,1;118,8;113,5;119,6
;augusztus;102,5;115,9;108,7;121,5;99,3;113,5;102,8;115,8
;szeptember;124,3;115,1;118,1;119,5;129,2;115,3;125,3;117,6
;október;121,5;117,4;123,7;124,4;115,3;112,8;118,6;116,8
;november;128,8;120,5;129,9;121,5;128,5;118,2;129,2;120,6
;december;114,7;121,4;138,6;122,4;112,3;121,1;122,0;122,5
2022.;január;115,7;122,7;118,2;121,0;117,4;122,8;117,7;121,7
;február;125,4;125,3;120,8;123,1;129,6;125,1;126,4;124,8
;március;138,6;124,9;145,9;131,2;137,4;121,8;140,9;124,7
;április;118,6;123,0;126,9;132,0;111,6;120,3;117,7;124,1
;május;129,7;124,6;125,0;127,2;125,4;122,5;125,2;125,1
;június;129,4;125,3;128,1;130,5;128,1;125,3;128,4;126,0
;július;118,4;126,0;119,7;127,0;115,5;128,2;117,1;126,3
;augusztus;117,1;126,4;117,4;127,4;126,8;133,8;121,7;130,3
;szeptember;138,3;128,2;125,0;126,9;146,4;132,1;138,1;129,1
;október;128,6;123,7;119,6;120,6;131,3;128,5;125,5;124,1
;november;;;;;;;;
;december;;;;;;;;
