13.2.1.5. Az ipari termelés értéke alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;7 330;243 130;37 344;82 057;117 459;149 113;74 379;208 052;197 785;279 591;104 651;153 568;685 485;60 236;2 392 848;125 043;2 525 221
;február;7 244;229 743;38 021;79 808;97 356;145 293;74 973;206 661;208 320;262 734;105 289;148 542;737 619;63 721;2 398 080;127 294;2 532 618
;március;9 633;255 112;38 883;87 319;116 591;156 129;72 175;220 173;220 009;305 426;107 867;164 844;751 495;70 029;2 566 054;118 933;2 694 619
;április;11 181;240 260;39 044;83 999;117 445;150 987;73 380;224 957;216 609;284 514;111 531;146 320;731 751;70 108;2 490 904;93 123;2 595 207
;május;13 025;266 209;37 607;91 006;125 050;160 021;80 236;241 919;239 762;300 017;125 530;147 347;755 212;78 809;2 648 724;85 606;2 747 355
;június;12 884;272 240;41 068;93 580;130 397;159 025;81 535;243 956;238 182;326 141;127 546;159 077;790 892;79 871;2 743 510;83 056;2 839 451
;július;14 337;276 322;36 351;87 834;151 732;129 724;64 843;232 884;233 060;284 707;122 142;138 477;610 713;72 447;2 441 236;94 385;2 549 958
;augusztus;15 408;296 368;32 080;86 705;149 206;120 657;60 500;227 685;210 609;306 336;115 115;132 575;594 356;73 502;2 405 692;93 951;2 515 051
;szeptember;15 325;288 551;38 877;89 466;150 834;136 861;70 386;247 112;230 517;322 384;125 126;153 747;695 543;84 419;2 633 822;104 151;2 753 298
;október;15 582;300 308;38 704;94 258;152 358;150 234;76 453;262 264;244 198;351 836;127 210;155 317;794 541;86 989;2 834 669;103 573;2 953 824
;november;14 719;290 164;38 782;94 447;133 670;144 651;80 255;248 068;231 973;360 687;128 353;149 456;767 079;91 100;2 758 685;120 537;2 893 940
;december;11 626;259 063;29 693;76 326;110 693;126 534;59 714;181 123;192 240;294 059;94 488;138 731;632 795;98 577;2 294 034;149 595;2 455 255
2019.;január;9 063;261 295;36 081;90 993;113 061;143 285;72 590;218 351;218 394;300 127;133 268;151 049;734 951;75 651;2 549 096;153 693;2 711 851
;február;12 838;249 547;35 478;89 964;103 209;133 223;73 794;229 237;220 592;297 504;130 010;153 797;817 034;81 137;2 614 524;122 128;2 749 491
;március;17 176;275 815;36 610;96 280;130 113;149 156;86 044;244 862;230 588;344 637;136 313;169 342;859 900;81 891;2 841 550;117 293;2 976 019
;április;19 865;280 819;34 280;95 325;144 298;148 613;66 989;255 094;231 351;288 817;133 308;159 595;822 838;82 881;2 744 208;103 235;2 867 307
;május;16 183;298 122;37 601;102 012;143 364;150 527;85 476;269 405;250 290;326 918;150 159;166 298;891 416;95 570;2 967 159;102 409;3 085 751
;június;16 775;285 885;35 142;89 875;119 197;141 524;79 303;247 175;215 950;317 079;135 962;152 908;792 437;84 889;2 697 326;91 802;2 805 904
;július;16 611;309 484;35 192;94 221;123 295;123 162;68 795;256 033;239 681;297 932;146 773;153 746;816 608;87 759;2 752 681;102 636;2 871 928
;augusztus;15 708;300 235;29 328;87 667;117 191;118 260;67 724;235 573;201 989;329 525;134 116;133 828;615 136;82 741;2 453 312;93 709;2 562 728
;szeptember;17 130;333 181;38 058;99 881;122 735;133 590;77 823;266 482;233 887;412 875;157 944;166 303;892 881;96 574;3 032 213;98 370;3 147 714
;október;17 130;344 318;37 011;106 150;135 299;135 829;81 744;282 028;238 870;384 717;164 861;160 508;904 423;101 127;3 076 885;115 052;3 209 067
;november;14 051;314 969;34 614;101 075;132 705;139 785;88 949;259 017;234 431;398 761;166 282;155 551;828 087;103 938;2 958 162;121 731;3 093 944
;december;11 895;284 845;28 552;84 949;128 856;123 843;61 683;183 539;179 907;297 068;127 900;132 751;603 126;110 389;2 347 407;138 934;2 498 237
2020.;január;8 010;301 214;35 079;87 465;123 833;142 145;76 998;222 222;196 721;328 729;162 374;157 876;860 604;81 182;2 776 440;150 175;2 934 625
;február;9 233;300 146;36 706;90 091;90 902;136 101;84 451;239 060;216 628;345 388;169 631;154 317;919 976;85 441;2 868 839;128 560;3 006 632
;március;11 741;340 123;37 222;101 063;66 033;147 586;89 814;257 987;233 705;368 101;182 238;167 655;752 310;91 454;2 835 292;126 964;2 973 997
;április;12 411;279 282;20 518;90 887;53 948;110 914;85 463;204 160;180 869;237 591;130 805;123 619;185 755;74 060;1 777 870;96 614;1 886 895
;május;13 604;280 527;24 377;89 415;56 606;105 833;85 465;211 236;178 498;267 246;137 626;139 223;451 734;77 629;2 105 416;94 221;2 213 242
;június;11 146;306 217;30 731;94 678;84 832;117 683;85 070;233 647;191 367;343 708;150 094;163 551;749 183;83 770;2 634 532;88 653;2 734 332
;július;11 938;330 303;29 636;93 902;101 643;131 131;67 846;241 279;196 850;313 313;159 442;151 522;765 422;84 942;2 667 231;101 210;2 780 378
;augusztus;10 608;319 267;26 900;90 472;91 388;114 119;67 765;226 193;179 600;340 000;154 778;124 951;702 964;83 426;2 521 823;91 930;2 624 362
;szeptember;12 321;361 838;34 621;104 113;95 740;136 413;83 875;273 163;238 158;453 531;209 665;169 165;1 049 312;101 563;3 311 155;99 080;3 422 557
;október;11 542;346 506;31 944;107 318;86 919;163 665;82 192;268 398;232 175;439 254;202 090;167 553;1 040 365;104 887;3 273 264;119 372;3 404 177
;november;11 567;324 877;33 227;106 083;97 170;155 359;92 095;268 700;235 455;431 041;229 119;179 765;972 616;101 928;3 227 435;133 882;3 372 884
;december;11 021;307 689;27 092;94 310;110 641;157 150;62 421;211 508;196 379;309 039;183 380;165 958;766 422;110 468;2 702 456;137 996;2 851 473
2021.;január;6 790;298 903;30 345;89 793;99 947;174 165;84 653;242 889;209 919;367 469;240 371;157 774;670 673;72 470;2 739 371;149 829;2 895 989
;február;8 000;305 935;32 858;102 599;109 104;171 592;83 092;259 514;239 780;389 077;239 706;168 402;914 110;88 432;3 104 202;137 619;3 249 822
;március;12 635;361 619;38 608;122 072;137 647;214 022;95 899;316 017;276 855;415 306;268 727;192 283;1 006 637;105 050;3 550 741;137 192;3 700 569
;április;12 927;334 022;34 725;111 603;111 735;210 692;87 575;300 021;261 709;350 695;243 777;176 121;829 677;95 917;3 148 268;112 892;3 274 086
;május;13 438;340 441;34 857;120 440;148 697;208 651;85 449;303 033;270 995;334 299;252 052;174 405;829 127;96 909;3 199 355;109 921;3 322 714
;június;14 644;369 141;37 466;122 629;163 790;207 897;95 222;312 456;307 375;399 769;267 320;200 652;853 157;103 656;3 440 529;110 424;3 565 597
;július;15 748;370 399;35 825;118 007;172 904;211 182;66 795;306 887;291 497;308 293;269 238;183 253;739 409;102 154;3 175 842;107 034;3 298 624
;augusztus;15 122;378 123;28 913;116 817;154 665;203 356;64 501;286 015;275 880;333 214;227 785;153 117;473 749;97 688;2 793 822;121 394;2 930 338
;szeptember;15 978;430 188;34 976;127 655;165 303;174 166;88 537;315 488;329 828;396 732;278 785;194 013;777 005;112 939;3 425 616;126 327;3 567 922
;október;16 657;423 506;31 718;129 091;208 935;232 493;81 381;321 394;342 076;396 157;249 872;174 208;747 650;113 497;3 451 979;130 087;3 598 724
;november;19 325;429 593;34 967;133 747;201 693;258 286;94 715;330 709;342 350;437 217;281 755;185 439;863 695;121 600;3 715 767;203 504;3 938 596
;december;16 734;399 240;33 929;127 113;189 052;269 167;67 741;259 194;287 686;383 938;239 777;196 914;657 349;132 816;3 243 916;234 927;3 495 578
2022.;január;11 422;407 636;33 313;127 414;206 055;285 849;84 981;287 885;286 306;376 254;277 390;177 202;757 516;93 406;3 401 206;179 207;3 591 835
;február;13 897;401 247;38 829;133 335;218 841;263 223;91 410;306 401;317 860;415 544;297 634;190 345;944 663;104 415;3 723 747;106 511;3 844 155
;március;19 064;492 663;45 950;160 218;324 914;319 329;107 353;363 726;383 997;466 878;361 150;234 524;930 879;128 773;4 320 355;133 248;4 472 667
;április;16 843;476 923;39 276;152 957;282 236;285 015;93 635;349 368;365 650;401 368;338 271;208 885;843 576;112 689;3 949 851;192 832;4 159 525
;május;20 005;536 711;44 527;172 958;270 688;299 597;105 615;397 698;400 965;444 081;405 312;256 236;1 033 527;130 063;4 497 980;176 660;4 694 645
;június;21 326;547 838;47 973;170 331;332 655;288 411;111 961;380 203;387 218;470 582;374 924;243 758;1 051 274;129 847;4 536 975;181 226;4 739 527
;július;23 305;554 777;39 887;157 940;334 308;271 070;89 762;352 728;357 191;396 216;404 206;217 969;1 031 493;112 399;4 319 946;194 201;4 537 452
;augusztus;26 567;608 289;39 082;168 776;295 894;209 096;92 393;356 552;329 892;479 973;419 605;240 415;902 250;123 401;4 265 620;331 282;4 623 469
;szeptember;23 369;625 796;46 156;177 745;273 271;256 215;129 809;407 803;373 857;560 506;499 161;276 057;1 242 012;144 918;5 013 304;312 906;5 349 579
;október;22 904;616 751;42 433;175 269;290 033;233 546;117 817;386 484;359 818;553 089;484 596;256 757;1 199 360;133 491;4 849 443;206 186;5 078 533
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
Évkezdettõl kumulált;;;;;;;;;;;;;;;;;;
2018.;január–december;148 293;3 217 469;446 453;1 046 804;1 552 790;1 729 228;868 827;2 744 854;2 663 262;3 678 431;1 394 848;1 788 001;8 547 480;929 809;30 608 257;1 299 248;32 055 798
2019.;január–december;184 425;3 538 515;417 944;1 138 392;1 513 323;1 640 798;910 914;2 946 796;2 695 929;3 995 959;1 716 896;1 855 675;9 578 836;1 084 546;33 034 524;1 360 992;34 579 941
2020.;január–december;135 143;3 797 990;368 052;1 149 796;1 059 657;1 618 098;963 454;2 857 552;2 476 405;4 176 941;2 071 240;1 865 156;9 216 664;1 080 748;32 701 753;1 368 657;34 205 553
2021.;január–december;167 999;4 441 111;409 186;1 421 566;1 863 472;2 535 669;995 560;3 553 617;3 435 951;4 512 167;3 059 166;2 156 579;9 362 237;1 243 128;38 989 409;1 681 150;40 838 559
2022.;január–október;198 701;5 268 632;417 426;1 596 944;2 828 894;2 711 353;1 024 736;3 588 848;3 562 754;4 564 491;3 862 249;2 302 148;9 936 549;1 213 403;42 878 427;2 014 258;45 091 386
