"13.2.1.8. Az ipari termelés volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; szezonálisan és munkanappal kiigazítva, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;151,5;106,3;106,8;116,9;108,6;102,2;109,6;129,0;123,5;122,2;112,2;97,9;102,5;95,1;109,8;93,3;108,9
;február;147,8;105,3;105,5;116,0;106,0;102,8;105,1;126,3;125,4;117,5;113,1;92,0;101,7;94,8;108,2;100,6;108,0
;március;138,5;105,3;103,4;115,7;106,7;102,5;95,7;122,9;122,4;123,2;113,5;96,9;102,1;97,7;108,1;101,5;107,9
;április;144,6;104,0;110,2;114,2;103,3;103,5;105,1;124,5;123,1;125,8;119,3;90,1;104,0;101,4;109,4;96,2;109,0
;május;147,0;107,7;103,7;118,9;98,5;105,5;105,8;128,4;128,9;133,0;124,3;88,4;101,7;106,2;111,6;93,6;110,9
;június;150,8;106,8;103,4;120,7;102,6;105,6;106,8;128,3;126,7;128,1;126,4;85,8;103,9;106,5;110,6;95,0;110,2
;július;164,2;106,7;102,1;121,0;114,3;99,0;103,1;128,8;127,4;133,8;122,6;88,3;88,7;106,0;107,4;96,5;107,2
;augusztus;167,8;108,5;98,1;120,7;115,8;98,3;103,6;128,2;124,6;133,0;124,3;90,4;104,0;105,3;112,2;99,7;112,0
;szeptember;179,5;106,8;102,4;119,0;114,1;98,5;98,0;132,2;124,4;122,9;124,2;92,2;97,0;109,9;108,5;101,8;108,5
;október;170,7;108,7;102,1;116,9;107,4;102,0;103,2;132,8;126,2;128,5;124,4;91,3;105,6;108,9;111,6;96,0;111,2
;november;164,4;109,2;103,2;118,0;103,3;99,3;102,6;131,2;123,4;128,6;124,4;89,2;102,3;110,6;110,5;96,1;110,0
;december;156,3;113,0;99,8;117,3;97,5;97,4;100,2;134,4;130,5;139,5;126,1;92,5;122,5;120,1;117,2;99,9;116,2
2019.;január;172,9;110,8;99,2;125,3;104,6;100,3;104,0;130,1;131,0;129,3;136,0;93,8;107,9;119,0;114,9;103,7;114,4
;február;239,4;110,5;94,5;126,4;98,8;97,1;101,4;134,4;127,4;128,9;135,9;94,4;112,4;119,6;115,0;95,8;114,3
;március;230,7;110,6;94,2;123,3;99,9;99,1;112,3;131,6;125,2;136,6;138,8;99,6;115,7;111,4;116,4;95,0;115,7
;április;238,4;115,0;92,8;124,6;111,8;99,8;94,2;133,6;125,4;126,5;137,3;96,6;114,5;114,4;116,0;100,6;115,7
;május;173,8;113,1;94,3;126,5;110,1;99,8;111,2;133,3;128,3;138,9;141,6;92,5;117,4;121,0;119,4;104,1;119,0
;június;192,0;111,7;93,2;119,8;98,7;98,2;105,2;133,8;121,4;132,6;143,5;92,7;112,0;117,1;115,0;101,4;114,6
;július;178,6;112,0;92,5;123,6;99,3;93,0;110,1;132,4;126,8;136,8;144,6;93,0;114,8;120,5;117,1;102,1;116,8
;augusztus;172,4;109,6;89,4;122,7;98,0;98,2;113,3;132,1;121,3;142,1;147,9;94,8;109,0;117,2;115,9;99,8;115,4
;szeptember;189,7;116,1;94,4;126,7;97,7;95,6;104,4;134,5;121,1;148,8;148,8;94,6;116,5;118,6;119,1;98,5;118,4
;október;182,6;115,2;94,3;128,6;106,3;92,9;110,4;137,6;120,8;141,2;158,1;93,2;117,6;119,9;118,5;98,7;117,9
;november;156,0;114,1;89,8;127,2;102,1;97,0;110,1;134,2;123,3;142,8;160,7;94,7;108,5;122,7;117,1;95,2;116,2
;december;157,4;113,2;91,0;124,1;101,3;93,1;103,8;128,3;116,5;137,4;161,7;84,2;110,9;124,6;113,0;99,3;112,4
2020.;január;153,8;117,1;91,0;118,7;99,0;95,5;106,3;128,1;114,6;137,9;157,9;94,5;121,2;123,5;119,5;100,9;118,6
;február;153,7;120,1;93,3;121,4;91,5;94,9;110,7;130,4;119,8;143,7;161,5;93,9;120,2;120,2;117,4;99,2;116,4
;március;145,7;118,7;82,4;118,2;63,3;93,1;109,2;124,4;111,5;134,6;162,7;85,1;88,4;110,9;104,1;98,0;104,0
;április;133,0;104,6;52,2;114,1;68,4;75,8;112,6;100,1;91,0;100,9;125,5;69,1;23,2;95,2;71,8;97,7;72,9
;május;147,3;104,7;60,7;111,3;68,2;81,6;107,5;103,4;89,6;113,8;131,7;79,4;57,9;97,2;85,6;98,5;86,3
;június;119,8;108,3;69,3;114,7;83,4;87,6;105,6;113,5;95,5;132,4;143,8;83,9;92,9;102,6;101,9;97,2;101,7
;július;116,8;112,1;73,0;119,0;90,9;94,3;106,1;119,5;100,3;143,5;149,4;84,3;100,3;109,6;108,9;100,0;108,6
;augusztus;118,9;113,4;81,6;124,5;88,1;91,5;111,9;123,9;105,1;143,9;167,3;87,4;120,0;115,4;116,6;99,9;116,0
;szeptember;126,9;113,0;77,9;122,1;91,6;89,4;108,9;125,5;111,6;154,4;180,5;84,8;121,4;112,7;118,7;98,2;118,1
;október;120,4;113,4;79,0;128,1;83,9;108,9;109,1;126,4;111,4;157,4;186,5;93,6;125,1;119,1;121,7;103,4;120,9
;november;123,0;111,6;79,8;123,9;93,3;104,4;113,6;128,5;113,4;147,3;200,1;95,8;114,5;112,7;119,3;105,8;118,7
;december;125,4;112,2;78,8;122,8;95,7;104,0;105,5;131,3;110,7;137,7;202,9;90,3;119,8;111,1;117,7;103,8;116,8
2021.;január;133,1;116,2;81,0;120,8;83,7;106,4;115,3;137,6;116,9;153,5;228,4;95,6;92,6;108,4;116,1;105,2;115,6
;február;137,9;118,5;77,8;131,9;95,2;104,7;108,1;135,7;119,9;153,8;222,2;92,5;110,0;116,6;120,7;106,4;120,0
;március;147,7;118,4;81,4;134,4;92,7;105,5;111,3;141,5;120,1;146,8;223,7;91,7;111,6;120,2;120,4;106,1;120,0
;április;140,3;118,0;82,2;132,1;83,9;107,1;112,6;139,7;119,8;148,5;221,7;94,0;102,8;119,6;117,6;108,6;117,3
;május;141,6;119,3;84,8;141,0;106,3;107,2;105,4;140,6;122,4;143,1;227,6;95,9;105,5;118,7;121,1;111,5;120,7
;június;145,0;119,2;78,4;133,1;110,1;106,7;116,5;137,4;125,3;148,3;237,9;95,9;101,0;117,4;120,2;110,8;119,9
;július;148,6;118,7;85,5;131,6;102,1;109,7;99,7;141,9;121,8;140,5;241,4;102,3;96,3;126,7;119,5;105,3;118,9
;augusztus;148,5;121,2;82,2;134,8;101,3;117,4;100,0;140,9;126,3;139,4;229,4;97,2;77,3;123,0;116,0;111,7;115,9
;szeptember;145,1;126,6;77,0;127,6;100,4;84,7;106,8;135,1;126,9;137,8;231,7;96,0;89,0;119,8;115,1;112,0;115,1
;október;145,5;126,9;77,4;128,5;108,6;108,6;98,5;140,0;134,4;138,3;225,9;94,4;89,6;123,8;117,3;117,2;117,4
