13.2.1.9. Az ipar összes értékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb fel-dolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;7 277;240 568;35 268;81 430;107 065;145 645;74 523;205 880;199 194;276 671;100 885;139 010;676 042;59 520;2 341 701;464 477;2 813 455
;február;7 420;237 706;37 015;79 116;99 787;146 834;72 412;205 882;203 248;257 752;102 360;141 587;730 907;61 877;2 376 484;443 199;2 827 103
;március;9 591;265 535;40 477;85 519;114 778;154 168;71 761;216 494;216 859;306 673;106 828;160 841;757 023;69 556;2 566 514;473 977;3 050 082
;április;11 133;243 091;40 789;83 132;127 724;152 027;65 796;221 987;212 861;278 516;108 698;140 407;728 768;67 557;2 471 355;324 986;2 807 474
;május;12 876;275 492;37 829;91 131;122 833;156 413;80 493;245 067;235 373;298 685;121 534;145 479;735 862;78 054;2 624 244;311 124;2 948 244
;június;12 737;265 525;41 442;92 822;126 352;155 223;80 694;243 002;238 059;321 549;128 068;163 380;794 118;79 979;2 730 213;324 569;3 067 519
;július;14 298;264 849;35 832;88 087;147 827;137 169;70 287;230 500;232 707;274 293;120 723;133 787;610 432;72 673;2 419 166;336 566;2 770 030
;augusztus;15 286;282 380;32 265;86 318;149 914;119 662;58 941;230 633;209 326;304 372;114 669;129 611;566 171;72 757;2 357 018;406 362;2 778 666
;szeptember;15 335;268 209;37 034;87 741;145 333;135 377;64 475;243 703;230 053;322 480;126 669;154 908;648 933;83 101;2 548 017;381 748;2 945 100
;október;15 877;304 745;37 804;96 301;153 457;151 573;72 436;262 913;242 568;355 220;126 485;147 843;786 005;86 529;2 823 879;449 800;3 289 557
;november;14 870;293 439;37 586;96 327;141 699;148 679;75 558;248 764;233 861;357 093;129 153;147 270;773 457;91 824;2 774 709;465 741;3 255 320
;december;11 796;271 468;28 830;73 201;109 182;124 813;62 249;178 710;184 241;291 329;98 278;157 983;628 272;101 396;2 309 952;566 389;2 888 137
2019.;január;9 210;265 086;34 911;89 204;102 745;144 491;74 001;216 697;219 370;300 410;128 311;137 191;761 581;73 381;2 547 380;592 791;3 149 380
;február;13 065;251 006;36 696;89 291;103 553;137 161;68 881;226 730;220 157;291 534;127 630;151 618;819 771;79 313;2 603 341;474 072;3 090 477
;március;16 673;283 167;39 534;95 670;126 628;153 892;81 608;244 091;229 058;346 064;136 913;173 855;859 247;78 442;2 848 168;440 133;3 304 974
;április;19 665;289 035;36 267;94 899;137 507;145 237;68 505;255 874;228 217;285 942;130 150;154 382;800 015;82 258;2 708 285;395 460;3 123 410
;május;16 204;297 324;38 132;101 384;149 038;142 042;77 951;266 065;251 449;319 791;142 966;161 885;861 410;93 465;2 902 901;375 478;3 294 583
;június;16 712;276 331;35 327;88 823;125 831;132 918;80 565;244 744;216 721;313 688;132 112;183 614;811 366;84 029;2 726 068;340 639;3 083 419
;július;16 689;302 874;35 742;95 457;138 061;130 758;72 988;252 142;242 516;285 844;137 574;148 715;814 499;86 297;2 743 467;375 456;3 135 612
