13.2.1.10. Az ipar összes értékesítésének volumenindexei alágak szerint havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb fel-dolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;214,8;108,4;100,8;113,1;116,2;107,8;108,4;128,0;116,7;107,7;107,6;106,4;105,0;91,8;109,1;80,6;103,2
;február;175,5;108,4;98,4;108,8;102,9;110,7;102,1;119,6;113,2;101,9;101,2;94,5;99,5;93,6;103,9;98,4;103,1
;március;148,5;97,4;89,8;100,8;104,1;104,7;96,8;102,8;102,3;97,1;97,9;88,8;98,1;87,6;98,2;118,7;101,0
;április;149,7;103,7;110,3;110,8;106,3;115,5;97,4;122,6;114,0;102,8;114,7;103,1;108,2;99,4;108,5;96,6;107,1
;május;137,8;103,6;91,5;103,8;84,2;113,6;104,4;113,8;109,0;105,3;109,3;87,3;91,2;96,8;99,6;99,1;99,6
;június;133,9;101,6;98,2;106,4;90,3;112,1;102,5;116,9;109,9;105,3;113,0;80,6;104,5;101,4;103,7;104,7;103,9
;július;163,4;104,6;101,1;113,4;113,5;111,6;105,5;120,7;113,7;117,6;115,2;98,0;92,9;107,8;106,1;97,7;105,2
;augusztus;161,5;106,2;91,0;109,7;118,6;100,2;95,1;111,7;99,4;109,6;104,3;88,3;87,0;99,5;99,7;112,6;101,7
;szeptember;188,9;102,2;87,0;104,9;106,3;98,0;81,5;112,9;100,8;100,5;107,0;87,5;85,1;97,2;96,1;98,7;96,7
;október;171,4;109,8;96,9;108,9;105,9;104,8;95,7;118,9;105,3;111,8;108,7;101,5;100,0;102,9;105,7;110,3;106,5
;november;130,9;103,0;95,6;107,2;107,8;103,7;94,0;114,8;102,5;107,2;112,7;88,6;104,2;99,8;104,2;97,3;103,3
;december;140,8;102,7;88,7;97,8;102,3;96,7;86,5;108,9;105,1;115,4;105,9;100,9;111,6;104,0;105,9;104,7;105,8
2019.;január;120,4;106,8;95,1;105,5;94,5;99,7;96,7;100,6;104,8;105,4;123,1;97,5;111,3;122,6;106,2;114,0;107,6
;február;162,9;102,8;95,5;109,2;91,4;94,9;93,1;105,9;104,3;111,0;122,3;106,6;112,2;127,5;107,4;99,3;106,3
;március;164,2;103,9;94,4;108,2;93,1;100,5;114,0;108,3;103,0;110,6;125,3;107,6;112,5;109,6;108,3;88,7;105,4
;április;163,8;113,9;84,7;110,1;93,7;93,8;101,8;109,9;103,5;99,2;115,4;109,0;107,6;117,3;105,7;113,6;106,9
;május;117,4;102,9;96,7;108,3;116,5;88,9;95,6;103,7;104,2;104,4;114,3;110,5;116,6;115,7;108,0;118,1;109,2
;június;124,7;99,7;83,5;93,8;106,0;86,6;101,6;97,5;90,7;97,5;102,6;113,1;103,4;102,2;99,7;107,7;100,6
;július;113,4;109,6;97,1;106,1;100,3;97,0;103,1;105,8;103,8;104,1;113,5;112,5;134,5;115,4;113,1;113,1;113,1
;augusztus;99,0;97,4;91,2;100,1;77,7;98,8;104,0;97,7;94,8;105,2;108,5;101,3;112,3;108,4;102,0;93,2;100,8
;szeptember;106,3;110,1;97,5;111,5;84,5;102,5;125,7;104,9;101,1;124,6;120,0;110,0;129,2;109,9;114,5;102,1;113,0
;október;103,2;103,9;92,1;110,9;101,0;93,2;109,6;103,3;97,5;111,2;127,7;104,3;114,3;112,6;108,0;96,1;106,5
;november;92,9;102,6;83,0;103,2;90,1;90,8;111,7;98,9;97,9;110,0;122,7;103,6;101,3;107,5;102,4;101,4;102,2
