"13.2.1.11. Az ipar összes értékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;100,6;97,5;100,7;111,9;96,0;106,5;108,3;119,4;117,7;118,5;107,6;84,7;99,6;82,4;103,8;119,1;106,7
;február;101,9;95,6;105,2;108,1;98,6;104,7;105,6;118,8;119,3;109,6;108,4;85,9;105,8;85,6;104,7;112,2;106,1
;március;122,5;106,6;114,7;116,9;110,6;110,0;104,1;124,4;125,0;130,7;113,0;96,8;109,9;96,5;112,9;119,8;114,0
;április;142,3;97,8;116,0;113,3;115,6;109,6;96,4;126,9;122,4;119,5;115,4;85,2;106,5;93,3;108,6;83,2;104,8
;május;162,7;110,2;105,6;123,5;99,6;111,0;116,0;138,6;133,1;126,0;126,5;87,3;105,3;106,5;113,0;76,5;107,4
;június;163,1;105,5;113,9;123,9;103,4;106,7;113,7;135,2;132,9;132,8;131,1;96,3;111,8;108,9;116,1;77,6;110,1
;július;178,9;104,9;97,9;118,6;117,8;94,5;99,9;127,5;129,0;112,3;122,8;78,6;85,4;98,5;102,0;80,9;98,8
;augusztus;191,0;111,7;88,0;115,4;112,9;84,5;83,5;127,8;116,4;127,3;116,9;76,3;80,8;98,6;100,5;94,8;99,9
;szeptember;189,2;105,8;100,9;117,0;104,6;93,2;92,6;134,5;127,5;133,9;129,5;90,6;93,8;113,0;108,6;86,9;105,2
;október;194,6;120,3;103,5;128,2;106,7;103,2;101,2;145,0;134,0;149,3;128,9;86,2;112,9;117,8;119,7;104,4;117,7
;november;177,4;115,5;102,9;127,8;108,4;102,5;105,9;137,2;129,9;148,8;131,5;87,2;110,7;125,8;118,3;107,3;116,8
;december;151,1;106,4;78,2;97,7;88,8;89,8;86,7;98,5;101,7;118,4;101,3;93,6;90,4;136,6;98,6;131,2;104,0
2019.;január;121,1;104,2;95,7;118,1;90,7;106,2;104,8;120,1;123,4;124,9;132,5;82,6;110,9;101,0;110,3;135,8;114,9
;február;166,0;98,3;100,4;118,0;90,2;99,3;98,3;125,8;124,4;121,7;132,5;91,6;118,7;109,1;112,4;111,4;112,8
;március;201,2;110,8;108,3;126,5;103,0;110,5;118,6;134,7;128,8;144,6;141,5;104,2;123,7;105,8;122,2;106,3;120,1
;április;233,1;111,4;98,2;124,7;108,2;102,8;98,1;139,5;126,6;118,6;133,2;92,9;114,6;109,4;114,9;94,6;112,0
;május;191,0;113,4;102,1;133,8;116,0;98,6;110,9;143,7;138,6;131,6;144,6;96,4;122,8;123,2;122,1;90,3;117,3
;június;203,4;105,3;95,1;116,2;109,6;92,4;115,6;131,9;120,6;129,4;134,4;109,0;115,6;111,3;115,7;83,6;110,7
;július;202,9;115,0;95,1;125,9;118,2;91,6;103,0;134,9;133,8;116,8;139,4;88,5;114,8;113,7;115,3;91,5;111,8
;augusztus;189,0;108,8;80,3;115,5;87,7;83,5;86,9;124,9;110,4;133,9;126,8;77,3;90,7;106,8;102,4;88,3;100,7
;szeptember;201,1;116,4;98,3;130,4;88,4;95,5;116,4;141,1;128,9;166,9;155,5;99,7;121,1;124,2;124,3;88,7;118,9
;október;200,8;125,0;95,3;142,2;107,7;96,2;110,9;149,9;130,7;166,0;164,5;89,9;129,0;132,6;129,3;100,3;125,4
;november;164,7;118,6;85,4;131,8;97,7;93,1;118,3;135,7;127,1;163,7;161,4;90,4;112,1;135,3;121,1;108,8;119,4
;december;150,4;108,6;74,1;110,2;94,4;84,2;96,8;97,4;95,8;121,2;139,6;96,9;85,2;149,8;99,9;125,8;104,3
2020.;január;97,8;110,2;87,8;115,7;88,9;103,9;102,6;118,4;111,4;135,9;155,5;82,5;117,4;102,8;113,5;131,0;116,9
;február;122,6;108,1;94,6;115,4;95,2;99,6;108,0;125,1;114,5;135,8;161,2;87,3;125,7;110,9;117,6;111,8;117,1
;március;138,7;127,0;97,9;128,7;87,2;104,2;125,1;133,5;118,3;142,5;160,2;95,6;96,1;111,1;114,0;111,5;113,5
;április;139,3;99,2;54,5;112,0;68,6;81,0;113,6;101,5;91,3;90,3;101,1;66,2;25,9;92,4;70,4;89,6;72,9
;május;152,7;101,9;62,9;109,4;80,8;78,5;107,1;106,8;94,4;106,1;128,4;76,2;61,0;95,4;85,9;84,9;85,4
