"13.2.1.12. Az ipar összes értékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; szezonálisan és munkanappal kiigazítva, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;149,1;104,6;103,9;114,9;106,7;102,5;110,1;128,0;122,4;122,1;111,7;96,7;103,1;96,4;108,6;91,9;105,7
;február;149,1;106,8;103,7;114,9;103,7;103,2;105,0;126,4;123,3;117,8;112,1;90,2;101,9;94,6;107,4;100,3;106,4
;március;137,7;103,3;106,2;114,7;105,0;102,7;96,0;121,9;122,9;122,9;112,6;89,6;103,5;98,7;108,6;109,3;108,5
;április;142,3;103,6;108,5;113,7;107,5;107,7;96,4;123,3;122,6;125,9;118,6;88,8;103,1;100,4;107,6;94,1;106,1
;május;145,5;108,9;103,7;119,5;93,0;109,3;111,4;129,7;125,9;132,7;123,1;89,4;101,4;108,0;110,5;94,2;108,5
;június;148,2;106,0;103,6;119,6;97,8;107,2;106,0;128,3;126,1;126,4;125,1;80,6;103,5;107,4;109,6;97,8;108,2
;július;163,3;105,2;101,8;120,9;106,8;100,7;105,6;128,3;128,5;133,0;123,8;89,2;89,1;106,5;107,6;96,1;106,1
;augusztus;167,9;108,7;98,3;119,7;115,1;94,0;100,7;129,4;122,4;132,6;124,0;89,5;97,8;105,0;110,2;110,1;110,4
;szeptember;181,5;106,5;99,5;118,4;111,9;95,3;89,8;131,3;124,2;122,3;125,0;88,0;92,6;108,4;106,6;98,8;105,6
