13.2.1.13. Az ipar belföldi értékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;7 000;142 881;5 457;39 968;76 623;42 829;13 206;66 907;69 480;11 633;12 098;20 439;59 949;20 262;581 732;398 789;987 521
;február;7 042;140 051;6 115;39 173;68 409;45 562;11 159;70 538;76 685;12 220;12 588;22 603;66 960;22 323;594 386;378 510;979 938
;március;8 842;163 870;6 578;44 291;72 547;49 313;11 798;75 213;80 806;14 702;13 478;26 168;66 684;30 643;656 092;388 865;1 053 799
;április;10 389;150 652;6 879;42 112;83 820;50 010;10 363;81 787;81 031;14 542;12 880;25 870;69 124;26 797;655 865;256 683;922 937
;május;12 241;171 763;7 744;46 344;86 571;48 825;12 341;92 886;90 094;13 565;13 895;25 142;70 036;32 696;711 903;232 249;956 393
;június;12 084;163 269;7 263;45 100;89 944;49 981;10 634;91 016;96 184;12 485;15 348;25 786;67 884;37 798;712 692;240 488;965 264
;július;13 660;162 874;5 696;44 596;93 801;41 230;12 609;90 488;88 951;12 924;15 049;25 041;48 904;33 004;675 167;247 397;936 224
;augusztus;14 703;175 813;5 872;43 518;95 855;40 773;10 077;89 229;85 028;15 064;14 277;24 974;51 681;31 407;683 568;271 166;969 437
;szeptember;14 627;159 743;6 053;44 331;94 250;44 056;12 868;95 935;92 979;13 652;15 130;25 693;56 647;37 474;698 812;264 379;977 818
;október;15 248;181 165;7 105;48 673;109 350;51 769;11 713;106 456;96 433;14 576;16 203;28 143;71 548;39 073;782 206;317 675;1 115 129
;november;14 308;177 175;7 881;50 471;97 403;50 656;11 054;101 157;95 168;19 072;18 513;29 313;70 540;46 288;774 692;356 865;1 145 865
;december;11 092;175 475;6 660;38 192;80 973;41 568;11 632;70 603;87 737;14 212;17 732;36 981;59 298;63 319;704 382;452 792;1 168 265
2019.;január;8 732;158 260;5 971;43 371;72 030;47 585;10 950;70 191;82 259;10 414;16 122;23 133;73 380;27 380;641 047;483 402;1 133 181
;február;12 580;149 389;5 792;44 467;68 274;47 961;10 552;82 050;86 112;12 373;17 990;28 359;78 424;34 054;665 797;398 799;1 077 176
;március;15 525;172 215;5 863;48 447;81 542;56 311;10 107;97 079;92 139;12 684;18 547;30 479;87 596;33 877;746 887;351 664;1 114 076
;április;18 551;178 164;6 895;47 821;89 601;54 867;10 725;102 637;91 932;13 483;18 692;32 782;80 244;36 316;764 160;294 045;1 076 756
;május;15 409;181 241;7 040;51 222;90 579;53 042;11 924;106 717;105 003;13 477;16 160;28 684;88 874;44 356;798 320;284 101;1 097 830
;június;15 953;172 711;6 821;44 012;76 890;52 456;10 532;97 500;90 685;12 323;15 850;31 513;82 700;39 829;733 823;250 127;999 902
;július;15 937;185 375;5 643;49 022;90 078;48 047;10 381;105 229;107 133;11 992;17 510;31 515;93 818;39 336;795 079;273 981;1 084 998
;augusztus;14 750;175 427;5 464;44 186;78 488;45 233;8 243;95 397;87 604;12 370;16 373;34 467;56 028;37 291;696 569;253 139;964 459
;szeptember;16 342;186 409;6 640;49 496;92 506;49 114;11 072;107 160;102 967;13 644;17 469;31 627;84 970;43 737;796 812;255 665;1 068 819
;október;16 239;195 252;6 948;53 248;97 969;50 745;13 702;119 151;103 565;13 556;21 487;30 608;85 911;46 616;838 758;311 078;1 166 075
;november;13 491;188 176;6 779;51 107;98 469;44 145;9 957;106 156;98 969;13 761;20 803;33 045;91 498;49 823;812 687;362 715;1 188 892
;december;11 738;183 918;6 022;45 246;93 012;42 151;12 327;75 700;81 539;11 417;19 363;43 913;79 651;72 725;766 985;438 985;1 217 708
2020.;január;7 275;176 597;5 619;40 276;81 502;47 005;12 915;72 255;74 363;11 026;18 242;22 794;77 664;25 018;665 277;460 274;1 132 826
;február;9 572;177 122;6 021;41 565;73 601;48 912;10 538;84 610;85 031;12 473;19 539;26 239;82 662;32 950;701 263;383 301;1 094 136
;március;11 406;211 003;7 000;48 883;58 773;52 505;13 782;100 721;97 365;13 943;19 389;30 302;70 754;36 395;760 815;363 479;1 135 700
;április;11 882;161 911;5 784;43 756;41 839;40 576;11 286;89 534;78 435;9 155;16 811;23 315;18 572;32 492;573 466;295 831;881 178
;május;12 681;168 720;6 177;40 134;48 484;34 758;9 125;88 170;80 106;7 960;15 496;24 969;47 003;33 048;604 151;270 615;887 447
;június;10 215;179 328;6 959;44 946;54 735;38 552;10 732;89 961;83 860;11 508;16 207;26 936;73 090;33 733;670 549;259 301;940 065
;július;11 182;194 598;6 336;44 730;66 255;43 918;11 388;95 704;84 779;12 281;19 131;26 632;77 705;34 700;718 157;273 358;1 002 697
;augusztus;9 845;179 420;5 924;41 683;62 610;40 069;8 782;83 379;78 416;10 691;15 381;24 641;71 747;37 684;660 428;261 908;932 181
;szeptember;11 533;194 734;6 644;50 760;63 268;49 322;11 470;103 589;102 447;15 562;27 659;30 929;100 698;44 246;801 329;294 129;1 106 991
;október;10 586;191 607;6 894;51 343;66 478;50 318;14 034;98 599;100 126;15 963;18 316;28 885;100 822;46 513;789 897;350 784;1 151 267
;november;11 186;190 531;6 561;52 491;68 802;47 238;13 217;99 604;100 906;15 461;23 911;32 190;91 550;46 851;789 312;417 575;1 218 073
;december;10 670;194 603;5 992;44 289;77 155;44 672;11 518;73 574;92 645;14 680;19 752;44 085;79 598;66 482;769 044;466 615;1 246 329
2021.;január;6 234;168 964;4 378;38 729;59 144;48 820;12 231;73 056;82 239;18 211;17 164;23 984;58 189;23 826;628 934;482 705;1 117 873
;február;7 524;174 558;5 332;46 732;65 745;51 832;12 150;87 440;100 333;15 382;20 291;24 529;87 748;30 812;722 883;438 682;1 169 089
;március;11 896;219 523;6 250;55 680;80 300;67 001;14 028;113 012;119 765;17 151;25 492;34 592;94 199;40 692;887 686;440 452;1 340 034
;április;12 476;189 294;6 711;54 347;89 914;61 800;13 337;109 098;108 956;15 568;22 950;28 482;73 642;38 531;812 632;386 240;1 211 348
