13.2.1.14. Az ipar belföldi értékesítésének volumenindexei alágak szerint havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;246,7;111,1;97,2;122,1;116,1;106,4;116,8;154,8;112,4;94,6;112,1;107,2;120,4;115,6;116,6;81,4;99,6
;február;207,1;110,0;112,4;114,7;113,1;111,7;99,3;132,0;118,1;89,0;99,7;97,9;121,2;113,4;113,8;103,4;109,9
;március;157,4;99,5;92,4;110,2;104,5;96,8;111,6;105,3;98,9;81,2;97,4;98,7;119,0;117,9;103,1;118,6;108,6
;április;161,0;106,4;113,0;115,2;109,1;116,9;87,3;125,6;111,4;77,9;106,5;108,1;126,7;115,8;111,9;91,3;105,7
;május;148,7;107,0;103,0;106,7;95,8;118,7;106,4;119,9;108,9;89,7;96,5;87,8;111,8;109,8;107,0;92,3;103,4
;június;140,2;101,1;95,1;109,4;97,7;113,8;93,9;123,9;115,5;81,9;100,6;91,8;110,8;122,3;107,2;102,1;106,2
;július;174,4;106,0;79,6;113,1;102,9;118,2;114,1;131,3;110,8;95,6;114,2;108,7;89,2;127,5;109,4;97,9;106,7
;augusztus;171,5;106,7;89,6;110,5;112,5;92,5;107,0;118,0;99,1;108,3;100,6;100,9;95,5;112,8;105,9;106,7;106,7
;szeptember;198,1;103,4;82,0;105,7;101,9;100,6;101,0;122,9;108,9;101,2;103,0;91,4;87,0;105,9;103,8;94,7;101,9
;október;177,4;111,2;91,4;107,8;109,6;118,5;109,6;132,5;105,2;101,2;104,1;113,1;116,1;126,0;113,5;99,6;109,7
;november;143,3;105,1;106,4;109,6;113,4;119,8;94,1;130,9;106,8;117,0;116,8;90,5;101,9;130,9;111,1;94,5;105,6
;december;143,4;103,9;95,0;96,7;110,9;104,4;106,3;117,9;117,7;112,1;116,4;112,8;105,9;123,4;109,8;100,5;106,2
2019.;január;119,0;106,8;105,1;103,1;96,5;111,2;82,7;99,7;114,4;86,1;129,4;113,6;119,0;129,7;107,4;109,7;108,5
;február;165,8;102,6;91,2;107,6;90,3;107,4;94,5;110,2;109,2;98,2;139,9;126,9;114,2;146,6;107,8;97,7;104,2
;március;167,7;101,0;85,6;103,0;98,6;114,9;85,5;121,6;111,2;83,0;134,1;115,3;126,5;104,1;108,6;85,3;100,4
;április;166,1;112,4;96,7;107,2;96,1;107,4;103,2;117,6;109,7;88,3;139,3;124,4;111,8;126,6;110,5;106,7;110,1
;május;117,5;99,8;87,3;105,5;103,4;104,0;96,4;107,1;113,8;96,0;111,6;112,3;123,0;127,5;107,6;116,6;109,9
;június;125,8;99,9;91,0;93,6;93,7;104,7;99,3;100,5;92,7;97,0;100,3;121,0;120,1;98,3;100,7;101,5;101,2
;július;113,8;107,7;95,8;106,0;110,7;118,3;82,0;108,8;117,6;90,1;114,1;124,8;187,3;109,6;115,8;108,1;113,7
;augusztus;97,2;94,6;90,0;98,3;91,6;111,8;81,4;100,6;99,5;78,7;111,0;134,3;105,9;108,6;99,7;92,6;97,7
;szeptember;107,2;109,9;105,8;108,6;106,2;113,0;86,2;105,2;105,4;96,3;111,8;120,2;144,6;106,8;110,6;96,5;106,8
;október;103,6;101,3;94,1;106,9;101,4;100,0;117,1;105,6;103,4;90,6;129,1;105,9;115,3;108,3;104,8;99,9;103,5
;november;92,9;99,9;83,3;98,0;103,8;87,8;90,5;99,3;99,3;70,0;109,2;108,5;123,7;99,0;101,0;102,8;101,4
;december;101,8;97,8;87,8;115,4;105,5;102,3;107,1;102,1;88,6;78,5;106,1;114,3;128,4;106,1;103,2;98,8;101,6
2020.;január;81,8;103,8;90,8;91,2;94,2;97,5;118,9;98,3;86,1;102,4;108,2;96,3;99,0;86,3;97,2;97,9;97,3
;február;72,4;110,0;100,0;91,8;115,8;99,8;99,5;98,1;92,4;96,8;103,7;89,3;97,7;90,9;100,8;98,8;99,7
;március;70,1;113,0;114,9;99,1;98,0;93,3;135,8;98,4;97,7;104,7;99,9;95,4;73,2;102,0;99,1;106,0;100,8
;április;60,3;84,7;79,9;89,7;85,5;77,3;105,0;82,7;78,9;65,3;86,1;68,3;21,1;84,6;75,3;103,6;82,6
;május;79,1;88,3;84,3;76,5;90,9;73,0;76,4;78,4;71,5;57,4;92,7;84,0;48,9;69,9;76,3;99,7;82,2
;június;60,9;99,3;97,5;100,0;94,5;80,5;100,7;87,5;86,8;88,9;98,0;82,2;81,2;79,3;90,2;108,2;94,0
;július;65,6;100,0;108,2;88,8;88,8;95,0;108,5;87,1;75,3;100,3;104,6;81,0;78,5;82,7;88,8;104,1;92,1
;augusztus;63,7;98,0;105,0;91,1;100,7;91,9;106,2;83,5;85,4;84,1;89,6;69,8;119,9;95,5;93,7;105,3;96,2
;szeptember;68,3;100,5;97,2;99,1;85,2;102,8;102,6;91,9;94,6;111,1;149,9;93,6;109,8;96,8;99,0;114,7;102,3
;október;62,6;95,2;95,5;93,0;90,1;101,3;100,3;78,8;90,8;114,7;80,0;89,7;108,9;96,2;93,3;112,3;97,9
;november;80,3;98,4;93,9;99,6;94,1;108,3;129,3;89,5;96,0;110,4;108,5;93,9;94,8;90,9;96,8;114,7;102,1
;december;88,8;103,5;96,4;94,1;102,5;102,7;90,8;92,5;105,9;124,9;96,4;95,7;93,5;87,2;98,7;105,2;100,9
2021.;január;83,2;93,5;75,8;92,3;82,8;97,8;93,6;96,1;103,0;161,6;89,8;99,6;70,6;90,0;92,2;103,4;96,6
;február;77,9;96,4;86,5;107,8;88,8;97,9;114,0;97,7;109,8;119,9;98,7;89,9;100,1;89,8;98,8;109,2;102,3
;március;101,7;101,2;86,8;109,2;99,5;107,6;99,1;106,6;113,8;120,5;122,0;110,6;129,4;107,0;108,2;113,3;109,7
;április;102,5;112,6;112,3;119,1;124,9;118,0;114,9;115,4;126,4;166,9;124,2;119,2;384,6;114,7;126,8;118,2;123,6
;május;96,2;113,5;104,8;134,6;121,6;127,6;133,9;120,8;136,4;190,7;143,2;126,2;168,6;116,9;127,2;114,5;122,8
;június;131,7;112,9;108,6;122,4;148,7;116,3;102,9;128,9;147,1;184,6;144,4;150,4;110,1;125,2;127,2;115,0;123,7
;július;122,7;103,7;105,3;106,8;121,0;100,8;95,9;112,1;122,7;165,8;109,5;132,8;101,3;121,5;111,7;108,6;110,9
;augusztus;134,3;109,6;109,4;114,7;120,4;122,7;109,8;124,4;130,3;140,5;130,5;128,1;78,2;106,0;114,8;113,6;114,6
;szeptember;114,9;108,9;96,3;100,4;119,6;77,9;109,1;109,8;117,6;147,2;86,8;111,2;73,2;103,5;104,1;108,9;105,6
;október;122,2;106,5;93,2;100,2;125,6;111,5;88,4;114,7;119,4;111,9;107,4;121,4;68,4;101,6;107,3;106,1;107,0
;november;123,4;114,4;103,0;100,1;117,6;117,6;113,1;117,5;120,6;98,0;90,7;109,1;83,3;113,1;110,8;96,8;105,3
;december;111,2;110,9;115,3;103,6;119,7;126,6;131,5;118,1;121,7;144,8;113,7;103,5;75,3;104,0;111,6;106,8;109,4
2022.;január;125,5;108,2;99,2;116,4;139,5;111,1;93,9;113,8;115,2;91,9;109,6;128,5;110,5;120,2;115,2;94,2;104,6
