13.2.1.17. Az ipar exportértékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;277;97 687;29 811;41 462;30 442;102 817;61 318;138 973;129 714;265 037;88 788;118 571;616 093;39 257;1 759 969;65 688;1 825 934
;február;377;97 655;30 900;39 943;31 378;101 271;61 253;135 344;126 564;245 532;89 773;118 984;663 947;39 554;1 782 098;64 689;1 847 164
;március;749;101 665;33 899;41 227;42 231;104 854;59 963;141 281;136 053;291 971;93 350;134 673;690 340;38 913;1 910 421;85 112;1 996 282
;április;744;92 439;33 911;41 020;43 905;102 018;55 433;140 201;131 830;263 974;95 818;114 537;659 644;40 760;1 815 490;68 303;1 884 537
;május;635;103 729;30 084;44 787;36 262;107 588;68 152;152 182;145 279;285 119;107 638;120 337;665 826;45 358;1 912 341;78 875;1 991 851
;június;653;102 256;34 179;47 722;36 408;105 242;70 060;151 986;141 875;309 064;112 720;137 595;726 233;42 181;2 017 520;84 082;2 102 255
;július;638;101 976;30 136;43 491;54 027;95 939;57 678;140 012;143 756;261 369;105 674;108 746;561 528;39 668;1 743 999;89 169;1 833 806
;augusztus;583;106 567;26 393;42 800;54 059;78 889;48 863;141 403;124 298;289 308;100 392;104 637;514 490;41 350;1 673 450;135 195;1 809 228
;szeptember;709;108 465;30 981;43 410;51 084;91 321;51 607;147 768;137 074;308 828;111 539;129 215;592 286;45 627;1 849 205;117 369;1 967 283
;október;629;123 579;30 699;47 628;44 107;99 804;60 724;156 457;146 136;340 644;110 282;119 700;714 457;47 456;2 041 673;132 125;2 174 427
;november;561;116 263;29 705;45 856;44 295;98 023;64 504;147 607;138 693;338 021;110 640;117 957;702 917;45 536;2 000 018;108 876;2 109 455
;december;704;95 993;22 170;35 009;28 208;83 245;50 617;108 108;96 504;277 117;80 546;121 002;568 974;38 077;1 605 570;113 597;1 719 872
2019.;január;478;106 826;28 939;45 833;30 715;96 905;63 051;146 506;137 111;289 996;112 189;114 058;688 201;46 001;1 906 333;109 389;2 016 199
;február;485;101 616;30 904;44 824;35 279;89 201;58 329;144 680;134 045;279 161;109 640;123 260;741 348;45 258;1 937 544;75 273;2 013 301
;március;1 148;110 952;33 671;47 223;45 086;97 581;71 501;147 012;136 919;333 379;118 365;143 377;771 650;44 565;2 101 281;88 469;2 190 898
;április;1 113;110 871;29 371;47 078;47 906;90 370;57 780;153 236;136 285;272 459;111 458;121 600;719 771;45 942;1 944 125;101 416;2 046 654
;május;795;116 082;31 092;50 162;58 459;89 000;66 027;159 348;146 445;306 314;126 805;133 201;772 536;49 109;2 104 581;91 377;2 196 753
;június;760;103 620;28 506;44 811;48 940;80 462;70 033;147 244;126 036;301 364;116 262;152 101;728 666;44 201;1 992 245;90 512;2 083 517
;július;752;117 499;30 098;46 435;47 983;82 711;62 607;146 913;135 383;273 852;120 064;117 200;720 681;46 962;1 948 388;101 474;2 050 614
;augusztus;898;112 502;24 753;44 315;30 253;71 123;54 330;137 955;114 110;312 419;109 695;97 239;587 799;44 258;1 740 752;95 123;1 836 774
;szeptember;721;123 996;30 797;50 721;25 463;88 542;72 575;158 856;135 592;396 216;138 529;140 197;790 055;51 697;2 203 237;108 174;2 312 132
;október;643;140 273;29 532;55 460;41 897;89 021;66 077;162 980;135 774;389 916;143 740;124 916;845 051;54 956;2 279 594;83 861;2 364 098
;november;579;132 778;26 178;49 908;28 351;90 571;76 835;149 226;134 716;385 458;141 062;123 941;719 193;53 471;2 111 688;86 993;2 199 259
;december;494;112 720;22 460;39 565;33 698;74 181;57 854;106 802;95 123;288 292;118 736;125 423;537 400;44 528;1 656 784;78 135;1 735 413
2020.;január;324;126 702;28 204;48 476;36 643;98 110;62 167;148 949;130 085;323 713;137 496;118 003;775 986;52 588;2 087 121;87 674;2 175 119
