13.2.1.18. Az ipar exportértékesítésének volumenindexei alágak szerint havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;50,4;104,8;101,5;105,6;116,5;108,4;106,8;118,2;119,2;108,3;107,0;106,2;103,7;83,0;106,8;76,1;105,3
;február;45,6;106,1;96,0;103,6;85,9;110,2;102,7;114,0;110,3;102,6;101,4;93,8;97,7;85,2;101,0;76,8;99,9
;március;89,1;94,0;89,4;92,2;103,4;108,8;94,4;101,5;104,5;98,1;97,9;87,1;96,5;72,8;96,6;119,5;97,4
;április;75,8;99,6;109,8;106,6;101,3;114,8;99,6;120,8;115,6;104,7;115,9;102,1;106,5;90,9;107,4;123,9;107,9
;május;57,1;98,4;89,0;100,9;65,3;111,4;104,0;110,4;109,0;106,2;111,3;87,2;89,4;89,3;97,0;126,5;97,9
;június;73,3;102,3;98,9;103,6;76,0;111,2;104,0;113,1;106,4;106,5;115,0;78,9;104,0;87,9;102,6;113,1;102,9
;július;69,5;102,6;106,6;113,7;138,2;109,0;103,7;114,7;115,6;118,9;115,3;95,8;93,2;95,5;104,8;97,2;104,4
;augusztus;65,4;105,4;91,3;108,9;131,2;104,8;93,0;108,0;99,7;109,6;104,8;85,7;86,3;91,3;97,4;126,6;99,1
;szeptember;96,4;100,4;88,0;104,2;115,7;96,8;77,8;107,3;96,0;100,5;107,5;86,7;85,0;91,1;93,5;109,2;94,3
;október;94,1;107,8;98,2;110,1;97,6;98,8;93,4;111,1;105,4;112,3;109,4;99,1;98,6;89,4;103,0;148,8;105,0
;november;40,9;99,9;93,1;104,7;97,2;96,9;94,0;105,9;99,7;106,7;112,1;88,1;104,5;80,4;101,8;108,1;102,1
;december;109,4;100,5;87,0;99,0;83,6;93,2;83,0;103,8;95,7;115,5;103,8;97,7;112,3;82,4;104,3;125,7;105,5
2019.;január;152,2;106,9;93,2;108,0;89,9;94,9;99,7;101,0;99,8;106,3;122,2;94,8;110,5;118,7;105,8;137,8;107,2
;február;112,5;103,1;96,3;110,8;93,7;89,3;92,9;103,6;101,4;111,6;119,8;102,8;112,1;116,1;107,3;108,4;107,4
;március;128,2;108,6;96,2;114,2;84,5;93,7;119,6;101,0;98,2;112,0;124,0;106,1;111,1;114,2;108,2;105,4;108,1
;április;132,6;116,4;82,3;113,3;89,4;87,1;101,6;105,4;99,7;99,8;112,2;105,5;107,1;110,9;104,0;139,7;105,3
;május;114,8;108,1;99,1;111,4;144,7;81,8;95,4;101,5;98,2;104,9;114,7;110,1;115,9;106,8;108,2;123,3;108,8
;június;105,6;99,4;81,9;94,0;133,5;77,8;102,0;95,7;89,4;97,5;102,9;111,6;101,8;106,1;99,3;129,9;100,3
