"13.2.1.19. Az ipar exportértékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;22,1;99,7;100,6;113,4;92,9;128,1;106,5;121,0;124,8;117,9;109,8;83,0;98,6;86,0;105,2;84,5;104,3
;február;32,8;98,7;103,9;109,0;94,2;123,1;106,6;117,3;120,5;108,4;110,2;82,9;104,2;87,3;105,1;79,8;104,0
;március;60,0;102,0;113,6;112,6;131,5;126,8;103,6;122,3;126,9;129,2;114,5;92,9;108,7;86,5;112,6;105,8;112,2
;április;63,9;93,1;114,3;111,7;130,9;125,0;97,1;121,2;122,7;117,5;118,0;79,7;104,6;90,5;107,5;91,3;106,6
;május;54,7;103,6;99,4;121,9;94,6;129,8;117,0;130,1;132,7;125,0;129,8;82,6;103,4;99,1;110,9;99,0;110,2
;június;56,5;100,2;110,8;126,5;92,4;123,4;117,2;127,4;127,3;132,5;133,5;92,9;110,9;91,9;115,1;98,1;114,2
;július;51,6;99,6;97,1;117,9;139,9;112,3;97,4;116,6;128,2;111,2;124,1;73,3;85,1;85,7;98,8;107,7;99,1
;augusztus;43,4;104,6;85,2;114,3;133,9;92,8;82,3;118,3;110,6;125,6;118,0;70,4;79,8;88,9;96,2;153,1;99,0
;szeptember;55,9;105,7;99,6;116,0;125,8;106,3;88,3;123,3;121,6;133,3;131,7;86,2;93,1;99,3;106,6;126,3;107,5
;október;47,2;121,6;99,2;128,0;104,1;115,5;100,6;130,5;129,3;148,8;129,9;79,7;111,5;102,9;117,4;142,8;119,0
;november;40,4;114,5;96,1;122,5;110,6;114,7;107,2;123,3;123,5;146,5;130,3;79,8;109,4;100,4;115,3;113,9;115,4
;december;53,7;94,4;71,3;94,9;77,9;101,9;83,6;90,1;85,3;116,9;95,9;82,0;89,1;84,9;92,7;123,5;94,3
2019.;január;33,7;106,5;93,8;122,4;83,5;121,6;106,2;122,3;124,6;125,4;134,2;78,7;109,0;102,0;111,3;116,4;111,7
;február;36,9;101,8;100,0;120,8;88,3;109,9;99,0;121,6;122,1;121,0;132,0;85,2;116,8;101,4;112,8;86,6;111,7
;március;76,9;110,8;109,3;128,5;111,1;118,8;123,9;123,5;124,5;144,7;141,9;98,6;120,8;98,8;121,8;111,5;121,3
;április;84,8;108,4;94,1;126,5;117,0;108,8;98,6;127,7;122,3;117,3;132,3;84,1;112,1;100,4;111,8;127,5;112,3
;május;62,8;111,9;98,5;135,7;136,9;106,2;111,6;132,0;130,3;131,1;148,8;91,0;119,8;105,8;120,0;122,1;119,9
;június;59,6;99,7;90,8;119,0;123,4;96,0;119,6;121,9;113,8;129,2;137,3;103,7;112,9;97,4;114,3;127,5;114,6
;július;54,5;112,3;94,4;125,3;119,2;98,6;104,9;120,9;121,6;116,5;140,8;80,4;110,4;103,5;110,7;139,3;111,7
;augusztus;60,4;106,8;77,9;116,4;74,5;85,4;89,4;113,3;101,3;133,9;127,5;65,6;90,1;96,2;99,1;144,8;101,5
;szeptember;50,1;116,6;95,4;132,8;61,1;103,6;119,3;129,1;119,2;167,9;159,6;93,1;118,9;111,9;123,7;149,7;124,8
;október;44,1;131,1;90,9;147,3;104,0;103,7;108,8;132,7;120,7;166,8;165,6;82,8;127,4;119,9;128,3;120,1;128,6
;november;37,3;122,3;79,7;133,6;68,3;106,0;123,5;121,6;119,5;164,5;163,0;81,7;108,3;117,5;118,6;109,2;118,4
;december;35,1;103,8;69,0;104,4;84,5;91,3;94,2;87,3;84,9;121,1;139,0;82,2;80,8;98,6;93,1;101,9;93,9
2020.;január;21,2;115,7;86,3;128,0;89,9;119,1;100,3;120,7;115,7;136,7;159,4;79,2;116,3;113,4;116,8;104,7;116,4
;február;42,0;111,7;93,2;125,3;75,9;110,4;110,5;121,7;112,0;135,9;164,5;82,5;124,7;111,4;119,5;94,8;118,4
;március;41,1;129,7;94,4;134,2;71,7;112,6;125,7;123,0;109,6;142,3;163,6;89,7;94,5;106,0;111,1;111,2;110,9
;április;42,3;103,8;46,9;113,7;40,9;86,6;116,0;84,5;82,6;90,0;98,2;60,5;25,5;84,6;62,8;79,9;63,3
;május;61,0;103,3;55,8;117,8;60,4;88,5;111,7;94,5;85,5;107,0;131,3;70,9;59,7;89,1;81,9;87,7;81,9
;június;47,5;109,1;73,2;129,3;71,0;102,6;108,7;113,9;96,1;145,5;155,2;111,2;99,3;102,8;110,7;77,3;109,5
;július;53,3;118,1;71,8;128,5;76,6;99,9;98,5;120,3;100,7;123,1;154,5;78,9;97,9;107,5;105,0;88,5;104,5
;augusztus;42,7;107,7;60,2;119,8;58,2;91,9;89,9;106,1;86,1;134,7;147,7;62,9;89,0;96,6;97,8;103,8;98,9
;szeptember;55,4;121,6;80,7;132,9;73,3;98,9;112,7;131,3;114,0;180,3;193,9;85,6;129,2;116,5;130,0;115,2;129,6
;október;43,9;127,2;68,2;141,4;64,9;119,7;107,8;130,7;110,1;174,5;198,7;80,1;128,2;109,5;129,0;130,9;129,7
;november;48,1;120,9;73,8;135,9;67,2;118,1;114,4;128,7;110,8;173,7;233,5;84,2;122,8;107,6;128,8;123,8;128,8
;december;38,8;106,1;59,7;120,8;68,7;110,9;101,6;104,7;81,1;117,4;189,3;86,6;92,0;105,1;101,9;141,3;104,1
2021.;január;15,7;108,5;71,9;123,5;62,7;123,0;105,2;126,7;102,9;143,1;240,6;71,8;84,5;99,2;107,1;170,1;110,4
;február;29,9;116,0;80,4;134,1;65,9;121,9;114,1;131,2;106,0;154,3;231,2;84,9;110,7;113,0;120,9;113,8;120,8
