"13.2.1.20. Az ipar exportértékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; szezonálisan és munkanappal kiigazítva, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb fel-dolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;38,1;102,1;101,1;111,3;103,2;119,8;109,0;119,7;120,8;121,3;111,5;88,6;99,4;86,3;106,8;88,5;105,5
;február;40,9;104,2;100,3;111,9;102,4;119,0;105,2;118,8;119,9;116,6;112,6;85,5;100,4;85,7;105,3;95,0;105,1
;március;57,0;101,2;104,2;110,4;114,0;118,0;95,6;117,5;122,5;121,5;112,7;85,9;105,3;84,1;107,8;108,9;107,5
;április;56,5;99,2;107,3;111,6;117,9;121,9;97,4;118,7;120,2;123,9;121,5;82,6;100,0;91,8;106,2;105,3;107,2
;május;44,1;103,9;98,6;116,8;86,0;126,0;110,3;122,3;126,4;129,5;125,9;82,2;99,4;97,3;108,4;110,8;108,7
;június;45,2;104,8;102,1;120,6;91,2;122,4;106,8;122,1;121,7;125,2;128,1;79,5;105,6;93,0;109,2;108,6;109,2
;július;46,2;102,3;99,9;122,4;130,4;117,2;103,8;121,3;128,9;132,3;125,4;82,4;90,8;93,7;106,6;103,9;106,9
;augusztus;43,5;106,1;95,4;119,5;137,5;109,2;99,2;121,9;119,5;129,8;125,5;83,6;95,9;94,5;108,1;125,2;108,1
;szeptember;50,4;104,5;97,1;119,1;131,6;112,0;87,3;121,7;119,7;121,6;126,5;84,0;89,8;95,8;103,1;109,5;104,4
;október;48,8;107,0;98,3;118,0;106,7;112,2;100,9;121,6;122,2;127,6;121,5;83,5;101,3;95,5;108,4;131,8;109,0
;november;43,5;103,7;97,3;117,1;118,6;111,3;101,0;120,6;117,0;125,7;122,3;82,3;102,2;92,5;107,9;115,4;108,8
;december;60,5;107,2;94,9;117,9;86,5;113,2;92,2;122,9;120,2;136,9;120,4;83,1;118,9;98,6;113,1;123,9;112,8
2019.;január;59,4;108,2;94,3;120,8;92,4;111,6;108,6;120,1;121,5;129,7;132,8;85,6;109,3;102,7;112,9;121,5;112,5
;február;46,1;106,2;96,0;123,3;95,8;106,0;97,8;122,7;121,1;128,6;133,5;87,2;111,9;99,4;112,1;109,6;112,1
;március;72,6;107,5;94,5;125,5;96,2;110,5;112,0;119,4;120,6;137,2;138,4;88,7;112,2;96,5;112,5;116,0;113,2
;április;74,6;114,3;93,8;126,8;105,4;106,1;98,6;125,1;118,7;128,8;137,2;88,3;112,0;102,6;113,9;141,7;115,7
;május;50,2;112,1;94,1;125,7;124,7;102,2;105,5;121,3;120,9;135,7;142,1;89,4;113,0;104,3;115,4;132,5;116,8
;június;47,8;109,7;88,3;122,9;121,0;98,7;108,7;126,1;117,3;129,1;141,6;89,0;115,4;102,3;115,2;138,9;116,5
;július;48,8;112,2;93,6;125,7;110,7;101,0;112,9;120,4;118,0;135,0;141,4;87,0;113,4;108,5;115,7;133,4;116,1
;augusztus;60,4;111,9;90,0;125,4;76,8;101,4;108,0;120,7;114,4;140,2;142,7;84,7;111,1;107,8;114,8;122,4;115,7
;szeptember;44,9;113,4;91,7;132,9;64,3;108,1;116,5;124,4;115,8;147,6;150,0;86,1;112,2;106,4;117,6;127,0;117,3
;október;45,8;114,8;91,7;134,5;106,9;100,4;110,3;123,2;112,3;146,4;154,9;86,3;116,4;112,5;118,4;111,5;117,3
;november;39,7;115,6;84,9;132,0;73,7;103,9;116,0;120,6;115,3;142,8;153,7;86,3;102,8;112,1;112,6;111,7;113,2
;december;39,6;115,1;89,4;125,1;93,5;101,5;104,9;116,5;114,5;142,5;165,5;84,8;105,8;110,6;111,1;101,7;111,8
2020.;január;38,4;116,0;85,8;126,3;98,9;109,4;103,2;118,8;112,5;141,0;153,2;84,4;117,7;115,4;118,7;101,2;116,1
;február;52,6;116,5;84,4;130,2;82,1;107,2;108,7;119,2;112,3;141,5;156,5;84,2;112,4;111,4;114,8;111,1;114,4
;március;38,8;119,4;74,6;122,2;61,9;101,9;112,1;112,2;100,0;132,5;149,3;79,7;83,6;100,0;97,8;112,2;99,5
;április;37,3;110,2;46,9;113,9;37,0;83,1;114,9;82,3;79,9;99,2;102,6;59,8;25,3;84,6;63,9;94,7;65,2
;május;48,5;110,6;56,7;117,1;55,4;88,8;106,0;92,8;84,5;115,9;134,9;78,4;59,4;92,4;82,4;106,3;83,3
;június;38,0;113,5;65,5;126,1;69,4;102,9;98,8;112,5;93,7;141,1;153,4;87,1;96,9;104,0;107,2;96,2;108,1
;július;47,7;116,8;69,9;128,4;71,1;101,3;107,3;119,4;98,5;143,9;157,8;83,3;101,1;110,9;110,6;91,5;109,5
;augusztus;42,6;115,0;75,0;133,8;60,0;113,2;108,7;118,3;101,0;143,3;173,7;82,7;113,3;111,1;116,0;97,6;114,1
;szeptember;49,3;112,7;75,8;128,2;77,1;101,4;109,2;121,5;104,4;154,4;179,7;80,7;116,1;105,3;118,4;98,1;117,4
;október;45,7;116,7;72,7;134,0;67,0;117,6;110,4;124,7;105,4;154,9;193,3;84,6;119,1;105,9;122,0;126,5;121,8
;november;50,4;112,8;77,5;130,9;72,8;114,4;107,8;124,4;105,0;148,1;211,7;84,9;114,3;101,5;120,0;121,4;119,7
;december;43,9;116,9;75,7;134,6;75,9;116,0;113,5;128,4;102,0;137,7;211,1;84,5;111,1;108,6;115,2;127,6;116,1
2021.;január;28,9;114,1;76,8;131,1;68,7;117,0;108,3;132,1;106,2;150,0;240,8;83,8;90,0;106,2;113,5;145,7;116,4
;február;37,5;119,9;75,4;135,8;71,0;117,1;111,6;132,1;104,7;154,6;229,2;83,9;105,3;110,6;118,2;124,1;118,3
;március;45,0;116,3;80,1;145,8;74,8;115,1;107,9;135,0;106,0;148,7;229,3;84,0;113,0;112,2;119,4;129,7;119,9
;április;47,8;122,2;74,4;133,5;69,2;113,7;114,5;136,6;106,5;150,5;234,5;82,2;104,1;114,1;117,1;157,5;119,3
;május;50,2;123,0;78,2;147,2;60,6;115,9;106,5;134,4;108,3;145,0;228,9;83,3;101,2;112,0;115,3;134,2;117,8
;június;54,0;126,6;72,9;135,1;69,5;116,7;115,0;130,7;105,4;139,1;236,0;81,3;103,3;114,5;116,4;145,5;118,1
;július;49,5;123,9;79,0;137,8;72,6;122,9;100,8;131,3;104,3;139,3;236,1;87,9;95,1;119,7;115,4;169,3;118,8
;augusztus;49,2;126,4;76,2;142,3;72,6;129,6;98,7;129,7;110,7;136,9;221,8;87,6;74,2;119,5;108,7;149,0;113,5
;szeptember;49,5;134,5;71,5;133,2;74,6;107,5;101,4;124,5;106,7;134,8;226,4;89,3;84,3;112,3;109,8;172,8;115,3
;október;47,6;132,0;72,2;131,6;51,3;101,7;93,9;127,1;113,5;137,0;226,4;84,2;83,1;112,6;107,6;151,4;112,9
;november;69,6;137,1;74,6;137,5;47,8;110,1;100,9;131,9;112,8;145,2;238,5;84,0;94,1;113,5;114,3;165,0;118,3
;december;49,0;132,3;79,0;141,2;58,1;112,7;95,5;128,6;109,6;150,3;244,5;83,4;97,9;121,8;115,0;173,0;121,2
2022.;január;40,9;139,2;79,3;140,6;64,2;113,7;102,7;125,5;106,8;147,9;243,6;87,8;96,9;114,7;117,6;163,2;122,9
;február;49,4;134,8;81,5;141,9;61,8;109,7;104,0;123,3;106,4;151,2;258,4;89,3;107,6;118,9;119,7;179,1;125,1
;március;46,8;140,0;83,9;140,1;68,4;108,0;109,6;126,8;107,0;155,3;286,3;93,2;90,9;119,8;116,2;171,3;121,8
;április;41,6;140,2;84,2;143,8;50,8;105,1;99,8;122,3;108,6;149,1;284,5;94,2;100,1;117,6;118,2;144,5;120,3
;május;46,7;141,8;82,5;142,5;35,7;102,0;103,5;125,2;107,1;154,4;302,7;94,2;107,5;131,3;120,9;160,8;122,5
;június;44,0;139,5;87,0;139,1;39,2;97,0;104,3;124,2;103,3;158,8;317,5;91,4;107,3;124,1;122,3;162,4;125,3
;július;38,9;141,8;78,7;141,5;33,8;96,2;99,8;124,5;97,8;157,6;332,6;89,9;114,3;121,3;123,2;165,7;128,3
;augusztus;40,2;143,3;82,0;143,7;39,6;96,7;110,8;125,1;96,3;165,0;349,9;91,0;116,9;123,9;128,7;187,1;133,8
;szeptember;44,0;138,2;79,5;145,3;30,6;105,0;114,1;126,8;96,1;163,9;364,6;89,1;113,3;125,7;127,6;177,5;132,2
;október;37,0;137,9;82,7;144,5;35,9;94,7;107,6;121,8;91,9;160,4;373,3;90,8;112,1;117,8;125,3;158,3;128,5
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
