13.2.1.21. Az ipari termelés értéke rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;243 025;797 985;1 041 010;1 011 423;134 686;338 103;472 788
;február;224 955;791 309;1 016 263;1 055 460;129 552;331 343;460 895
;március;236 106;842 852;1 078 958;1 126 354;132 842;356 465;489 307
;április;211 082;836 384;1 047 466;1 071 536;134 616;341 589;476 205
;május;211 225;909 670;1 120 894;1 119 534;137 490;369 437;506 927
;június;213 929;917 758;1 131 686;1 180 761;144 934;382 069;527 003
;július;247 007;847 716;1 094 723;980 256;114 663;360 316;474 979
;augusztus;243 870;810 863;1 054 733;960 633;126 813;372 872;499 685
;szeptember;255 648;878 416;1 134 063;1 085 701;149 907;383 627;533 534
;október;256 659;929 757;1 186 416;1 194 122;172 522;400 764;573 286
;november;254 826;893 281;1 148 107;1 180 531;169 459;395 843;565 302
;december;260 934;710 930;971 864;1 028 848;122 656;331 887;454 543
2019.;január;267 358;860 828;1 128 186;1 084 460;149 043;350 162;499 205
;február;225 804;853 828;1 079 632;1 168 660;158 035;343 165;501 200
;március;247 808;916 641;1 164 449;1 261 721;168 722;381 128;549 850
;április;248 026;918 425;1 166 451;1 181 013;154 958;364 886;519 843
;május;246 270;975 748;1 222 019;1 293 100;168 266;402 366;570 632
;június;211 487;886 218;1 097 705;1 165 197;158 499;384 503;543 002
;július;226 449;909 330;1 135 780;1 194 330;149 562;392 256;541 818
;augusztus;211 441;830 107;1 041 548;987 342;155 510;378 328;533 838
;szeptember;222 197;953 291;1 175 488;1 333 717;207 294;431 215;638 509
;október;250 877;983 952;1 234 829;1 319 506;209 888;444 844;654 732
;november;255 024;956 541;1 211 565;1 256 597;203 972;421 810;625 782
;december;268 366;750 158;1 018 523;994 742;124 374;360 597;484 971
2020.;január;274 140;926 884;1 201 025;1 167 584;175 386;390 631;566 017
;február;219 513;976 593;1 196 106;1 231 882;181 013;397 630;578 643
;március;193 037;1 072 501;1 265 539;1 107 070;159 958;441 431;601 389
;április;150 623;796 532;947 155;471 644;106 509;361 586;468 095
;május;150 856;820 511;971 367;746 369;122 867;372 638;495 506
;június;173 524;904 195;1 077 719;1 083 978;168 493;404 142;572 634
;július;203 152;933 920;1 137 071;1 071 565;168 305;403 437;571 742
;augusztus;183 643;881 192;1 064 836;976 380;189 899;393 247;583 146
;szeptember;195 103;1 112 611;1 307 713;1 407 699;248 602;458 543;707 145
;október;206 684;1 114 144;1 320 828;1 388 381;255 631;439 337;694 968
;november;231 401;1 129 337;1 360 738;1 326 428;252 453;433 265;685 718
;december;249 030;978 314;1 227 344;1 123 536;120 940;379 652;500 592
2021.;január;250 241;1 083 788;1 334 029;969 590;206 748;385 622;592 370
;február;247 214;1 159 490;1 406 704;1 248 172;200 260;394 686;594 946
;március;275 407;1 369 598;1 645 005;1 398 475;187 067;470 022;657 089
;április;225 097;1 254 554;1 479 651;1 181 277;187 962;425 197;613 159
;május;259 120;1 271 375;1 530 495;1 185 844;172 010;434 365;606 375
;június;274 718;1 352 496;1 627 215;1 260 871;202 726;474 785;677 511
;július;280 474;1 310 681;1 591 155;1 120 608;143 146;443 715;586 861
;augusztus;276 528;1 214 640;1 491 168;810 878;187 509;440 782;628 292
;szeptember;292 165;1 337 871;1 630 037;1 186 898;231 124;519 863;750 987
;október;339 626;1 366 797;1 706 423;1 136 132;252 092;504 076;756 168
;november;405 879;1 457 827;1 863 706;1 273 672;279 094;522 124;801 218
;december;424 479;1 305 458;1 729 937;1 105 375;188 451;471 815;660 266
2022.;január;385 729;1 393 957;1 779 686;1 099 804;230 368;481 977;712 345
;február;326 224;1 464 312;1 790 536;1 324 737;233 910;494 972;728 882
;március;458 760;1 763 282;2 222 042;1 403 837;246 104;600 684;846 788
;április;475 675;1 616 001;2 091 676;1 287 547;212 212;568 090;780 302
;május;447 962;1 829 475;2 277 437;1 555 984;225 748;635 476;861 224
;június;514 687;1 769 311;2 283 998;1 583 089;215 773;656 666;872 439
;július;529 478;1 701 861;2 231 339;1 494 192;189 218;622 704;811 921
;augusztus;628 414;1 681 717;2 310 132;1 427 430;214 766;671 141;885 908
;szeptember;587 470;1 928 639;2 516 109;1 811 295;277 735;744 439;1 022 175
;október;497 430;1 815 358;2 312 788;1 751 929;297 876;715 940;1 013 816
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;2 859 266;10 166 919;13 026 185;12 995 159;1 670 140;4 364 315;6 034 454
2019.;január–december;2 881 108;10 795 067;13 676 175;14 240 384;2 008 123;4 655 259;6 663 382
2020.;január–december;2 430 707;11 646 734;14 077 441;13 102 516;2 150 057;4 875 540;7 025 596
2021.;január–december;3 550 947;15 484 577;19 035 524;13 877 792;2 438 191;5 487 052;7 925 243
2022.;január–október;4 851 830;16 963 913;21 815 743;14 739 844;2 343 711;6 192 089;8 535 800
