13.2.1.23. Az ipar összes értékesítése rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;572 066;791 722;1 363 789;983 914;131 907;333 846;465 753
;február;543 292;784 194;1 327 486;1 039 593;125 047;334 977;460 024
;március;589 338;832 087;1 421 425;1 128 604;132 626;367 427;500 052
;április;453 225;825 286;1 278 511;1 057 240;132 467;339 256;471 723
;május;434 523;898 298;1 332 821;1 096 820;137 511;381 092;518 603
;június;451 393;907 406;1 358 799;1 188 812;144 475;375 433;519 907
;július;485 284;846 737;1 332 021;972 936;110 941;354 132;465 074
;augusztus;556 988;811 881;1 368 869;926 678;126 488;356 630;483 118
;szeptember;527 745;871 458;1 399 203;1 038 743;151 598;355 556;507 155
;október;603 988;933 303;1 537 290;1 177 632;175 117;399 517;574 634
;november;608 062;902 044;1 510 105;1 183 700;168 720;392 795;561 515
;december;676 329;697 443;1 373 772;1 043 503;122 246;348 617;470 862
2019.;január;696 141;859 340;1 555 481;1 093 283;146 994;353 621;500 616
;február;578 068;852 473;1 430 542;1 166 352;152 523;341 060;493 584
;március;567 161;920 383;1 487 545;1 262 651;168 628;386 150;554 777
;április;533 461;910 755;1 444 216;1 150 171;152 720;376 303;529 023
;május;525 015;958 426;1 483 441;1 256 120;161 117;393 905;555 022
;június;466 957;871 344;1 338 301;1 213 273;155 363;376 482;531 845
;július;514 036;904 427;1 418 463;1 182 735;143 001;391 412;534 413
;augusztus;457 544;819 155;1 276 700;1 010 291;152 114;362 127;514 241
;szeptember;482 892;960 149;1 443 041;1 314 165;209 332;414 414;623 746
;október;535 332;994 230;1 529 562;1 352 002;215 154;433 455;648 609
;november;577 116;940 642;1 517 757;1 240 136;206 491;423 767;630 258
;december;644 399;746 113;1 390 513;1 051 970;130 539;380 100;510 638
2020.;január;666 226;935 735;1 601 960;1 143 390;174 834;387 760;562 594
;február;558 465;967 355;1 525 820;1 228 583;176 744;392 980;569 724
;március;517 690;1 044 446;1 562 136;1 081 248;152 177;459 957;612 134
;április;400 792;766 323;1 167 115;473 654;103 084;362 354;465 437
;május;389 130;821 457;1 210 588;747 434;125 392;368 505;493 898
;június;386 131;928 250;1 314 381;1 148 834;176 117;395 032;571 149
;július;429 012;946 905;1 375 917;1 064 842;171 164;408 844;580 009
;augusztus;414 734;869 461;1 284 194;968 354;187 530;369 540;557 070
;szeptember;475 081;1 120 285;1 595 366;1 395 011;252 249;431 066;683 314
;október;540 764;1 117 322;1 658 085;1 372 544;262 004;430 793;692 797
;november;621 389;1 142 199;1 763 588;1 331 952;253 410;430 973;684 382
;december;705 004;976 830;1 681 834;1 119 942;127 313;402 112;529 424
2021.;január;737 081;1 077 015;1 814 096;951 956;199 686;375 459;575 145
;február;659 332;1 160 437;1 819 770;1 209 358;204 358;402 091;606 449
;március;692 941;1 371 983;2 064 923;1 414 883;186 495;482 270;668 765
;április;654 217;1 240 905;1 895 123;1 179 578;179 572;425 813;605 385
;május;600 698;1 237 005;1 837 704;1 144 934;167 584;436 893;604 476
;június;638 013;1 334 158;1 972 171;1 242 768;201 163;470 867;672 031
;július;780 701;1 259 043;2 039 744;1 106 533;138 024;445 535;583 560
;augusztus;768 390;1 168 610;1 937 000;818 391;175 477;425 509;600 986
;szeptember;1 005 597;1 315 809;2 321 406;1 177 876;222 556;488 794;711 350
;október;1 052 703;1 311 383;2 364 087;1 104 620;258 895;479 792;738 687
;november;1 242 904;1 440 856;2 683 761;1 255 053;286 999;523 597;810 596
;december;1 570 801;1 262 097;2 832 898;1 148 005;200 372;486 389;686 761
2022.;január;1 497 402;1 361 755;2 859 157;1 092 521;229 820;473 449;703 268
;február;1 388 480;1 430 008;2 818 487;1 323 380;226 224;490 911;717 135
;március;1 731 156;1 756 646;3 487 802;1 366 931;244 283;611 690;855 973
;április;1 459 290;1 564 234;3 023 524;1 267 425;206 625;561 045;767 670
;május;1 302 309;1 777 214;3 079 523;1 504 858;223 485;618 406;841 890
;június;1 389 438;1 754 376;3 143 814;1 581 597;214 709;647 170;861 879
;július;1 882 741;1 625 095;3 507 836;1 453 463;185 201;599 503;784 703
;augusztus;2 876 782;1 676 711;4 553 493;1 458 390;213 845;647 845;861 689
;szeptember;2 837 148;1 931 997;4 769 145;1 756 820;275 262;691 847;967 108
;október;2 208 799;1 823 024;4 031 823;1 712 140;297 316;681 862;979 178
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;6 502 233;10 101 859;16 604 092;12 838 175;1 659 142;4 339 278;5 998 420
2019.;január–december;6 578 123;10 737 439;17 315 562;14 293 150;1 993 976;4 632 797;6 626 773
2020.;január–december;6 104 419;11 636 567;17 740 986;13 075 789;2 162 018;4 839 914;7 001 931
2021.;január–december;10 403 379;15 179 302;25 582 682;13 753 953;2 421 183;5 443 009;7 864 191
2022.;január–október;18 573 542;16 701 060;35 274 602;14 517 527;2 316 768;6 023 726;8 340 494
