13.2.1.24. Az ipar összes értékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;85,5;115,9;100,8;105,4;99,2;108,7;105,8
;február;99,1;111,0;105,8;98,8;101,8;107,6;105,9
;március;115,6;101,0;106,6;96,4;91,3;99,0;96,8
;április;99,1;115,4;109,0;106,2;101,0;105,4;104,1
;május;94,3;109,8;104,2;93,5;98,7;103,6;102,2
;június;100,1;111,4;107,4;100,3;107,9;102,3;103,8
;július;102,1;114,5;109,6;99,2;109,7;105,0;106,1
;augusztus;114,2;106,8;109,7;92,5;91,3;103,5;100,0
;szeptember;100,7;104,3;102,9;89,5;98,1;96,1;96,7
;október;109,2;110,6;110,0;102,7;104,9;106,0;105,6
;november;99,3;107,9;104,3;103,7;98,1;100,7;99,9
;december;104,3;102,8;103,5;108,7;137,3;98,3;106,1
2019.;január;110,6;105,3;107,6;109,4;106,5;103,0;104,0
;február;97,8;106,5;102,8;111,8;117,4;99,3;104,3
;március;89,6;108,5;100,4;110,6;122,3;102,9;108,1
;április;107,7;106,9;107,2;106,3;110,1;106,7;107,6
;május;117,6;103,6;108,1;113,5;112,3;99,3;102,8
;június;107,3;95,3;99,2;102,7;104,8;97,6;99,6
;július;109,3;106,0;107,2;122,0;126,1;106,7;111,3
;augusztus;88,9;99,4;95,4;107,5;117,3;97,3;102,5
;szeptember;97,3;108,0;104,2;122,0;134,1;111,0;117,8
;október;97,3;104,8;102,1;111,3;119,6;103,2;108,1
;november;98,7;102,2;100,9;101,5;120,2;101,7;107,1
;december;97,8;105,4;101,7;97,2;105,3;102,8;103,4
2020.;január;96,7;105,7;101,8;99,6;116,5;102,2;106,3
;február;101,2;108,7;105,9;99,3;114,4;106,8;109,1
;március;101,0;107,2;105,1;79,1;89,8;109,1;103,6
;április;88,6;79,4;82,3;37,7;65,8;88,8;82,4
;május;88,5;82,3;84,2;55,4;77,8;88,1;85,2
;június;92,1;102,2;99,0;87,8;113,4;98,8;102,9
;július;89,9;100,3;96,8;84,1;119,4;98,5;103,8
;augusztus;95,6;101,6;99,6;90,2;123,6;97,2;104,7
;szeptember;101,0;110,0;107,1;98,3;120,4;98,7;105,7
;október;104,4;105,2;104,9;93,1;121,3;94,6;103,2
;november;110,9;113,9;112,8;99,6;122,3;98,0;105,8
;december;108,3;120,9;115,3;99,0;96,7;102,3;100,9
2021.;január;107,9;105,9;106,7;77,8;114,0;93,3;99,6
;február;107,1;110,5;109,2;92,4;114,4;98,7;103,5
;március;112,7;119,6;117,2;124,2;117,4;100,5;104,7
;április;129,3;146,0;139,7;242,0;171,9;113,0;125,8
;május;115,8;134,0;127,4;150,2;130,6;113,5;117,7
;június;124,1;127,0;126,1;106,8;111,4;113,7;113,0
;július;128,2;113,8;118,9;99,7;77,8;102,3;95,2
;augusztus;127,8;116,9;121,0;81,8;90,1;108,3;102,3
;szeptember;134,1;103,7;115,0;83,3;86,7;107,5;100,0
;október;107,6;100,6;103,6;78,0;94,9;103,1;100,1
;november;107,4;105,7;106,5;89,0;106,4;111,1;109,4
;december;116,6;107,6;112,4;95,7;147,1;109,0;117,9
2022.;január;103,3;103,4;103,3;109,4;107,5;111,5;110,2
;február;113,9;100,5;106,7;104,6;104,0;107,0;106,1
;március;122,4;103,5;112,1;90,3;121,6;108,7;112,1
;április;109,1;98,9;103,6;98,1;104,3;108,9;107,6
;május;107,9;109,9;109,1;113,8;119,2;111,4;113,4
;június;107,7;99,2;102,8;106,4;98,9;105,6;103,8
;július;103,7;98,2;101,1;109,5;119,1;101,3;105,0
;augusztus;114,7;108,9;112,5;146,9;109,6;112,4;111,7
;szeptember;104,5;111,7;107,3;122,2;110,2;103,1;105,0
;október;95,8;105,1;99,8;126,4;103,6;101,4;102,1
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;101,6;109,2;106,1;99,5;101,9;102,8;102,6
2019.;január–december;101,1;104,2;103,0;109,4;116,5;102,6;106,4
2020.;január–december;98,8;102,9;101,4;85,1;107,8;98,5;101,2
2021.;január–december;117,0;114,5;115,5;100,9;108,4;106,1;106,8
2022.;január–október;107,6;104,0;105,8;111,8;109,2;106,8;107,4
