13.2.1.25. Az ipar belföldi értékesítése rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;475 864;235 912;711 776;115 360;8 842;151 543;160 385
;február;447 167;243 739;690 907;129 056;9 671;150 304;159 975
;március;461 698;261 147;722 845;144 604;10 259;176 091;186 350
;április;340 797;266 449;607 246;144 673;10 236;160 781;171 017
;május;319 169;290 416;609 585;151 443;10 281;185 084;195 365
;június;330 852;289 988;620 840;157 047;12 085;175 293;187 378
;július;342 068;279 012;621 080;131 337;11 353;172 454;183 807
;augusztus;367 705;276 196;643 900;132 264;11 760;181 512;193 273
;szeptember;359 271;291 326;650 596;145 137;12 280;169 804;182 084
;október;427 748;320 436;748 185;162 781;13 968;190 195;204 163
;november;454 883;314 268;769 152;175 506;13 836;187 372;201 208
;december;534 517;244 468;778 985;190 365;13 218;185 697;198 915
2019.;január;556 032;261 145;817 177;141 023;11 372;163 609;174 981
;február;467 510;278 263;745 773;160 802;13 338;157 264;170 602
;március;433 596;312 413;746 009;174 817;13 447;179 803;193 250
;április;384 131;320 261;704 393;171 464;13 532;187 367;200 900
;május;375 172;329 354;704 526;188 078;14 873;190 353;205 227
;június;327 500;299 696;627 195;176 677;13 702;182 329;196 030
;július;364 570;320 422;684 992;193 075;14 773;192 158;206 931
;augusztus;332 163;285 608;617 771;152 617;14 601;179 469;194 071
;szeptember;349 243;324 527;673 770;185 136;15 681;194 232;209 913
;október;409 567;346 120;755 688;185 974;17 020;207 392;224 413
;november;461 772;310 337;772 109;203 825;15 787;197 171;212 958
;december;532 560;256 333;788 893;220 349;14 829;193 637;208 466
2020.;január;541 898;259 589;801 487;138 696;12 910;179 733;192 643
;február;456 943;283 782;740 725;160 799;14 010;178 602;192 612
;március;422 284;323 504;745 788;160 327;14 329;215 255;229 584
;április;337 704;274 593;612 297;94 286;9 649;164 946;174 595
;május;319 133;263 154;582 287;123 397;10 131;171 633;181 763
;június;314 060;274 174;588 235;153 608;13 356;184 867;198 223
;július;339 899;291 797;631 696;158 726;15 019;197 257;212 275
;augusztus;324 838;262 910;587 748;151 847;13 991;178 595;192 587
;szeptember;357 669;331 316;688 985;202 133;18 619;197 254;215 873
;október;417 651;319 225;736 875;197 898;17 395;199 098;216 493
;november;486 698;319 897;806 594;193 976;18 732;198 770;217 502
;december;544 162;269 165;813 328;215 661;17 749;199 591;217 340
2021.;január;542 304;268 925;811 228;120 557;18 803;167 285;186 088
;február;504 914;309 994;814 908;163 681;14 880;175 620;190 500
;március;521 300;381 747;903 047;195 461;19 475;222 051;241 525
;április;476 618;362 053;838 671;165 455;16 551;190 670;207 221
;május;454 273;374 821;829 094;182 316;17 577;203 755;221 332
;június;460 795;407 087;867 882;199 442;27 142;217 418;244 560
;július;486 081;384 068;870 150;190 095;22 242;216 516;238 758
;augusztus;478 546;380 853;859 399;160 500;20 098;208 762;228 860
;szeptember;529 157;410 058;939 215;193 277;22 431;225 625;248 056
;október;687 776;438 409;1 126 185;187 770;22 677;221 841;244 518
;november;780 864;459 512;1 240 377;200 877;23 325;242 869;266 194
;december;947 150;403 521;1 350 671;223 596;25 950;243 380;269 329
2022.;január;915 545;401 251;1 316 795;154 165;16 585;207 366;223 952
;február;848 034;432 646;1 280 680;197 904;19 474;214 588;234 063
;március;1 104 942;540 108;1 645 050;217 953;22 154;275 088;297 242
;április;1 061 103;504 749;1 565 852;191 523;22 801;254 650;277 451
;május;896 460;560 245;1 456 705;232 035;25 762;278 548;304 311
;június;941 281;534 933;1 476 214;248 910;21 049;292 389;313 438
;július;1 105 060;491 204;1 596 264;222 314;22 165;266 659;288 824
;augusztus;1 741 672;514 480;2 256 151;220 685;23 375;293 223;316 598
;szeptember;1 591 515;551 699;2 143 215;267 090;25 504;297 682;323 186
;október;1 624 891;536 345;2 161 236;252 876;19 725;302 499;322 224
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;4 861 740;3 313 358;8 175 098;1 779 575;137 789;2 086 129;2 223 919
2019.;január–december;4 993 817;3 644 478;8 638 295;2 153 836;172 955;2 224 785;2 397 740
2020.;január–december;4 862 939;3 473 107;8 336 046;1 951 355;175 888;2 265 601;2 441 489
2021.;január–december;6 869 779;4 581 048;11 450 826;2 183 028;251 149;2 535 793;2 786 942
2022.;január–október;11 830 503;5 067 660;16 898 163;2 205 455;218 596;2 682 692;2 901 288
