13.2.1.26. Az ipar belföldi értékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;85,5;125,2;95,5;112,8;110,5;110,9;110,9
;február;104,7;118,6;109,2;112,4;105,4;111,2;110,8
;március;116,2;101,2;110,3;108,8;101,7;102,7;102,6
;április;95,1;117,8;103,9;112,6;118,1;106,0;106,6
;május;93,2;113,8;102,0;104,5;98,3;107,7;107,2
;június;100,8;114,0;106,5;110,1;112,6;101,3;102,0
;július;99,3;120,3;107,8;103,5;117,3;104,8;105,5
;augusztus;108,3;109,3;108,7;98,4;115,3;105,9;106,5
;szeptember;96,5;112,4;103,0;97,3;109,6;101,2;101,7
;október;102,0;118,3;108,4;115,2;122,5;109,2;110,0
;november;97,8;118,3;105,2;107,9;116,3;104,1;104,9
;december;102,0;109,9;104,3;116,3;114,0;104,3;104,9
2019.;január;107,9;106,3;107,4;119,0;123,2;105,1;106,1
;február;96,6;110,5;101,4;121,8;132,8;101,2;103,1
;március;87,6;115,5;97,5;116,2;126,1;98,4;100,0
;április;104,1;114,9;108,8;113,3;127,5;111,2;112,2
;május;113,1;108,1;110,7;119,4;140,6;97,9;100,1
;június;99,6;100,1;99,8;108,4;111,0;98,9;99,7
;július;108,7;111,1;109,8;140,6;127,5;106,0;107,3
;augusztus;92,4;99,9;95,7;109,6;121,5;94,1;95,7
;szeptember;99,1;107,5;102,9;120,3;124,1;108,3;109,3
;október;100,3;105,0;102,4;107,7;118,6;102,7;103,8
;november;103,0;95,8;100,0;109,1;111,2;99,1;99,9
;december;99,9;102,1;100,6;108,8;108,9;97,6;98,3
2020.;január;97,2;96,6;97,0;92,2;109,7;102,4;102,8
;február;101,1;98,0;99,9;93,1;101,3;105,7;105,4
;március;104,8;99,3;102,3;84,7;101,9;110,8;110,2
;április;100,9;82,5;91,7;51,2;68,2;82,3;81,4
;május;98,2;78,0;87,9;61,3;65,5;85,7;84,2
;június;105,4;89,1;97,1;81,1;93,4;97,1;96,8
;július;100,6;88,4;94,6;77,8;97,8;97,8;97,8
;augusztus;104,3;89,4;97,1;94,6;91,7;95,2;94,9
;szeptember;107,8;98,7;103,2;102,9;113,4;97,6;98,8
;október;108,0;88,6;98,6;100,5;98,2;93,0;93,4
;november;111,2;99,0;106,0;91,2;113,5;97,9;99,0
;december;104,8;99,9;103,1;92,9;113,4;100,7;101,6
2021.;január;100,7;97,6;99,7;82,7;138,9;91,1;94,4
;február;106,1;102,4;104,7;97,6;101,0;96,5;96,9
;március;111,0;108,7;110,0;118,0;128,6;101,1;102,9
;április;119,5;119,6;119,5;168,0;159,4;112,5;115,2
;május;116,0;126,9;120,7;142,8;161,9;114,4;117,1
;június;121,4;130,3;125,4;124,3;190,8;112,1;117,4
;július;111,4;112,5;111,9;112,2;136,8;104,4;106,8
;augusztus;115,0;123,8;118,8;98,8;133,2;110,9;112,6
;szeptember;111,1;105,2;108,4;90,8;112,3;108,6;108,9
;október;109,8;113,0;111,0;89,7;120,4;103,8;105,1
;november;100,2;116,2;105,6;95,5;112,8;112,7;112,7
;december;108,6;119,1;111,5;95,4;133,9;110,8;112,7
2022.;január;99,2;113,4;103,1;118,0;76,4;108,6;105,3
;február;100,2;106,5;102,3;110,6;113,1;105,1;105,7
;március;120,6;107,9;116,1;100,6;98,4;104,0;103,6
;április;124,8;104,0;117,3;102,7;118,5;108,6;109,4
;május;110,9;110,6;110,8;108,2;130,0;107,8;109,4
;június;113,4;96,4;106,6;106,3;70,9;105,6;102,2
;július;114,5;94,2;107,4;99,6;93,2;93,8;93,7
;augusztus;108,3;99,1;106,0;117,7;100,3;104,6;104,2
;szeptember;107,1;99,1;104,9;117,5;99,1;96,2;96,4
;október;96,4;88,0;94,2;114,2;75,6;97,0;95,3
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;99,7;114,6;105,3;108,2;111,9;105,6;106,0
2019.;január–december;100,7;106,2;102,9;115,5;121,9;101,5;102,7
2020.;január–december;103,6;92,0;98,4;85,2;97,5;97,0;97,0
2021.;január–december;109,7;114,5;111,6;105,8;132,8;106,6;108,5
2022.;január–október;108,4;101,1;106,1;109,1;95,4;102,6;102,0
