13.2.1.27. Az ipar exportértékesítése rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;96 202;555 811;652 013;868 553;123 065;182 303;305 368
;február;96 124;540 455;636 579;910 537;115 376;184 672;300 048
;március;127 640;570 940;698 580;984 000;122 367;191 335;313 702
;április;112 428;558 837;671 265;912 566;122 230;178 475;300 706
;május;115 354;607 882;723 236;945 377;127 229;196 008;323 238
;június;120 541;617 418;737 959;1 031 765;132 390;200 140;332 530
;július;143 215;567 725;710 940;841 598;99 589;181 678;281 267
;augusztus;189 283;535 685;724 969;794 414;114 728;175 118;289 845
;szeptember;168 474;580 132;748 606;893 606;139 318;185 753;325 071
;október;176 239;612 866;789 106;1 014 850;161 149;209 322;370 471
;november;153 178;587 775;740 953;1 008 194;154 884;205 424;360 308
;december;141 812;452 975;594 787;853 138;109 028;162 919;271 947
2019.;január;140 109;598 195;738 305;952 261;135 622;190 012;325 634
;február;110 558;574 211;684 769;1 005 551;139 185;183 797;322 982
;március;133 565;607 970;741 536;1 087 834;155 181;206 347;361 528
;április;149 330;590 494;739 823;978 707;139 188;188 936;328 124
;május;149 844;629 072;778 915;1 068 042;146 243;203 552;349 795
;június;139 457;571 648;711 106;1 036 596;141 662;194 153;335 815
;július;149 466;584 005;733 471;989 660;128 228;199 254;327 482
;augusztus;125 381;533 548;658 929;857 675;137 513;182 658;320 171
;szeptember;133 648;635 622;769 271;1 129 029;193 651;220 182;413 833
;október;125 764;648 110;773 874;1 166 027;198 134;226 062;424 196
;november;115 344;630 305;745 649;1 036 311;190 703;226 596;417 300
;december;111 840;489 780;601 620;831 621;115 710;186 463;302 173
2020.;január;124 328;676 145;800 473;1 004 694;161 924;208 027;369 951
;február;101 523;683 572;785 095;1 067 783;162 734;214 378;377 112
;március;95 405;720 942;816 347;920 920;137 848;244 701;382 549
;április;63 088;491 730;554 818;379 369;93 435;197 407;290 842
;május;69 997;558 303;628 300;624 037;115 262;196 873;312 135
;június;72 071;654 075;726 147;995 227;162 761;210 165;372 926
;július;89 113;655 109;744 221;906 116;156 146;211 588;367 733
;augusztus;89 896;606 550;696 447;816 507;173 539;190 945;364 483
;szeptember;117 412;788 969;906 381;1 192 878;233 630;233 812;467 442
;október;123 113;798 097;921 210;1 174 646;244 609;231 695;476 304
;november;134 691;822 302;956 994;1 137 976;234 677;232 203;466 880
;december;160 842;707 664;868 506;904 281;109 564;202 521;312 085
2021.;január;194 777;808 090;1 002 867;831 399;180 884;208 174;389 058
;február;154 418;850 444;1 004 862;1 045 677;189 478;226 471;415 949
;március;171 640;990 236;1 161 876;1 219 422;167 020;260 219;427 239
;április;177 599;878 853;1 056 452;1 014 122;163 021;235 142;398 163
;május;146 426;862 184;1 008 610;962 617;150 006;233 138;383 144
;június;177 219;927 071;1 104 289;1 043 326;174 022;253 450;427 471
;július;294 619;874 975;1 169 594;916 438;115 782;229 019;344 801
;augusztus;289 845;787 757;1 077 602;657 891;155 380;216 747;372 126
;szeptember;476 440;905 751;1 382 191;984 598;200 126;263 168;463 294
;október;364 927;872 974;1 237 901;916 851;236 218;257 951;494 169
;november;462 040;981 344;1 443 384;1 054 176;263 675;280 727;544 402
;december;623 651;858 576;1 482 227;924 409;174 423;243 009;417 432
2022.;január;581 857;960 504;1 542 361;938 356;213 235;266 082;479 317
;február;540 446;997 361;1 537 807;1 125 476;206 749;276 323;483 072
;március;626 214;1 216 538;1 842 752;1 148 979;222 129;336 602;558 731
;április;398 187;1 059 485;1 457 672;1 075 903;183 824;306 395;490 219
;május;405 849;1 216 969;1 622 818;1 272 823;197 723;339 857;537 580
;június;448 157;1 219 443;1 667 600;1 332 688;193 660;354 781;548 441
;július;777 680;1 133 892;1 911 572;1 231 149;163 035;332 844;495 880
;augusztus;1 135 110;1 162 231;2 297 341;1 237 705;190 470;354 621;545 091
;szeptember;1 245 632;1 380 297;2 625 930;1 489 729;249 757;394 165;643 922
;október;583 908;1 286 679;1 870 587;1 459 264;277 591;379 363;656 954
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;1 640 493;6 788 501;8 428 993;11 058 600;1 521 352;2 253 149;3 774 501
2019.;január–december;1 584 306;7 092 960;8 677 267;12 139 314;1 821 021;2 408 012;4 229 033
2020.;január–december;1 241 480;8 163 460;9 404 940;11 124 434;1 986 129;2 574 313;4 560 442
2021.;január–december;3 533 601;10 598 255;14 131 855;11 570 925;2 170 033;2 907 216;5 077 250
2022.;január–október;6 743 039;11 633 400;18 376 439;12 312 072;2 098 173;3 341 034;5 439 206
