13.2.1.28. Az ipar exportértékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;85,3;112,3;107,3;104,5;98,5;106,9;103,3
;február;79,3;107,9;102,3;97,1;101,5;104,8;103,5
;március;113,7;101,0;103,1;94,9;90,6;95,8;93,7
;április;113,7;114,3;114,2;105,3;99,8;104,8;102,7
;május;97,5;107,9;106,1;92,0;98,7;99,9;99,4
;június;98,5;110,3;108,1;98,9;107,5;103,2;104,9
;július;109,3;111,9;111,3;98,5;108,9;105,2;106,5
;augusztus;127,7;105,6;110,6;91,5;89,4;101,1;96,1
;szeptember;111,1;100,6;102,8;88,3;97,2;91,9;94,1
;október;131,5;106,9;111,6;100,9;103,6;103,2;103,4
;november;104,2;103,0;103,3;103,0;96,8;97,7;97,3
;december;114,2;99,3;102,5;107,1;140,8;92,3;107,0
2019.;január;123,3;104,8;107,9;108,1;105,4;101,2;102,9
;február;103,2;104,6;104,4;110,4;116,1;97,7;104,9
;március;97,0;105,2;103,6;109,7;122,0;107,1;113,0
;április;118,1;102,9;105,7;105,1;108,7;102,5;105,0
;május;130,6;101,4;105,9;112,5;110,1;100,7;104,4
;június;131,1;93,0;98,6;101,8;104,2;96,4;99,6
;július;110,9;103,4;104,8;118,9;126,0;107,5;114,1
;augusztus;80,9;99,1;95,0;107,2;116,9;100,7;107,1
;szeptember;93,0;108,3;105,3;122,3;135,0;113,6;122,7
;október;88,8;104,8;101,8;111,9;119,7;103,6;110,5
;november;84,4;105,7;101,7;100,1;121,0;104,1;111,2
;december;88,9;107,3;103,3;94,5;104,8;108,8;107,2
2020.;január;94,5;109,7;107,0;100,8;117,0;102,1;108,1
;február;101,6;113,9;112,2;100,3;115,7;107,7;111,0
;március;87,0;111,2;107,7;78,2;88,7;107,6;100,0
;április;53,7;77,7;73,9;35,4;65,6;95,0;83,0
;május;61,1;84,4;81,0;54,3;79,1;90,3;85,8
;június;59,5;108,9;100,6;88,9;115,4;100,3;106,4
;július;63,8;106,7;98,8;85,3;122,0;99,1;107,7
;augusztus;73,4;108,0;101,8;89,4;127,2;99,2;110,8
;szeptember;84,7;115,5;110,3;97,6;121,0;99,7;109,3
;október;93,7;113,7;110,6;91,9;123,4;96,1;108,4
;november;109,9;120,9;119,3;101,1;123,1;98,0;109,2
;december;122,1;131,4;129,6;100,6;94,5;104,0;100,4
2021.;január;134,8;109,0;113,2;77,1;111,9;95,2;102,3
;február;110,6;113,7;113,2;91,6;115,6;100,5;106,9
;március;118,0;124,4;123,4;125,3;116,3;99,9;105,7
;április;165,7;160,5;161,4;260,8;173,2;113,5;132,1
;május;115,0;137,3;133,6;151,7;127,8;112,7;118,1
;június;131,7;125,7;126,6;104,0;104,6;115,1;110,6
;július;170,8;114,4;124,8;97,4;71,8;100,3;88,5
;augusztus;156,6;113,8;122,9;78,5;86,5;105,9;96,8
;szeptember;174,0;103,0;119,9;81,9;84,5;106,7;95,8
;október;103,7;95,3;97,6;76,0;93,0;102,5;97,7
;november;122,1;101,5;107,3;87,9;105,8;109,7;107,8
;december;131,4;103,0;113,3;95,8;149,3;107,2;121,5
2022.;január;110,3;99,8;103,5;108,1;111,0;113,8;112,6
;február;144,8;98,2;110,7;103,6;103,2;108,6;106,2
;március;125,7;101,6;108,7;88,6;124,5;112,8;117,2
;április;81,7;96,7;92,1;97,3;102,7;109,1;106,6
;május;101,9;109,6;107,6;114,9;118,0;114,5;115,8
;június;97,4;100,4;99,6;106,4;103,3;105,6;104,8
;július;91,5;100,0;96,4;111,5;123,7;108,3;113,0
;augusztus;126,0;113,8;119,5;153,7;110,9;119,8;116,5
;szeptember;101,3;117,6;109,3;123,1;111,5;109,0;109,9
;október;94,0;114,3;107,1;128,8;106,4;105,3;105,8
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;107,8;106,7;106,9;98,2;101,1;100,4;100,7
2019.;január–december;102,6;103,3;103,2;108,4;116,1;103,6;108,6
2020.;január–december;83,8;108,3;104,3;85,1;108,8;99,8;103,5
2021.;január–december;134,1;114,6;118,9;100,0;106,1;105,6;105,8
2022.;január–október;106,3;105,3;105,6;112,2;110,8;110,4;110,6
