13.2.1.29. Az ipari termelékenység indexei alágak szerint havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2014.;január;92,3;105,1;115,4;101,3;98,2;114,1;78,0;101,0;105,6;99,1;99,3;99,6;121,8;111,0;106,5;86,3;104,9
;február;105,1;102,7;120,5;99,5;96,2;111,2;103,3;100,4;114,4;105,2;103,8;104,4;116,2;107,8;107,7;86,1;106,2
;március;117,2;98,7;130,1;106,1;90,6;112,8;119,0;105,4;102,7;119,2;107,4;117,5;117,6;109,3;110,3;84,2;108,6
;április;109,3;108,1;116,1;103,3;116,7;108,2;98,8;100,1;104,3;124,7;101,0;90,6;110,4;119,0;108,4;87,4;107,3
;május;79,8;102,3;113,9;103,5;130,0;93,8;99,7;96,7;100,9;129,3;102,8;98,1;113,5;122,0;109,1;95,0;108,3
;június;95,0;110,5;116,3;103,5;157,5;97,9;95,6;98,1;106,0;120,0;100,0;101,4;112,1;109,5;110,4;91,8;109,3
;július;88,0;102,9;110,9;102,9;114,0;90,9;106,5;99,8;98,8;127,2;103,0;103,5;119,6;126,7;110,2;100,1;109,6
;augusztus;101,8;95,8;111,1;98,5;95,9;86,4;100,1;91,9;92,1;117,7;95,7;93,9;95,1;117,2;97,5;102,5;97,7
;szeptember;122,2;100,5;119,0;104,6;89,4;113,8;116,3;97,2;99,0;122,8;100,5;100,5;106,1;112,5;104,9;100,5;104,8
;október;110,2;95,4;104,7;98,7;101,5;93,7;95,9;96,6;93,5;112,2;102,4;103,8;97,0;113,0;99,4;94,6;99,2
;november;92,1;97,1;115,1;102,4;93,2;99,2;89,9;98,2;95,1;116,1;104,9;97,2;108,7;113,1;103,2;96,3;102,8
;december;100,3;98,6;115,7;104,7;83,6;112,0;93,4;111,8;96,6;126,3;106,8;122,2;101,4;103,8;105,7;99,0;105,2
2015.;január;117,5;98,9;98,0;99,0;126,1;93,8;110,4;105,8;91,5;113,2;104,8;92,4;101,9;112,1;102,7;111,8;103,2
;február;104,3;104,0;98,7;99,1;74,4;93,8;110,8;104,5;91,5;108,5;100,6;99,4;106,7;103,0;102,1;114,3;102,7
;március;100,8;109,4;105,1;103,6;131,2;101,2;102,0;106,8;100,7;109,3;107,4;99,0;108,7;107,0;107,6;112,0;107,7
;április;94,9;99,0;101,7;102,7;111,3;90,0;109,2;108,9;94,6;101,9;105,3;96,7;108,5;106,7;103,7;108,3;103,9
;május;102,6;97,3;102,2;96,4;103,7;94,6;103,9;105,9;94,5;97,9;102,4;86,3;100,9;97,6;99,2;100,6;99,3
;június;87,7;103,5;110,8;109,5;84,7;97,2;111,2;116,1;101,3;110,1;112,9;115,3;111,9;112,6;108,7;104,4;108,4
;július;95,9;102,0;106,2;99,0;94,9;97,2;107,2;108,1;100,2;96,2;102,8;80,0;106,2;105,3;101,5;103,0;101,5
;augusztus;78,8;103,4;93,3;102,8;99,4;125,4;88,0;108,0;101,4;101,9;107,1;87,1;110,3;112,8;104,9;106,5;104,8
;szeptember;70,0;104,6;94,5;101,5;101,3;95,0;96,9;108,3;104,8;102,5;110,8;99,9;112,0;117,4;106,4;105,1;106,2
