13.2.1.31. A kiemelt feldolgozóipari ágazatok belföldi rendelésállománya havonta [összehasonlító áron, elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;
Év;Idõszak Kód;Papír, papírtermék gyártása 17;Vegyi anyag, termék gyártása 20;Gyógyszergyártás 21;Fémalapanyag és fémfeldolgozási termék gyártása 24+25;Számítógép, elektronikai, optikai termék gyártása 26;Villamos berendezés gyártása 27;Gép, gépi berendezés gyártása 28;Jármûgyártás 29+30;Kiemelt ágazatok összesen
2018.;január;129,8;127,5;40,2;150,8;92,8;121,8;163,6;113,6;131,5
;február;132,2;105,6;32,5;149,6;92,1;122,4;141,2;115,4;125,5
;március;129,3;139,5;33,2;141,5;111,0;104,3;128,3;114,2;125,1
;április;129,5;129,0;24,6;142,5;82,0;95,5;125,6;88,5;114,6
;május;124,1;141,5;30,8;114,0;82,8;83,6;112,3;98,8;107,0
;június;123,7;136,3;20,6;111,9;79,5;98,4;104,2;115,2;107,1
;július;127,7;136,4;30,9;111,0;97,1;98,6;94,5;135,4;111,4
;augusztus;127,6;114,1;29,9;99,3;87,3;95,5;86,0;120,8;100,8
;szeptember;124,0;118,6;20,0;99,0;71,5;88,6;80,0;124,5;97,7
;október;115,8;113,5;22,4;100,2;76,6;86,7;75,9;118,5;95,8
;november;119,6;105,6;20,5;99,4;92,8;83,9;70,6;114,7;93,9
;december;123,7;97,1;17,1;100,2;78,9;94,4;60,3;119,5;91,2
2019.;január;110,8;111,8;210,7;104,1;77,9;105,4;62,8;127,9;100,1
;február;103,9;94,0;146,3;102,6;74,1;104,5;68,9;142,7;100,8
;március;98,5;90,1;123,1;94,8;57,6;124,3;72,7;134,8;96,5
;április;95,8;113,9;142,7;90,6;74,4;132,8;80,1;158,3;102,7
;május;92,1;111,4;98,8;88,4;81,0;147,9;78,0;135,3;98,4
;június;88,5;118,1;114,5;91,0;85,1;123,2;82,2;97,6;94,7
;július;81,4;106,2;76,0;90,9;96,7;125,2;85,8;72,0;89,1
;augusztus;75,5;110,4;140,3;94,9;94,8;125,9;88,9;80,1;93,1
;szeptember;73,0;95,0;140,1;93,8;106,7;137,8;97,0;78,4;92,9
;október;79,6;108,4;89,8;93,4;128,7;141,2;99,5;71,1;94,5
;november;77,6;112,3;103,5;93,9;128,5;157,5;96,5;68,4;94,7
;december;78,9;128,8;159,2;98,0;138,3;141,4;102,5;83,4;102,8
2020.;január;81,9;99,6;127,1;77,1;108,6;80,4;104,3;88,3;88,7
;február;85,6;103,8;195,9;76,3;117,3;78,7;98,4;88,9;88,8
;március;98,1;96,3;217,8;85,7;124,4;83,8;103,7;87,4;93,2
;április;95,4;82,7;207,6;87,0;126,0;82,2;100,1;57,8;85,0
;május;96,1;82,8;128,9;83,3;115,5;78,1;105,1;73,5;87,1
;június;95,2;74,5;153,1;81,5;127,1;83,4;104,8;91,6;90,1
;július;102,1;86,2;304,3;81,4;150,6;80,4;107,0;121,6;99,4
;augusztus;112,7;101,0;146,7;77,4;152,3;85,8;106,1;130,5;101,4
;szeptember;119,7;109,8;93,7;83,0;143,0;79,1;106,9;115,8;100,9
;október;109,3;85,1;143,2;83,9;105,6;75,3;109,6;112,0;95,6
;november;113,6;95,8;124,3;99,4;87,3;74,6;112,1;107,0;100,0
;december;106,3;79,5;129,1;95,2;81,8;67,7;106,1;83,5;89,7
2021.;január;109,1;89,9;124,6;104,8;107,2;114,9;94,4;76,4;95,9
;február;113,9;128,7;95,4;109,7;109,9;129,9;100,5;73,2;102,0
;március;105,7;121,4;83,2;109,9;104,2;114,7;96,4;71,2;98,9
;április;113,7;104,7;52,0;106,5;104,0;126,5;97,3;118,7;107,1
;május;85,5;91,7;91,6;108,8;103,7;130,0;107,9;106,0;105,3
;június;94,6;79,8;102,0;103,9;96,8;129,4;112,6;104,2;103,2
;július;90,1;90,1;59,1;100,1;115,6;135,0;122,2;102,5;104,6
;augusztus;82,5;72,7;69,8;100,9;113,9;124,3;128,9;90,9;99,6
;szeptember;80,8;84,1;105,4;89,2;120,0;131,0;51,2;93,0;88,5
;október;82,6;79,6;101,6;90,0;121,6;138,6;65,0;88,5;89,3
;november;79,9;80,4;94,2;79,3;145,8;129,8;75,3;85,4;86,9
;december;79,3;75,7;71,8;78,3;157,7;133,9;68,2;64,6;81,7
2022.;január;67,5;75,0;98,1;83,2;159,1;159,0;75,5;94,2;89,9
;február;71,7;72,8;87,8;84,6;167,8;166,1;77,3;48,8;84,0
;március;65,4;70,7;147,0;88,8;168,1;168,6;86,3;60,3;89,2
;április;62,1;77,6;180,3;93,1;168,0;168,0;93,4;75,9;96,1
;május;78,7;72,3;161,8;88,0;155,4;172,0;82,3;80,2;93,6
;június;76,7;88,4;120,8;90,3;187,2;158,0;84,7;85,3;98,5
;július;75,0;65,7;113,0;99,7;123,6;149,4;79,3;63,8;90,3
;augusztus;76,2;65,8;104,8;92,7;109,7;154,2;78,2;78,0;89,3
;szeptember;74,4;47,5;95,8;103,7;124,3;130,7;207,9;84,1;99,5
;október;72,3;41,7;100,1;98,2;118,2;130,0;154,0;92,6;94,9
;november;;;;;;;;;
;december;;;;;;;;;
