13.2.1.32. A kiemelt feldolgozóipari ágazatok export rendelésállománya havonta [összehasonlító áron, elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;
Év;Idõszak Kód;Papír, papírtermék gyártása 17;Vegyi anyag, termék gyártása 20;Gyógyszergyártás 21;Fémalapanyag és fémfeldolgozási termék gyártása 24+25;Számítógép, elektronikai, optikai termék gyártása 26;Villamos berendezés gyártása 27;Gép, gépi berendezés gyártása 28;Jármûgyártás 29+30;Kiemelt ágazatok összesen
2018.;január;151,2;110,4;135,8;109,6;84,8;101,2;56,5;94,6;91,6
;február;152,0;108,1;127,6;110,3;98,2;102,4;61,0;92,6;91,8
;március;157,9;110,4;120,2;105,2;99,9;103,0;69,2;90,2;91,4
;április;175,4;104,8;110,0;101,5;98,3;99,8;61,9;92,9;91,3
;május;145,8;111,5;107,1;107,5;114,2;97,7;63,5;92,2;92,6
;június;173,0;108,3;102,4;96,2;118,3;97,8;71,5;96,2;96,1
;július;185,9;109,3;92,9;91,6;125,7;94,4;75,1;99,5;98,5
;augusztus;191,9;109,3;100,8;92,4;140,7;108,3;77,9;101,9;102,5
;szeptember;166,6;117,0;101,4;99,0;124,2;102,6;85,2;109,0;106,9
;október;144,5;119,2;102,3;105,1;126,8;95,3;90,1;115,5;110,7
;november;140,3;107,2;106,1;100,4;119,8;103,8;100,4;118,9;113,1
;december;146,7;129,6;96,0;97,4;129,8;102,6;87,5;107,9;107,7
2019.;január;122,7;113,4;97,1;99,3;120,3;103,8;90,9;112,4;109,5
;február;140,0;119,7;98,5;91,1;109,7;106,1;89,6;114,3;109,9
;március;147,1;125,6;116,9;96,4;115,3;108,9;81,1;118,0;113,0
;április;149,4;127,5;89,1;95,4;103,8;107,2;91,8;114,5;110,0
;május;139,3;117,7;88,7;85,5;97,9;105,6;87,4;117,1;109,0
;június;130,3;121,8;85,2;91,1;93,5;108,0;83,6;109,5;104,3
;július;135,1;118,8;111,2;88,9;89,8;109,9;78,6;106,0;101,9
;augusztus;132,7;112,2;107,5;86,7;83,0;99,6;77,7;95,7;93,8
;szeptember;116,2;119,4;90,0;86,8;103,3;106,6;81,4;93,4;94,9
;október;137,2;103,8;95,1;79,6;95,0;82,5;86,5;89,7;90,0
;november;117,5;107,7;97,5;73,7;104,5;86,0;85,9;91,1;91,8
;december;118,4;96,3;102,8;79,7;97,8;76,6;87,4;101,9;97,9
2020.;január;95,9;73,3;102,8;87,3;105,4;72,1;84,4;101,6;96,9
;február;83,0;66,2;93,1;84,9;113,1;69,6;80,4;101,6;96,0
;március;88,7;60,4;63,9;83,9;102,7;64,5;87,4;99,2;92,5
;április;73,8;58,4;83,4;82,7;112,2;58,6;83,9;102,0;94,8
;május;66,8;72,2;77,2;86,6;105,5;63,2;90,9;93,7;90,5
;június;62,2;73,2;85,2;85,9;108,0;71,3;95,8;105,6;99,1
;július;56,4;72,1;70,1;90,6;98,9;74,9;96,6;107,3;99,1
;augusztus;53,7;77,6;70,3;93,0;103,7;79,2;99,6;118,0;106,8
;szeptember;55,6;73,3;93,3;103,3;101,0;78,6;93,1;117,9;107,1
;október;60,3;87,4;86,1;118,2;106,8;75,7;95,5;117,2;107,1
;november;58,7;87,9;106,8;125,1;102,8;75,2;105,9;114,6;107,0
;december;61,7;80,7;117,5;120,9;104,9;76,2;102,5;96,2;96,4
2021.;január;61,2;94,1;88,5;115,0;104,4;68,3;97,3;100,7;98,8
;február;61,3;98,9;105,1;119,9;107,9;75,3;99,3;100,3;100,3
;március;50,1;98,1;100,0;115,2;111,8;85,2;95,6;100,0;100,2
;április;63,3;101,7;92,8;123,1;117,7;99,8;101,7;102,2;103,7
;május;72,0;78,3;111,2;127,0;119,2;102,5;103,2;115,0;112,0
;június;82,1;78,3;97,3;130,5;135,2;100,0;133,4;109,0;111,6
;július;78,0;78,4;105,1;127,7;152,5;102,8;137,0;108,0;113,0
;augusztus;81,7;79,7;89,8;124,8;153,1;104,8;144,9;105,2;111,7
;szeptember;89,2;85,2;67,6;144,0;145,3;161,1;155,1;105,2;114,7
;október;74,2;76,3;61,1;146,1;148,6;110,3;158,2;105,5;113,5
;november;74,1;71,4;56,5;140,3;164,7;112,3;145,5;105,7;114,0
;december;71,0;76,2;42,7;129,7;179,1;120,5;152,6;124,3;125,1
2022.;január;66,3;81,2;71,9;158,1;174,9;145,1;160,4;124,7;129,0
;február;65,9;77,6;80,1;158,5;168,5;139,2;164,7;126,6;130,4
;március;77,5;78,7;105,3;166,1;151,9;139,0;147,5;127,5;130,2
;április;71,4;60,7;120,1;156,6;153,7;142,5;165,4;130,2;132,4
;május;69,1;60,9;103,7;144,5;156,9;138,7;154,4;133,6;133,4
;június;63,5;56,8;92,8;139,5;137,0;127,3;120,3;127,2;123,5
;július;67,7;53,8;83,6;141,1;134,0;129,8;119,5;131,3;125,3
;augusztus;73,3;53,9;93,2;130,8;139,3;119,6;109,2;128,1;122,4
;szeptember;64,9;54,2;107,9;93,5;138,7;108,3;108,7;133,2;122,2
;október;65,9;60,7;119,5;82,9;141,3;97,9;103,3;135,8;121,6
;november;;;;;;;;;
;december;;;;;;;;;
