13.2.1.33. A kiemelt feldolgozóipari ágazatok összes új rendelése havonta [összehasonlító áron, az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;
Év;Idõszak Kód;Papír, papírtermék gyártása 17;Vegyi anyag, termék gyártása 20;Gyógyszergyártás 21;Fémalapanyag és fémfeldolgozási termék gyártása 24+25;Számítógép, elektronikai, optikai termék gyártása 26;Villamos berendezés gyártása 27;Gép, gépi berendezés gyártása 28;Jármûgyártás 29+30;Kiemelt ágazatok összesen
2018.;január;115,4;131,0;174,5;124,0;115,6;101,5;114,4;99,6;112,0
;február;105,2;100,1;97,1;111,4;118,0;105,6;114,8;98,9;105,2
;március;94,9;107,8;91,1;99,7;99,9;90,7;117,3;89,7;96,7
;április;108,7;104,4;81,9;110,4;100,6;106,9;116,2;112,9;107,4
;május;92,9;122,8;103,3;105,2;121,4;109,9;99,6;90,5;102,8
;június;109,2;110,3;68,0;106,4;109,6;117,6;112,9;123,2;112,4
;július;113,2;117,4;89,9;112,5;130,3;110,7;116,2;107,1;113,0
;augusztus;104,4;98,6;109,8;97,3;123,2;125,2;105,5;82,5;98,6
;szeptember;96,5;100,2;76,5;102,0;93,3;94,6;110,9;89,9;93,8
;október;98,4;103,4;98,8;110,4;113,9;96,1;86,5;109,0;105,1
;november;105,4;88,5;94,3;95,7;103,3;114,9;94,0;107,7;102,2
;december;106,6;112,8;73,2;96,7;123,7;100,2;75,9;101,9;101,7
2019.;január;95,8;84,6;91,7;96,8;103,8;134,3;106,1;113,1;105,6
;február;115,3;98,8;93,2;92,0;101,0;123,3;100,9;113,6;106,1
;március;104,2;106,0;136,3;100,4;114,3;137,5;84,6;127,7;116,1
;április;106,2;101,1;59,0;101,5;93,6;115,5;105,6;101,9;99,6
;május;97,3;82,6;91,9;91,4;98,8;116,0;99,9;116,0;103,3
;június;86,9;89,1;106,2;90,2;92,9;101,7;100,6;79,9;88,6
;július;98,9;89,8;156,3;97,0;100,1;119,3;102,2;121,9;110,6
;augusztus;95,7;92,3;102,4;91,1;97,2;96,3;97,8;93,6;95,0
;szeptember;97,2;110,0;102,9;100,8;142,5;139,8;122,8;132,7;126,8
;október;119,9;85,1;109,3;85,6;104,6;91,0;112,2;106,6;101,0
;november;97,0;100,1;119,4;91,5;117,4;132,1;106,6;103,7;107,3
;december;111,5;89,0;117,8;101,6;94,9;134,5;111,6;109,9;107,8
2020.;január;90,3;118,6;103,6;110,2;114,2;108,9;91,9;113,4;110,3
;február;91,8;93,0;99,9;96,4;121,7;122,9;93,6;107,1;106,6
;március;132,7;88,1;68,5;99,8;92,2;108,5;110,0;78,2;88,6
;április;92,5;76,1;205,7;72,6;79,8;74,7;73,4;22,8;57,4
;május;82,6;97,4;86,2;68,1;74,3;94,2;83,2;34,9;61,9
;június;105,3;99,6;100,1;99,5;114,1;128,4;118,4;123,8;115,8
;július;99,8;109,6;77,1;87,2;96,6;116,1;93,0;90,4;94,0
;augusztus;102,6;128,0;99,6;88,5;103,8;121,2;93,9;133,3;114,8
;szeptember;110,2;96,4;127,9;108,9;105,5;123,8;86,1;111,1;108,2
;október;98,1;127,5;93,4;108,9;108,8;102,7;102,6;97,9;103,7
;november;103,8;115,8;116,5;110,2;100,9;146,5;113,8;105,2;109,9
;december;96,6;109,5;122,1;99,1;98,7;133,4;91,0;86,7;92,7
2021.;január;95,7;81,6;76,7;80,6;109,7;161,7;89,3;85,9;93,9
;február;105,2;123,2;128,4;99,7;116,2;148,8;98,4;88,8;104,6
;március;86,2;118,1;93,0;105,0;117,4;169,4;100,3;124,8;119,5
;április;117,4;138,9;90,9;133,3;154,6;238,8;134,9;441,8;192,9
;május;117,8;106,3;132,9;135,9;124,8;173,1;123,8;238,2;153,3
;június;117,0;114,3;96,7;113,8;120,3;152,6;124,4;88,9;109,0
;július;100,9;116,8;106,9;112,0;111,5;149,5;117,8;98,6;110,3
;augusztus;105,5;115,7;76,2;119,0;92,4;129,5;129,1;55,0;87,6
;szeptember;99,7;104,5;76,7;113,6;84,2;157,3;120,6;75,6;93,0
;október;87,3;93,0;83,2;113,5;90,7;90,7;108,3;64,0;85,3
;november;98,0;100,7;86,1;104,2;114,5;112,7;94,8;84,5;97,8
;december;93,4;107,7;71,1;106,3;130,1;120,9;110,3;128,3;121,8
2022.;január;106,5;108,1;107,8;126,1;97,7;104,2;118,9;95,6;103,7
;február;105,0;95,8;96,2;110,2;104,0;112,8;117,4;102,4;104,7
;március;110,5;103,0;133,7;114,6;100,1;128,4;101,7;90,2;103,1
;április;99,1;90,7;108,4;100,9;115,1;122,8;152,4;107,9;110,7
;május;118,8;105,1;86,7;100,5;126,4;141,4;121,6;143,7;125,1
;június;95,3;91,2;80,4;88,6;98,9;125,9;84,2;96,4;96,8
;július;102,7;76,8;87,1;88,2;108,1;137,2;101,7;122,6;108,3
;augusztus;119,3;73,1;133,1;79,3;144,1;161,5;102,3;160,2;125,1
;szeptember;111,7;95,3;124,6;71,0;124,4;144,0;102,8;138,6;119,7
;október;107,5;80,6;121,1;81,8;119,2;155,8;103,8;149,7;118,9
;november;;;;;;;;;
;december;;;;;;;;;
