13.2.1.34. A kiemelt feldolgozóipari ágazatok új belföldi rendelése havonta [összehasonlító áron, elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;
Év;Idõszak Kód;Papír, papírtermék gyártása 17;Vegyi anyag, termék gyártása 20;Gyógyszergyártás 21;Fémalapanyag és fémfeldolgozási termék gyártása 24+25;Számítógép, elektronikai, optikai termék gyártása 26;Villamos berendezés gyártása 27;Gép, gépi berendezés gyártása 28;Jármûgyártás 29+30;Kiemelt ágazatok összesen
2018.;január;121,7;113,0;146,6;124,5;93,9;109,9;120,8;118,1;118,5
;február;106,6;87,9;119,2;115,0;87,3;112,7;105,4;121,3;108,2
;március;99,2;101,3;104,9;102,1;111,4;85,8;100,8;119,3;105,7
;április;109,8;99,5;74,2;111,5;62,8;96,3;131,4;118,2;104,9
;május;100,7;117,5;102,0;84,3;89,3;89,2;96,5;114,1;100,0
;június;104,6;109,3;78,2;117,2;82,0;113,4;111,5;121,3;111,3
;július;113,1;116,0;127,7;119,1;138,8;115,1;125,6;105,7;115,8
;augusztus;105,3;80,0;100,7;95,0;102,0;95,9;127,5;87,9;94,0
;szeptember;101,5;100,6;78,3;106,1;72,8;97,9;101,5;89,2;95,5
;október;100,7;109,5;100,4;110,9;111,4;101,6;119,2;116,4;110,9
;november;105,8;98,4;83,2;103,6;147,0;107,6;111,8;102,3;104,3
;december;105,5;92,5;92,1;113,6;95,8;127,9;88,1;110,6;103,7
2019.;január;96,8;102,1;85,4;113,3;89,0;115,2;109,9;129,5;111,3
;február;98,3;94,0;86,2;102,8;96,6;102,9;132,5;127,8;109,6
;március;97,0;111,1;84,1;95,9;68,4;136,4;117,4;124,5;107,8
;április;102,3;119,4;101,6;108,4;115,1;124,0;112,8;118,1;113,8
;május;97,1;102,2;87,6;108,9;119,9;118,1;117,2;113,4;108,5
;június;88,3;101,1;101,5;100,4;114,4;81,4;107,5;101,8;100,1
;július;93,6;108,1;77,6;104,7;113,3;109,1;131,1;151,7;118,1
;augusztus;91,0;116,9;93,3;96,0;84,9;94,4;114,2;117,0;104,6
;szeptember;99,3;95,8;84,4;103,0;124,3;116,3;127,6;144,1;114,6
;október;115,6;101,9;106,3;94,2;116,6;109,9;103,9;111,2;105,2
;november;97,7;91,5;90,7;99,8;76,0;110,2;115,4;121,5;104,5
;december;110,8;117,6;109,9;94,5;86,9;89,8;125,7;139,6;115,0
2020.;január;99,0;114,3;113,8;85,4;94,6;76,1;116,2;98,3;98,6
;február;107,8;114,8;108,8;106,9;116,8;96,3;93,4;100,1;104,3
;március;141,8;98,5;140,0;122,5;118,9;91,9;114,9;73,3;100,6
;április;107,9;75,4;109,8;85,4;63,7;88,8;87,9;19,9;65,4
;május;89,1;77,7;65,2;71,2;51,7;78,5;74,8;57,1;68,4
;június;107,5;84,4;104,8;93,6;104,1;100,4;91,9;91,0;93,2
;július;111,1;111,2;128,2;85,6;126,4;82,8;84,0;89,8;95,2
;augusztus;110,2;108,1;85,6;89,4;85,1;90,4;75,6;125,9;101,9
;szeptember;120,4;118,4;92,6;110,2;106,0;99,9;103,2;102,6;107,3
;október;98,8;100,1;111,3;107,5;83,7;85,3;93,8;107,5;102,1
;november;116,5;131,8;132,5;126,1;82,7;99,6;84,2;93,0;107,3
;december;95,6;95,9;102,5;105,6;103,9;86,9;89,1;84,3;93,1
2021.;január;101,1;86,5;92,8;104,3;195,8;138,3;93,3;73,1;93,6
;február;113,0;130,2;104,3;100,3;123,8;121,1;96,2;96,3;106,2
;március;88,2;113,4;93,9;105,5;111,9;114,4;87,7;130,0;110,3
;április;103,3;121,3;100,5;124,3;174,1;123,0;106,8;436,3;147,1
;május;109,9;127,2;163,6;134,3;199,2;146,1;134,6;159,0;140,6
;június;125,7;124,1;105,1;127,7;176,7;133,0;137,1;111,3;124,6
;július;97,1;107,9;81,2;127,9;174,9;133,1;112,8;105,0;114,8
;augusztus;102,0;112,2;121,2;128,1;135,4;132,0;111,5;75,9;106,4
;szeptember;91,0;88,4;117,6;103,2;158,6;123,5;91,1;75,8;94,8
;október;93,5;127,9;88,6;117,8;116,6;112,9;118,3;72,5;103,7
;november;91,8;120,6;108,8;104,3;129,5;98,3;127,6;85,2;104,5
;december;104,2;131,2;118,6;114,1;164,7;127,8;98,1;70,5;107,0
2022.;január;107,7;116,7;107,9;113,3;95,9;119,8;116,1;131,7;116,9
;február;117,3;97,6;79,0;112,7;151,6;119,1;129,3;89,8;105,1
;március;113,2;114,8;110,1;113,1;101,7;121,5;126,2;89,2;108,1
;április;107,2;122,6;94,1;104,2;96,7;131,8;140,7;105,0;111,7
;május;132,4;114,7;91,8;101,6;110,2;124,9;128,3;100,0;109,1
;június;101,8;114,2;98,9;87,4;112,5;101,6;113,0;101,1;101,1
;július;106,6;89,4;94,7;90,2;62,2;110,7;114,8;79,6;89,3
;augusztus;126,4;75,0;106,5;92,5;103,6;118,3;157,5;121,3;103,0
;szeptember;113,2;98,5;107,9;97,5;98,8;98,0;172,0;120,8;109,2
;október;110,6;56,1;119,9;89,1;82,0;134,1;116,8;116,3;90,3
;november;;;;;;;;;
;december;;;;;;;;;
