13.2.2.2. Az ipari termelés értéke és volumenindexe telephely szerint negyedévente;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Millió Ft;;;;;;;;;
Budapest;fõváros, régió;961 279;1 970 088;3 003 031;4 257 205;1 159 211;2 729 850;4 505 913;
Pest;megye, régió;1 049 757;2 222 469;3 440 506;4 727 978;1 423 354;3 107 160;5 013 481;
Közép-Magyarország;nagyrégió;2 011 036;4 192 557;6 443 537;8 985 183;2 582 566;5 837 010;9 519 394;
Fejér;megye;730 568;1 480 909;2 243 157;3 082 215;930 656;1 971 831;3 027 353;
Komárom-Esztergom;megye;741 189;1 441 221;2 110 539;2 842 866;886 436;1 991 429;3 221 027;
Veszprém;megye;376 804;740 653;1 089 920;1 518 635;464 354;938 927;1 468 203;
Közép-Dunántúl;régió;1 848 561;3 662 783;5 443 616;7 443 715;2 281 446;4 902 187;7 716 583;
Gyõr-Moson-Sopron;megye;1 238 707;2 512 330;3 507 563;4 655 090;1 235 440;2 705 463;4 154 274;
Vas;megye;362 454;719 606;1 053 267;1 382 453;376 413;800 347;1 242 815;
Zala;megye;194 318;389 917;577 810;764 352;195 938;414 338;644 062;
Nyugat-Dunántúl;régió;1 795 479;3 621 853;5 138 640;6 801 894;1 807 791;3 920 148;6 041 150;
Baranya;megye;153 946;314 627;485 401;669 424;200 591;427 329;661 215;
Somogy;megye;142 631;284 049;422 820;571 091;149 429;312 985;490 436;
Tolna;megye;180 269;364 392;554 027;755 528;212 909;463 613;722 611;
Dél-Dunántúl;régió;476 847;963 068;1 462 249;1 996 043;562 929;1 203 926;1 874 263;
Dunántúl;nagyrégió;4 120 887;8 247 705;12 044 505;16 241 652;4 652 167;10 026 261;15 631 995;
Borsod-Abaúj-Zemplén;megye;955 657;1 985 119;2 916 493;4 004 734;1 259 284;2 639 820;3 959 214;
Heves;megye;470 782;914 584;1 326 012;1 780 332;530 305;1 093 966;1 706 198;
Nógrád;megye;105 684;214 410;313 481;422 566;126 661;273 900;419 578;
Észak-Magyarország;régió;1 532 123;3 114 113;4 555 987;6 207 633;1 916 250;4 007 686;6 084 990;
Hajdú-Bihar;megye;272 438;557 142;842 323;1 163 514;334 618;707 321;1 107 343;
Jász-Nagykun-Szolnok;megye;601 273;1 188 445;1 784 696;2 561 508;796 513;1 509 762;2 227 854;
Szabolcs-Szatmár-Bereg;megye;275 720;566 805;906 614;1 259 307;346 551;745 548;1 195 928;
Észak-Alföld;régió;1 149 431;2 312 392;3 533 633;4 984 330;1 477 682;2 962 631;4 531 126;
Bács-Kiskun;megye;641 094;1 337 350;1 987 229;2 708 668;783 150;1 589 503;2 556 058;
Békés;megye;148 243;311 848;491 936;683 846;194 855;429 865;687 713;
Csongrád-Csanád;megye;235 196;474 948;722 845;992 555;292 007;627 561;966 601;
Dél-Alföld;régió;1 024 533;2 124 146;3 202 011;4 385 069;1 270 011;2 646 929;4 210 372;
Alföld és Észak;nagyrégió;3 706 086;7 550 651;11 291 630;15 577 031;4 663 943;9 617 246;14 826 488;
Ország összesen;ország;9 846 380;20 008 778;29 805 662;40 838 559;11 908 657;25 502 353;40 012 854;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;
Budapest;fõváros, régió;106,5;113,0;112,8;109,4;108,3;107,3;105,7;
Pest;megye, régió;110,1;126,6;124,8;120,0;114,7;111,8;112,8;
Közép-Magyarország;nagyrégió;108,3;119,8;118,9;114,7;111,7;109,7;109,3;
Fejér;megye;99,2;114,1;108,2;105,1;103,6;104,3;104,0;
Komárom-Esztergom;megye;97,5;111,9;106,4;103,2;107,4;118,0;126,3;
Veszprém;megye;110,1;126,9;118,5;116,5;97,3;97,7;101,7;
Közép-Dunántúl;régió;100,5;115,6;109,3;106,5;103,6;108,0;111,8;
Gyõr-Moson-Sopron;megye;103,7;132,0;115,0;107,4;94,4;97,5;104,2;
Vas;megye;89,0;102,0;96,5;90,9;92,6;95,2;98,6;
Zala;megye;108,0;113,2;109,5;105,0;86,8;86,4;88,1;
Nyugat-Dunántúl;régió;100,8;122,6;110,1;103,3;93,1;95,8;101,1;
Baranya;megye;101,9;110,4;110,2;110,6;113,0;112,8;110,9;
Somogy;megye;104,6;109,8;108,1;104,5;92,4;92,8;94,2;
Tolna;megye;98,2;107,7;105,4;105,0;95,8;98,8;97,1;
Dél-Dunántúl;régió;101,2;109,2;107,7;106,6;100,2;101,6;100,7;
Dunántúl;nagyrégió;100,7;117,7;109,5;105,2;98,9;102,1;106,0;
Borsod-Abaúj-Zemplén;megye;113,1;126,9;120,5;115,8;105,2;102,5;103,2;
Heves;megye;106,0;129,8;115,3;108,5;102,2;104,4;108,6;
Nógrád;megye;113,9;131,3;123,7;118,4;104,7;108,4;111,5;
Észak-Magyarország;régió;110,9;128,0;119,2;113,8;104,3;103,4;105,2;
Hajdú-Bihar;megye;108,7;114,7;114,5;116,5;107,1;105,4;105,5;
Jász-Nagykun-Szolnok;megye;113,9;120,7;111,2;113,0;114,2;105,9;102,0;
Szabolcs-Szatmár-Bereg;megye;101,7;110,6;110,4;111,7;107,6;107,9;105,4;
Észak-Alföld;régió;109,5;116,6;111,7;113,5;110,9;106,3;103,7;
Bács-Kiskun;megye;88,8;110,6;102,0;99,0;110,8;102,8;107,3;
Békés;megye;100,6;114,0;114,0;114,5;108,9;107,6;105,5;
Csongrád-Csanád;megye;108,1;114,2;112,2;110,7;116,9;107,5;102,9;
Dél-Alföld;régió;94,3;111,9;105,9;103,7;111,8;104,6;106,0;
Alföld és Észak;nagyrégió;105,4;119,6;112,8;110,6;108,3;104,6;105,0;
