13.2.2.6. A megyei székhelyû ipar exportértékesítésének értéke és volumenindexe negyedévente;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Export értékesítés, millió Ft;;;;;;;;;
Budapest;fõváros, régió;1 039 626;2 103 146;3 686 245;5 707 677;2 383 814;4 519 368;8 400 335;
Pest;megye, régió;656 516;1 301 892;1 937 108;2 661 109;805 427;1 736 222;2 848 982;
Közép-Magyarország;nagyrégió;1 696 142;3 405 038;5 623 353;8 368 786;3 189 241;6 255 590;11 249 317;
Fejér;megye;554 295;1 091 892;1 619 713;2 205 907;688 195;1 464 665;2 241 327;
Komárom-Esztergom;megye;586 547;1 118 907;1 622 704;2 137 718;597 261;1 313 354;2 150 073;
Veszprém;megye;300 149;580 141;829 725;1 116 069;347 324;720 303;1 127 829;
Közép-Dunántúl;régió;1 440 991;2 790 941;4 072 141;5 459 695;1 632 780;3 498 323;5 519 229;
Gyõr-Moson-Sopron;megye;1 055 438;2 121 776;2 916 165;3 897 342;1 019 128;2 229 451;3 427 114;
Vas;megye;213 064;425 499;624 138;821 062;232 158;497 352;764 789;
Zala;megye;30 017;60 132;88 515;121 731;31 841;68 101;106 020;
Nyugat-Dunántúl;régió;1 298 518;2 607 407;3 628 818;4 840 135;1 283 127;2 794 904;4 297 922;
Baranya;megye;47 282;98 639;157 021;214 701;58 150;128 181;208 369;
Somogy;megye;267 076;498 941;701 742;864 378;185 632;377 532;596 655;
Tolna;megye;41 060;84 906;125 833;166 792;46 799;98 284;156 733;
Dél-Dunántúl;régió;355 418;682 485;984 597;1 245 871;290 581;603 997;961 757;
Dunántúl;nagyrégió;3 094 928;6 080 833;8 685 556;11 545 700;3 206 488;6 897 223;10 778 907;
Borsod-Abaúj-Zemplén;megye;661 135;1 325 601;1 915 698;2 566 850;804 908;1 674 554;2 527 445;
Heves;megye;387 133;734 822;1 046 808;1 377 039;419 220;855 846;1 330 228;
Nógrád;megye;52 532;103 365;145 410;194 932;60 911;128 921;193 529;
Észak-Magyarország;régió;1 100 801;2 163 789;3 107 916;4 138 821;1 285 039;2 659 321;4 051 203;
Hajdú-Bihar;megye;158 672;315 621;454 818;622 123;192 080;396 384;609 513;
Jász-Nagykun-Szolnok;megye;396 207;772 137;1 140 750;1 665 520;505 894;929 001;1 346 413;
Szabolcs-Szatmár-Bereg;megye;139 935;280 055;439 202;618 120;174 640;355 391;563 534;
Észak-Alföld;régió;694 814;1 367 813;2 034 770;2 905 763;872 613;1 680 777;2 519 460;
Bács-Kiskun;megye;437 060;904 713;1 305 744;1 782 347;525 745;1 024 879;1 666 994;
Békés;megye;57 591;119 607;182 344;248 987;71 735;153 190;236 702;
Csongrád-Csanád;megye;86 384;169 143;252 790;346 826;96 368;208 837;321 819;
Dél-Alföld;régió;581 035;1 193 463;1 740 878;2 378 161;693 849;1 386 905;2 225 515;
Alföld és Észak;nagyrégió;2 376 649;4 725 064;6 883 564;9 422 745;2 851 501;5 727 002;8 796 178;
Ország összesen;ország;7 167 720;14 210 935;21 192 473;29 337 231;9 247 230;18 879 815;30 824 403;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;
Budapest;fõváros, régió;111,2;113,9;125,2;126,6;133,2;123,1;119,0;
Pest;megye, régió;119,2;133,4;125,9;117,2;111,2;116,3;122,8;
Közép-Magyarország;nagyrégió;114,2;120,6;125,5;123,4;126,9;121,1;120,0;
Fejér;megye;100,8;114,8;104,6;101,0;103,7;108,2;111,0;
Komárom-Esztergom;megye;96,3;110,1;105,9;102,1;93,5;102,7;112,3;
Veszprém;megye;113,6;135,1;122,0;116,7;96,5;99,8;107,2;
Közép-Dunántúl;régió;101,2;116,5;108,3;104,3;98,3;104,3;110,7;
Gyõr-Moson-Sopron;megye;102,7;130,3;112,0;104,5;92,4;96,0;104,5;
Vas;megye;82,5;97,8;91,4;85,6;98,1;101,1;103,5;
Zala;megye;99,9;107,1;104,8;104,7;95,0;96,3;98,9;
Nyugat-Dunántúl;régió;98,7;123,0;107,7;100,7;93,4;96,9;104,2;
Baranya;megye;89,6;103,8;103,8;105,7;109,4;111,5;111,7;
Somogy;megye;109,1;106,1;100,9;90,7;64,1;67,2;73,4;
Tolna;megye;95,2;118,5;115,1;111,4;98,1;96,6;101,6;
Dél-Dunántúl;régió;104,3;107,1;103,0;95,4;74,5;77,6;83,4;
Dunántúl;nagyrégió;100,5;118,0;107,4;101,8;93,6;98,3;105,0;
Borsod-Abaúj-Zemplén;megye;116,8;127,2;118,8;109,4;98,2;99,2;102,5;
Heves;megye;115,2;140,6;120,9;111,0;100,5;104,2;110,1;
Nógrád;megye;114,3;142,1;126,3;115,6;103,8;107,9;112,5;
Észak-Magyarország;régió;116,1;132,1;119,9;110,2;99,2;101,1;105,4;
Hajdú-Bihar;megye;103,8;107,3;108,2;109,0;110,8;110,4;113,7;
Jász-Nagykun-Szolnok;megye;119,9;123,5;109,6;112,8;117,2;108,1;104,5;
Szabolcs-Szatmár-Bereg;megye;106,6;115,2;113,4;113,1;110,4;107,4;105,5;
Észak-Alföld;régió;113,1;117,7;110,1;112,0;114,3;108,5;106,8;
Bács-Kiskun;megye;86,6;112,4;99,9;96,8;114,9;102,8;111,5;
Békés;megye;101,3;124,8;120,7;117,4;106,8;102,8;99,7;
Csongrád-Csanád;megye;100,6;106,3;103,8;104,5;100,5;106,7;106,3;
Dél-Alföld;régió;89,7;112,6;102,3;99,7;111,8;103,3;109,3;
Alföld és Észak;nagyrégió;107,5;122,4;112,0;107,9;106,5;103,7;106,7;
Ország összesen;ország;105,8;120,1;113,2;109,2;107,3;106,7;110,6;
