13.2.3.1. Az ipari termelés volumenindexe havonta [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Idõszak;Idõszak;Ausztria;Belgium;Bulgária;Ciprus;Csehország;Dánia;Észtország;Finnország;Franciaország;Görögország;Hollandia;Horvátország;Írország;Lengyelország;Lettország;Litvánia;Luxemburg;Magyarország;Málta;Németország;Olaszország;Portugália;Románia;Spanyolország;Svédország;Szlovákia;Szlovénia;EU27_2020;Egyesült Királyság;Egyesült Államok;Japán
2018.;január;107,0;105,2;104,2;105,7;105,7;104,8;107,2;104,5;99,4;99,7;104,5;99,6;103,6;106,3;104,8;108,0;107,4;107,2;102,7;104,9;104,7;102,1;108,2;100,1;106,1;101,4;114,5;103,8;103,3;102,6;100,6
;február;106,6;99,4;98,3;105,0;102,9;100,2;101,4;105,0;103,3;99,5;100,6;103,3;91,1;107,5;109,0;103,7;100,0;104,3;102,0;102,4;103,1;101,6;106,0;102,8;104,7;102,3;107,4;102,5;104,2;103,3;102,4
;március;105,1;103,6;101,2;106,2;104,2;99,3;102,7;108,7;102,6;100,9;102,2;98,7;81,6;104,0;100,5;112,1;98,2;103,0;101,5;104,3;103,7;102,8;103,6;105,5;105,3;100,0;107,1;103,0;105,2;103,2;103,3
;április;105,2;101,8;98,5;108,3;99,8;101,5;103,4;101,5;102,0;103,3;101,5;98,6;93,3;106,9;101,1;104,1;97,0;102,9;97,3;101,8;102,1;104,7;106,5;101,9;100,7;106,3;106,9;101,8;104,2;103,4;100,5
;május;108,6;103,6;100,0;111,8;101,0;97,9;105,2;103,5;99,5;101,2;102,0;99,6;105,6;107,6;99,1;107,4;98,6;103,1;102,4;103,1;102,3;98,5;103,4;101,5;104,1;105,2;106,8;102,7;103,7;102,3;102,3
;június;105,2;98,8;103,5;112,0;106,4;98,7;102,9;102,7;102,2;101,4;101,1;103,2;107,7;106,8;100,4;106,4;97,7;103,1;102,6;102,9;101,4;99,9;106,2;100,5;103,6;106,2;107,4;102,7;105,7;102,9;100,6
;július;102,6;97,7;100,4;104,3;107,1;104,2;105,5;100,3;101,9;103,8;99,3;98,9;89,4;107,7;103,5;106,5;99,9;103,5;104,2;100,5;99,0;99,7;105,3;100,7;99,0;104,8;104,9;100,6;103,8;103,3;101,3
;augusztus;101,8;102,1;101,0;105,5;102,0;97,8;106,9;102,6;101,9;99,9;101,1;98,9;107,8;104,9;106,8;104,2;97,2;104,5;98,7;99,6;99,2;96,1;104,5;101,1;101,4;107,3;105,3;101,1;104,5;104,5;99,8
;szeptember;103,2;98,8;99,2;108,6;102,4;104,7;104,1;106,1;99,8;103,5;100,1;97,5;106,1;105,0;98,7;101,0;96,4;102,1;93,0;99,5;101,8;100,0;103,9;99,4;100,5;105,3;101,2;101,0;102,8;104,4;100,7
;október;105,9;99,8;100,3;110,2;103,2;104,0;103,1;102,2;100,2;100,1;99,9;97,4;98,8;104,9;98,7;109,8;102,2;103,0;102,6;100,6;101,0;100,5;100,5;101,1;103,4;106,6;103,4;101,1;101,6;103,0;102,0
;november;103,3;103,7;101,2;107,0;101,8;102,9;108,7;101,0;98,4;105,4;99,5;99,2;82,6;105,2;99,7;103,2;95,9;103,5;111,5;95,7;97,5;97,0;103,9;96,6;100,9;102,6;102,3;97,7;100,7;102,7;100,1
