14.1.1.8. Egy fõre jutó bruttó munkajövedelem a referenciaszemély korcsoportja és iskolai végzettsége szerint [forint/fõ/év];;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy niincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú
2010;;;;;;;;;
Munkajövedelem összesen ;754 649;639 967;926 747;773 595;88 019;251 566;701 187;991 052;1 582 743
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;650 532;575 715;806 544;644 280;66 393;227 436;607 081;855 176;1 320 525
vállalkozásból származó jövedelem;103 596;64 251;119 618;128 454;21 626;24 130;94 000;134 494;260 895
2015;;;;;;;;;
Munkajövedelem összesen ;994 102;815 670;1 216 358;1 049 881;129 403;397 364;862 803;1 031 020;1 614 848
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;880 487;781 481;1 093 111;897 097;81 511;376 177;785 210;880 518;1 408 166
vállalkozásból származó jövedelem;112 262;34 189;121 231;152 273;47 892;21 112;77 259;150 025;202 130
2016;;;;;;;;;
Munkajövedelem összesen ;1 053 843;926 199;1 281 417;1 159 212;138 289;484 820;912 843;1 065 000;1 680 594
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;943 023;906 476;1 161 205;1 011 153;83 612;468 868;813 365;957 061;1 473 629
vállalkozásból származó jövedelem;110 328;19 722;119 567;147 551;54 677;15 953;99 104;107 687;205 607
2017;;;;;;;;;
Munkajövedelem összesen ;1 184 034;1 208 347;1 410 808;1 348 371;231 766;538 193;1 045 621;1 193 765;1 795 239
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;1 058 076;1 133 893;1 285 625;1 172 285;140 522;504 056;967 617;1 067 280;1 549 038
vállalkozásból származó jövedelem;124 582;74 454;123 176;175 552;91 030;34 136;77 546;125 342;242 486
2018;;;;;;;;;
Munkajövedelem összesen ;1 336 673;1 464 091;1 617 553;1 532 423;194 334;640 699;1 236 198;1 307 328;1 989 779
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;1 190 521;1 331 107;1 478 125;1 283 782;127 809;603 661;1 150 427;1 131 992;1 733 763
vállalkozásból származó jövedelem;144 770;132 260;137 449;247 897;66 300;36 965;85 472;174 087;252 233
2019;;;;;;;;;
Munkajövedelem összesen ;1 494 557;1 478 887;1 779 448;1 731 579;294 272;642 778;1 201 210;1 537 149;2 327 940
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;1 323 950;1 403 630;1 602 326;1 511 912;179 182;594 123;1 115 106;1 372 086;1 977 085
vállalkozásból származó jövedelem;168 909;74 394;174 880;218 195;114 850;48 468;85 588;163 523;346 663
2020;;;;;;;;;
Munkajövedelem összesen ;1 647 002;1 534 024;1 966 217;1 929 019;287 496;767 364;1 449 266;1 682 458;2 355 893
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;1 453 024;1 471 267;1 744 756;1 711 884;186 871;715 691;1 291 220;1 479 627;2 046 671
vállalkozásból származó jövedelem;192 194;62 756;219 112;215 429;100 408;51 531;157 636;201 290;304 651
2021;;;;;;;;;
Munkajövedelem összesen ;1 792 937;1 869 082;2 117 228;2 150 062;409 276;1 006 876;1 507 288;1 771 376;2 583 906
Ebbõl:;;;;;;;;;
munkaviszonyból származó jövedelem ;1 585 518;1 735 686;1 906 088;1 872 894;263 507;947 339;1 345 291;1 531 652;2 281 123
vállalkozásból származó jövedelem;205 465;133 396;208 697;274 999;145 267;59 447;161 329;238 524;297 446
