14.1.1.9. Egy fõre jutó bruttó társadalmi és egyéb jövedelmek a referenciaszemély korcsoportja és iskolai végzettsége szerint [forint/fõ/év];;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy niincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú
2010;;;;;;;;;
Társadalmi jövedelem összesen;376 116;170 126;193 044;505 882;981 052;464 760;323 820;368 108;449 714
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;57 801;42 099;82 803;16 925;7 936;58 937;57 674;53 157;70 263
munkanélküli-ellátások;15 128;32 595;16 737;14 846;6 125;23 925;16 362;9 615;3 440
öregségi ellátások;291 008;70 028;80 286;459 613;963 674;368 089;239 179;292 584;361 533
egyéb szociális ellátások;12 179;25 405;13 218;14 497;3 317;13 810;10 605;12 753;14 478
Egyéb jövedelem;25 719;121 968;23 561;24 166;18 789;12 815;19 156;43 136;38 424
2015;;;;;;;;;
Társadalmi jövedelem összesen;417 939;143 085;183 426;473 533;1 281 231;464 108;380 601;429 347;427 186
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;60 832;53 881;87 398;18 935;7 826;70 598;51 528;55 138;71 574
munkanélküli-ellátások;8 174;11 356;7 291;16 546;1 883;19 397;8 577;4 510;1 974
öregségi ellátások;340 084;54 122;80 403;423 355;1 269 494;362 113;311 916;360 936;346 755
egyéb szociális ellátások;8 850;23 726;8 334;14 696;2 029;12 000;8 581;8 763;6 883
Egyéb jövedelem;28 022;145 437;26 646;21 773;20 927;11 509;25 992;34 671;38 187
2016;;;;;;;;;
Társadalmi jövedelem összesen;426 016;159 041;183 062;451 145;1 334 045;485 566;391 022;418 792;428 270
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;61 511;51 592;87 343;22 528;7 624;76 524;54 283;56 349;64 589
munkanélküli-ellátások;7 799;8 025;7 566;14 252;2 178;21 512;8 092;4 367;620
öregségi ellátások;347 863;78 521;78 485;404 939;1 321 027;375 092;320 771;350 072;354 926
egyéb szociális ellátások;8 843;20 903;9 668;9 426;3 216;12 437;7 876;8 004;8 135
Egyéb jövedelem;24 190;92 636;22 603;23 071;19 590;12 325;15 622;36 996;27 366
2017;;;;;;;;;
Társadalmi jövedelem összesen;433 227;177 359;189 765;431 392;1 334 601;474 588;389 088;437 081;448 773
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;62 999;52 642;91 445;18 454;7 183;76 226;55 436;61 531;63 969
munkanélküli-ellátások;7 910;5 464;7 769;16 182;1 101;19 752;6 350;6 713;2 687
öregségi ellátások;353 209;97 250;81 819;386 622;1 319 260;366 257;318 438;359 536;375 319
egyéb szociális ellátások;9 108;22 004;8 733;10 133;7 057;12 353;8 863;9 301;6 799
Egyéb jövedelem;26 252;174 891;22 668;14 867;21 759;13 694;14 186;43 590;26 794
2018;;;;;;;;;
Társadalmi jövedelem összesen;448 512;152 600;199 890;433 215;1 336 910;493 327;383 839;454 348;485 831
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;63 540;47 795;93 139;28 708;5 665;69 115;57 075;60 597;71 262
munkanélküli-ellátások;8 203;8 422;7 353;15 854;3 141;20 391;7 181;5 183;4 853
öregségi ellátások;365 519;75 546;89 320;377 015;1 315 418;389 041;308 043;377 261;401 395
egyéb szociális ellátások;11 249;20 836;10 078;11 638;12 686;14 780;11 540;11 307;8 320
Egyéb jövedelem;30 154;53 119;32 172;29 524;19 442;13 194;20 578;37 006;44 328
2019;;;;;;;;;
Társadalmi jövedelem összesen;478 897;159 758;216 403;483 679;1 414 977;510 615;409 970;499 783;505 586
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;68 413;58 789;101 890;19 557;6 901;75 255;56 227;57 250;91 318
munkanélküli-ellátások;8 852;9 761;7 196;20 213;2 706;18 710;9 330;6 963;4 153
öregségi ellátások;389 606;79 479;95 596;430 755;1 393 419;399 731;332 036;423 458;401 858
egyéb szociális ellátások;12 025;11 730;11 720;13 154;11 952;16 919;12 376;12 112;8 257
Egyéb jövedelem;39 628;87 761;31 887;59 494;37 191;16 558;16 119;34 607;86 958
2020;;;;;;;;;
Társadalmi jövedelem összesen;548 292;223 115;252 164;518 741;1 669 041;589 055;501 668;569 422;548 875
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;89 375;98 529;127 647;31 984;8 811;123 755;82 188;75 291;93 079
munkanélküli-ellátások;9 693;7 718;8 420;21 350;3 421;13 249;11 210;9 184;6 483
öregségi ellátások;427 408;87 371;94 835;431 298;1 646 174;432 831;382 244;462 729;430 972
egyéb szociális ellátások;21 816;29 497;21 262;34 108;10 636;19 219;26 026;22 218;18 340
Egyéb jövedelem;43 174;81 550;43 964;20 990;54 354;32 414;18 466;41 928;78 099
2021;;;;;;;;;
Társadalmi jövedelem összesen;586 264;256 060;262 428;527 532;1 745 947;569 367;504 103;634 148;624 051
Ebbõl:;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;93 400;126 354;132 643;36 609;10 810;114 398;94 481;90 923;82 931
munkanélküli-ellátások;10 045;12 813;7 932;24 140;3 933;17 661;8 155;10 071;7 519
öregségi ellátások;458 720;81 680;95 378;439 801;1 719 253;420 168;378 544;507 910;505 571
egyéb szociális ellátások;24 098;35 213;26 476;26 981;11 951;17 139;22 922;25 245;28 030
Egyéb jövedelem;49 068;56 933;47 332;52 061;50 733;11 668;16 582;43 447;112 275
