14.1.1.13. A gyermekes, a gyermek nélküli, valamint az egyszemélyes háztartások egy fõre jutó munkajövedelme [forint/fõ/év];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
Munkajövedelem összesen ;592 232;962 428;813 748;420 633;652 734;729 952;658 447;1 181 203;191 615;954 578;781 696;658 447;1 068 039;438 038;1 198 820;42 715
Ebbõl:;;;;;;;;;;;;;;;;
munkaviszonyból származó jövedelem ;528 256;826 093;692 461;349 379;582 091;630 979;539 223;1 040 834;156 120;827 371;671 946;539 223;838 589;378 129;984 004;32 415
vállalkozásból származó jövedelem;63 976;134 975;120 830;71 151;70 030;98 358;118 828;139 613;35 233;126 986;109 332;118 828;228 712;59 698;214 074;10 299
2015;;;;;;;;;;;;;;;;
Munkajövedelem összesen ;585 143;1 249 706;1 043 409;606 311;787 645;917 735;902 063;1 586 005;317 042;1 304 576;1 066 514;902 063;1 385 486;561 276;1 645 008;21 236
Ebbõl:;;;;;;;;;;;;;;;;
munkaviszonyból származó jövedelem ;557 673;1 100 750;923 289;555 899;727 907;825 425;806 179;1 411 564;222 143;1 139 872;932 698;806 179;1 244 028;497 521;1 473 266;15 290
vállalkozásból származó jövedelem;27 242;148 015;119 643;39 338;59 121;90 089;94 858;173 719;94 899;164 506;133 287;94 858;140 038;63 008;169 851;5 946
2016;;;;;;;;;;;;;;;;
Munkajövedelem összesen ;633 074;1 323 927;1 103 201;652 240;865 028;982 614;995 252;1 653 441;384 472;1 319 634;1 121 713;995 252;1 515 489;645 803;1 830 789;42 138
Ebbõl:;;;;;;;;;;;;;;;;
munkaviszonyból származó jövedelem ;563 395;1 193 910;954 527;599 659;816 458;885 365;872 533;1 481 934;276 798;1 234 291;997 961;872 533;1 292 717;590 291;1 616 574;23 790
vállalkozásból származó jövedelem;69 680;128 821;148 021;52 432;48 309;96 706;122 048;170 953;107 674;84 908;123 308;122 048;221 987;54 917;212 955;18 348
2017;;;;;;;;;;;;;;;;
Munkajövedelem összesen ;738 567;1 488 669;1 196 013;851 830;1 074 068;1 138 631;1 090 317;1 817 553;504 875;1 489 667;1 227 927;1 090 317;1 496 676;811 359;1 985 706;114 710
Ebbõl:;;;;;;;;;;;;;;;;
munkaviszonyból származó jövedelem ;683 628;1 390 699;1 086 446;784 078;984 975;1 048 604;930 101;1 610 539;335 910;1 385 074;1 067 232;930 101;1 301 981;674 811;1 707 197;83 382
vállalkozásból származó jövedelem;54 939;95 927;106 800;65 335;88 499;88 274;158 929;205 839;168 418;103 614;159 683;158 929;191 744;136 403;276 040;31 327
2018;;;;;;;;;;;;;;;;
Munkajövedelem összesen ;1 052 054;1 603 535;1 413 998;960 672;1 203 904;1 298 887;1 195 887;2 127 716;498 996;1 651 644;1 373 112;1 195 887;1 831 345;733 253;2 195 299;70 992
Ebbõl:;;;;;;;;;;;;;;;;
munkaviszonyból származó jövedelem ;988 366;1 481 671;1 269 643;826 231;1 106 341;1 180 449;1 040 817;1 887 139;380 317;1 476 405;1 200 233;1 040 817;1 566 485;658 113;1 924 328;46 374
