14.1.1.14. A gyermekes, a gyermek nélküli, valamint az egyszemélyes háztartások egy fõre jutó társadalmi és egyéb jövedelme [forint/fõ/év];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;237 151;203 270;173 726;202 695;237 434;207 325;741 020;331 529;960 655;310 839;560 966;741 020;548 854;844 428;403 570;1 125 529
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;120 290;104 012;120 408;163 744;69 634;108 747;546;1 835;1 858;3 691;2 008;546;46;814;1 024;– 
munkanélküli-ellátások;9 480;16 992;12 855;12 435;18 768;15 063;11 803;20 275;5 798;20 603;15 200;11 803;20 973;6 869;22 093;78
öregségi ellátások;81 033;67 856;27 859;12 219;133 316;68 233;718 282;296 907;950 485;278 201;534 977;718 282;515 853;827 213;363 354;1 122 707
egyéb szociális ellátások;26 349;14 410;12 603;14 297;15 715;15 282;10 389;12 511;2 513;8 344;8 781;10 389;11 981;9 533;17 098;2 744
Egyéb jövedelem összesen;88 334;22 676;17 307;11 231;9 853;21 754;58 667;23 227;22 032;15 724;30 061;58 667;65 314;55 090;89 493;23 541
2015;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;225 882;163 884;163 652;219 277;236 228;196 460;863 710;264 836;1 177 335;306 962;627 949;863 710;587 130;1 058 684;354 989;1 466 843
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;125 361;91 579;141 442;187 289;89 810;122 010;1 266;2 370;2 109;5 585;2 822;1 266;1 595;1 034;2 334;– 
munkanélküli-ellátások;12 521;6 012;2 709;7 840;8 315;6 619;11 017;15 373;2 244;8 053;9 647;11 017;18 546;5 710;19 674;753
öregségi ellátások;69 509;55 354;13 448;11 511;128 872;57 640;842 211;238 614;1 170 821;284 205;607 901;842 211;555 233;1 044 514;317 090;1 464 788
egyéb szociális ellátások;18 491;10 939;6 053;12 636;9 231;10 190;9 216;8 479;2 161;9 119;7 579;9 216;11 756;7 426;15 891;1 302
Egyéb jövedelem összesen;69 010;20 047;19 955;41 322;13 405;26 171;42 077;37 940;20 031;15 353;29 776;42 077;46 089;39 249;58 109;23 070
2016;;;;;;;;;;;;;;;;
Társadalmi jövedelem összesen;208 862;171 387;170 363;216 718;219 700;193 658;910 734;241 549;1 187 834;318 465;647 415;910 734;648 742;1 086 717;351 739;1 548 392
Ebbõl:;;;;;;;;;;;;;;;;
családdal, gyermekkel kapcsolatos ellátások;117 252;104 934;141 844;179 103;84 334;122 307;2 332;3 732;2 123;6 173;3 582;2 332;1 112;3 151;2 977;1 597
munkanélküli-ellátások;16 748;4 781;4 809;4 797;6 879;6 367;12 249;12 097;2 585;7 981;9 164;12 249;19 497;7 380;22 480;577
öregségi ellátások;61 044;50 928;16 467;20 922;117 162;54 616;886 118;217 121;1 179 305;298 284;627 279;886 118;614 304;1 068 699;309 592;1 543 774
egyéb szociális ellátások;13 818;10 745;7 244;11 897;11 325;10 368;10 035;8 599;3 820;6 028;7 390;10 035;13 829;7 487;16 690;2 444
Egyéb jövedelem összesen;69 764;20 123;14 497;12 380;12 060;19 628;45 793;32 168;22 809;9 044;28 536;45 793;51 233;42 139;65 415;23 411
