14.1.1.15. A gyermekes, a gyermek nélküli, valamint az egyszemélyes háztartások egy fõre jutó bruttó és nettó jövedelme  [forint/fõ/év];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
Bruttó jövedelem;917 718;1 188 374;1 004 781;634 560;900 021;959 031;1 458 133;1 535 959;1 174 302;1 281 142;1 372 723;1 458 133;1 682 206;1 337 556;1 691 884;1 191 786
Nettó jövedelem;750 593;915 670;775 263;516 266;732 371;757 416;1 256 626;1 222 650;1 102 099;1 036 012;1 156 245;1 256 626;1 356 013;1 203 144;1 352 321;1 147 586
2015;;;;;;;;;;;;;;;;
Bruttó jövedelem;880 036;1 433 638;1 227 015;866 910;1 037 279;1 140 366;1 807 850;1 888 782;1 514 407;1 626 891;1 724 239;1 807 850;2 018 705;1 659 210;2 058 106;1 511 150
Nettó jövedelem;733 178;1 089 445;938 920;736 156;827 728;896 172;1 503 825;1 415 236;1 367 537;1 260 070;1 391 275;1 503 825;1 598 016;1 437 425;1 585 975;1 406 429
2016;;;;;;;;;;;;;;;;
Bruttó jövedelem;911 700;1 515 438;1 288 062;881 338;1 096 789;1 195 900;1 951 780;1 927 159;1 595 114;1 647 144;1 797 664;1 951 780;2 215 464;1 774 659;2 247 943;1 613 940
Nettó jövedelem;764 014;1 162 129;1 003 738;726 229;858 468;939 301;1 600 690;1 458 084;1 416 420;1 277 882;1 446 635;1 600 690;1 738 628;1 508 036;1 708 800;1 477 367
2017;;;;;;;;;;;;;;;;
Bruttó jövedelem;1 044 981;1 686 748;1 394 886;1 085 165;1 295 731;1 358 385;2 046 018;2 109 395;1 659 777;1 828 982;1 919 157;2 046 018;2 248 931;1 906 722;2 368 761;1 694 360
Nettó jövedelem;829 274;1 258 180;1 066 793;855 446;1 008 809;1 042 490;1 671 134;1 604 350;1 490 280;1 406 787;1 549 101;1 671 134;1 753 555;1 614 553;1 784 776;1 547 310
2018;;;;;;;;;;;;;;;;
Bruttó jövedelem;1 390 220;1 825 345;1 605 794;1 226 169;1 435 284;1 533 129;2 190 766;2 382 649;1 717 593;2 018 675;2 087 482;2 190 766;2 522 312;1 949 389;2 601 902;1 728 010
Nettó jövedelem;1 136 858;1 403 712;1 176 900;970 860;1 090 428;1 171 300;1 794 051;1 786 785;1 550 289;1 573 698;1 683 366;1 794 051;1 957 018;1 675 406;1 937 559;1 632 526
2019;;;;;;;;;;;;;;;;
Bruttó jövedelem;1 428 442;2 075 525;1 818 008;1 180 897;1 722 790;1 744 628;2 293 434;2 565 513;1 971 946;2 195 892;2 262 679;2 293 434;2 575 426;2 109 947;2 806 076;1 754 040
Nettó jövedelem;1 094 450;1 542 200;1 442 171;1 006 716;1 297 485;1 346 355;1 970 940;1 911 709;1 859 908;1 703 140;1 865 745;1 970 940;2 000 199;1 951 902;2 190 156;1 740 285
2020;;;;;;;;;;;;;;;;
Bruttó jövedelem;1 784 583;2 187 582;1 860 047;1 525 686;1 700 451;1 846 555;2 664 048;3 113 932;2 095 421;2 552 911;2 623 734;2 664 048;3 020 724;2 420 072;3 207 187;2 076 102
Nettó jövedelem;1 334 126;1 647 182;1 476 857;1 206 953;1 273 273;1 420 126;2 206 120;2 357 554;1 887 234;1 919 609;2 106 606;2 206 120;2 359 149;2 101 444;2 442 196;1 950 568
2021;;;;;;;;;;;;;;;;
Bruttó jövedelem;1 941 157;2 328 012;2 046 115;1 749 757;1 811 247;2 003 201;2 942 063;3 144 914;2 227 252;2 718 111;2 782 508;2 942 063;3 580 236;2 530 703;3 459 728;2 315 745
Nettó jövedelem;1 498 899;1 791 403;1 567 706;1 349 207;1 426 966;1 548 663;2 400 799;2 333 307;2 061 171;2 105 496;2 231 889;2 400 799;2 742 433;2 180 585;2 578 874;2 185 347
