14.1.1.16. A különbözõ megélhetési szintekhez szükségesnek tartott nettó jövedelemösszeg a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [ezer forint/fõ/hó];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
Nagyon szûkös;54,9;55,8;46,7;35,9;42,1;46,7;92,8;73,7;68,6;56,6;72,9;92,8;96,0;91,1;98,4;86,4
Szûkös;72,8;72,7;61,0;46,8;55,0;61,1;122,3;95,9;89,2;73,4;95,3;122,3;127,7;119,4;131,1;112,2
Átlagos;99,5;96,0;80,9;61,7;72,0;80,8;164,7;128,5;117,0;96,5;126,8;164,7;173,9;159,7;178,3;149,2
Jó;136,4;128,0;107,3;80,3;95,0;107,4;226,4;173,9;155,4;126,5;170,8;226,4;243,1;217,3;249,3;200,3
Nagyon jó;190,3;173,7;146,1;108,3;127,2;145,7;314,2;240,8;210,9;168,5;234,0;314,2;346,5;296,9;353,6;269,4
2015;;;;;;;;;;;;;;;;
Nagyon szûkös;51,6;59,2;49,0;39,2;43,9;48,9;101,0;75,2;73,4;59,7;78,2;101,0;103,4;99,3;104,9;96,5
Szûkös;69,2;77,9;64,7;51,3;57,6;64,4;136,5;100,6;97,1;79,2;104,6;136,5;140,6;133,6;143,2;128,5
Átlagos;93,4;103,5;86,0;67,9;77,1;85,8;184,6;137,2;129,0;105,3;140,8;184,6;191,3;179,8;195,3;171,8
