14.1.1.23. A háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, jövedelmi tizedek (decilisek) szerint;;;;;;;;;;;
Megnevezés;Összesen;1. jövedelmi tized;2. jövedelmi tized;3. jövedelmi tized;4. jövedelmi tized;5. jövedelmi tized;6. jövedelmi tized;7. jövedelmi tized;8. jövedelmi tized;9. jövedelmi tized;10. jövedelmi tized
2010;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 004 823;246 757;294 012;316 857;345 515;390 813;441 663;462 256;476 382;487 783;542 785
Adatszolgáltató háztartások száma;9 936;703;811;829;847;959;1 067;1 078;1 118;1 169;1 355
Háztartások átlagos taglétszáma;2,4;4,0;3,3;3,1;2,8;2,5;2,2;2,1;2,1;2,0;1,8
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 288 448;126 568;248 264;284 699;317 984;323 940;318 638;324 443;367 863;430 785;545 264
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;406 715;11 973;26 649;33 434;45 437;44 601;38 523;44 261;43 530;48 419;69 888
Aktív keresõk összesen;3 695 163;138 541;274 913;318 133;363 421;368 541;357 161;368 704;411 393;479 204;615 152
Ebbõl:;;;;;;;;;;;
férfiak;1 978 696;91 131;158 816;177 063;203 866;190 054;187 975;191 331;214 272;245 720;318 468
nõk;1 716 467;47 410;116 097;141 070;159 555;178 487;169 186;177 373;197 121;233 484;296 684
Nyugdíjasok összesen;2 243 611;26 152;66 659;112 815;177 529;252 397;345 543;362 902;348 363;326 552;224 699
Ebbõl: ;;;;;;;;;;;
férfiak;856 003;12 531;29 985;40 876;71 952;97 161;121 945;129 229;126 014;131 779;94 531
nõk;1 387 608;13 621;36 674;71 939;105 577;155 236;223 598;233 673;222 349;194 773;130 168
Munkanélküliek összesen;650 176;180 372;128 497;99 195;64 719;54 541;31 075;28 757;23 890;25 627;13 503
Ebbõl:  ;;;;;;;;;;;
férfiak;366 300;103 974;70 353;58 062;38 558;28 779;19 521;14 084;13 894;13 034;6 041
nõk;283 876;76 398;58 144;41 133;26 161;25 762;11 554;14 673;9 996;12 593;7 462
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;406 540;35 208;54 615;55 264;57 913;53 094;48 898;36 928;29 023;19 261;16 336
Tanuló felnõttek;37 161;1 604;3 029;2 634;1 771;3 742;3 236;3 616;3 757;7 358;6 414
Egyéb Inaktív felnõttek;561 269;148 621;96 842;84 274;61 055;41 746;32 129;34 165;23 270;21 757;17 410
Nem tanuló gyermekek;686 527;172 377;121 604;89 277;70 920;58 053;39 330;39 349;39 230;34 233;22 154
Tanulók, hallgatók;1 524 629;277 409;235 016;218 523;182 429;149 329;122 863;105 635;101 673;67 153;64 599
Összesen;9 805 076;980 284;981 175;980 115;979 757;981 443;980 235;980 056;980 599;981 145;980 267
2015;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;
Háztartások felszorzott száma;4 139 760;286 920;304 785;338 177;359 821;405 147;441 427;447 747;474 018;505 978;575 740
Adatszolgáltató háztartások száma;7 185;491;554;599;693;765;864;827;833;824;735
Háztartások átlagos taglétszáma;2,3;3,4;3,2;2,9;2,7;2,4;2,2;2,2;2,0;1,9;1,7
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;
Alkalmazásban állók;3 735 892;213 348;304 633;354 882;364 372;371 808;390 457;411 358;415 064;409 288;500 682
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;453 835;32 552;17 760;34 585;38 843;42 221;24 403;31 527;39 305;74 296;118 343
Aktív keresõk összesen;4 189 727;245 900;322 393;389 467;403 215;414 029;414 860;442 885;454 369;483 584;619 025
Ebbõl:;;;;;;;;;;;
férfiak;2 267 829;134 416;169 891;211 704;205 992;221 130;223 102;240 000;239 713;275 994;345 887
nõk;1 921 898;111 484;152 502;177 763;197 223;192 899;191 758;202 885;214 656;207 590;273 138
Nyugdíjasok összesen;2 144 612;50 520;59 177;105 153;186 904;240 696;313 202;290 717;326 256;337 815;234 172
Ebbõl: ;;;;;;;;;;;
férfiak;778 624;16 324;21 568;42 841;59 854;90 287;113 560;92 165;121 220;124 567;96 238
nõk;1 365 988;34 196;37 609;62 312;127 050;150 409;199 642;198 552;205 036;213 248;137 934
Munkanélküliek összesen;455 438;118 547;105 711;67 674;46 448;30 540;29 364;17 872;17 381;8 021;13 880
Ebbõl:  ;;;;;;;;;;;
férfiak;262 113;69 004;65 249;37 440;27 997;16 515;13 090;11 853;10 298;3 800;6 867
nõk;193 325;49 543;40 462;30 234;18 451;14 025;16 274;6 019;7 083;4 221;7 013
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;311 173;33 679;52 769;49 518;50 739;39 865;27 648;15 902;16 765;12 076;12 212
